ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AAPL210108C00065000,2021-01-04,2021-01-08,AAPL,C,65.0,5,16.73,15.68,-51.35,YES,16.2,12.12,15.68,11.73,16.73,15.68,5,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,16.2,12.52,,
O:AAPL210108C00070000,2021-01-04,2021-01-08,AAPL,C,70.0,1,15.18,15.18,-47.61,YES,15.18,11.36,15.18,11.36,15.18,15.18,1,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,15.18,11.36,,
O:AAPL210108C00075000,2021-01-04,2021-01-08,AAPL,C,75.0,23,13.22,13.54,-43.87,YES,13.38,10.01,13.22,9.9,13.54,13.22,5,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,13.38,10.13,,
O:AAPL210108C00080000,2021-01-04,2021-01-08,AAPL,C,80.0,28,12.22,12.22,-40.12,YES,12.22,9.15,12.19,9.12,12.24,12.19,16,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,12.22,9.16,,
O:AAPL210108C00085000,2021-01-04,2021-01-08,AAPL,C,85.0,94,11.18,11.01,-36.38,YES,10.93,8.18,10.68,7.99,11.18,10.68,6,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,10.93,8.36,,
O:AAPL210108C00090000,2021-01-04,2021-01-08,AAPL,C,90.0,2,9.75,9.57,-32.64,YES,9.66,7.23,9.57,7.17,9.75,9.57,2,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,9.66,7.3,,
O:AAPL210108C00095000,2021-01-04,2021-01-08,AAPL,C,95.0,22,8.45,8.45,-28.9,YES,8.45,6.32,8.45,6.32,8.45,8.45,3,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,8.45,6.32,,
O:AAPL210108C00100000,2021-01-04,2021-01-08,AAPL,C,100.0,39,7.73,7.32,-25.16,YES,7.31,5.47,6.89,5.15,7.73,6.89,16,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,7.31,5.79,,
O:AAPL210108C00101000,2021-01-04,2021-01-08,AAPL,C,101.0,14,7.08,6.65,-24.41,YES,6.86,5.13,6.65,4.98,7.08,6.65,2,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,6.86,5.3,,
O:AAPL210108C00102000,2021-01-04,2021-01-08,AAPL,C,102.0,10,6.79,6.78,-23.66,YES,6.78,5.07,6.78,5.08,6.79,6.78,3,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,6.78,5.08,,
O:AAPL210108C00103000,2021-01-04,2021-01-08,AAPL,C,103.0,3,6.54,6.55,-22.91,YES,6.54,4.89,6.54,4.89,6.55,6.54,2,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,6.54,4.9,,
O:AAPL210108C00104000,2021-01-04,2021-01-08,AAPL,C,104.0,3,6.26,6.17,-22.16,YES,6.22,4.66,6.17,4.62,6.26,6.17,2,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,6.22,4.69,,
O:AAPL210108C00105000,2021-01-04,2021-01-08,AAPL,C,105.0,1,6.04,6.04,-21.41,YES,6.04,4.52,6.04,4.52,6.04,6.04,1,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,6.04,4.52,,
O:AAPL210108C00106000,2021-01-04,2021-01-08,AAPL,C,106.0,2,6.08,6.08,-20.67,YES,6.08,4.55,6.08,4.55,6.08,6.08,1,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,6.08,4.55,,
O:AAPL210108C00107000,2021-01-04,2021-01-08,AAPL,C,107.0,10,5.42,5.43,-19.92,YES,5.42,4.06,5.42,4.06,5.43,5.42,3,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,5.42,4.06,,
O:AAPL210108C00108000,2021-01-04,2021-01-08,AAPL,C,108.0,1,5.41,5.41,-19.17,YES,5.41,4.05,5.41,4.05,5.41,5.41,1,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,5.41,4.05,,
O:AAPL210108C00109000,2021-01-04,2021-01-08,AAPL,C,109.0,2,5.05,5.05,-18.42,YES,5.05,3.78,5.05,3.78,5.05,5.05,1,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,5.05,3.78,,
O:AAPL210108C00110000,2021-01-04,2021-01-08,AAPL,C,110.0,346,5.81,4.85,-17.67,YES,5.1,3.82,4.38,3.27,5.81,4.38,74,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,5.1,4.35,,
O:AAPL210108C00111000,2021-01-04,2021-01-08,AAPL,C,111.0,2,5.0,5.01,-16.92,YES,5.0,3.74,5.0,3.74,5.01,5.0,2,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,5.0,3.75,,
O:AAPL210108C00112000,2021-01-04,2021-01-08,AAPL,C,112.0,1,5.32,5.32,-16.17,YES,5.32,3.98,5.32,3.98,5.32,5.32,1,1609736400000000000,4,Weekly,133.52,129.41,133.61,126.76,133.61,132.05,132.63,132.63,0.02,5.32,3.98,,
