ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:AAPL200221C00210000,2020-01-21,2020-02-21,AAPL,C,52.5,3.0,27.24,27.24,-33.66,YES,27.24,51.88,27.24,51.88,27.24,27.24,1.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00215000,2020-01-21,2020-02-21,AAPL,C,53.75,55.0,25.86,25.48,-32.08,YES,25.48,47.4,25.48,47.4,25.86,25.48,2.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00235000,2020-01-21,2020-02-21,AAPL,C,58.75,12.0,20.67,20.61,-25.76,YES,20.61,35.08,20.61,35.08,20.96,20.61,6.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00240000,2020-01-21,2020-02-21,AAPL,C,60.0,4.0,19.62,19.24,-24.18,YES,19.24,32.06,19.24,32.06,19.62,19.24,4.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00245000,2020-01-21,2020-02-21,AAPL,C,61.25,1.0,18.49,18.49,-22.61,YES,18.49,30.18,18.49,30.18,18.49,18.49,1.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00250000,2020-01-21,2020-02-21,AAPL,C,62.5,36.0,17.1,16.89,-21.03,YES,16.89,27.02,16.89,27.02,17.36,16.89,6.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00255000,2020-01-21,2020-02-21,AAPL,C,63.75,24.0,15.94,15.58,-19.45,YES,15.58,24.44,15.56,24.41,16.09,15.56,10.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00260000,2020-01-21,2020-02-21,AAPL,C,65.0,24.0,14.55,14.31,-17.87,YES,14.31,22.01,14.31,22.01,14.82,14.31,10.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00265000,2020-01-21,2020-02-21,AAPL,C,66.25,50.0,13.3,13.1,-16.29,YES,13.1,19.77,13.1,19.77,13.55,13.1,15.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00270000,2020-01-21,2020-02-21,AAPL,C,67.5,95.0,12.09,11.98,-14.71,YES,11.98,17.74,11.98,17.74,12.33,11.98,17.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00275000,2020-01-21,2020-02-21,AAPL,C,68.75,203.0,10.98,10.68,-13.13,YES,10.68,15.53,10.65,15.49,11.25,10.65,56.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
O:AAPL200221C00280000,2020-01-21,2020-02-21,AAPL,C,70.0,106.0,9.75,9.5,-11.55,YES,9.5,13.57,9.46,13.52,10.01,9.46,37.0,1579582800000000000,31.0,Monthly,79.14,79.14,79.14,79.14,79.14,79.14,79.14,79.14
