ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:AAPL160729C00055000,2016-07-25,2016-07-29,AAPL,C,13.75,1,42.1,42.1,-43.5,YES,42.1,173.0,42.1,173.0,42.1,42.1,1,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00085000,2016-07-25,2016-07-29,AAPL,C,21.25,7,13.39,12.25,-12.68,YES,12.25,50.34,12.25,50.34,13.77,12.25,3,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00086000,2016-07-25,2016-07-29,AAPL,C,21.5,4,11.2,11.2,-11.65,YES,11.2,46.02,11.2,46.02,11.2,11.2,1,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00089000,2016-07-25,2016-07-29,AAPL,C,22.25,45,8.97,8.3,-8.57,YES,8.3,34.11,8.3,34.11,9.12,8.3,7,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00090000,2016-07-25,2016-07-29,AAPL,C,22.5,538,8.6,7.2,-7.54,YES,7.2,29.59,7.15,29.38,8.6,7.15,21,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00090500,2016-07-25,2016-07-29,AAPL,C,22.62,96,7.05,6.73,-7.05,YES,6.73,27.66,6.73,27.66,7.12,6.73,5,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00091000,2016-07-25,2016-07-29,AAPL,C,22.75,42,7.6,6.53,-6.51,YES,6.53,26.83,6.53,26.83,7.6,6.53,8,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00091500,2016-07-25,2016-07-29,AAPL,C,22.88,31,7.05,6.15,-5.98,YES,6.15,25.27,6.15,25.27,7.2,6.15,5,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00092000,2016-07-25,2016-07-29,AAPL,C,23.0,125,6.38,5.72,-5.49,YES,5.72,23.51,5.72,23.51,6.38,5.72,3,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00092500,2016-07-25,2016-07-29,AAPL,C,23.12,71,6.14,5.17,-4.99,YES,5.17,21.25,5.01,20.59,6.14,5.01,10,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00093000,2016-07-25,2016-07-29,AAPL,C,23.25,142,5.66,4.75,-4.46,YES,4.75,19.52,4.59,18.86,5.66,4.59,10,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00093500,2016-07-25,2016-07-29,AAPL,C,23.38,20,5.5,4.2,-3.92,YES,4.2,17.26,4.2,17.26,5.5,4.2,6,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00094000,2016-07-25,2016-07-29,AAPL,C,23.5,433,4.92,4.0,-3.43,YES,4.0,16.44,3.8,15.62,5.23,3.8,28,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00094500,2016-07-25,2016-07-29,AAPL,C,23.62,65,4.75,3.5,-2.94,YES,3.5,14.38,3.5,14.38,4.75,3.5,11,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00095000,2016-07-25,2016-07-29,AAPL,C,23.75,1154,3.95,3.29,-2.4,YES,3.29,13.52,3.07,12.62,4.5,3.07,132,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00095500,2016-07-25,2016-07-29,AAPL,C,23.88,305,3.75,2.92,-1.87,YES,2.92,12.0,2.79,11.46,4.05,2.79,36,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
O:AAPL160729C00096000,2016-07-25,2016-07-29,AAPL,C,24.0,1157,3.35,2.71,-1.38,YES,2.71,11.14,2.47,10.15,3.66,2.47,141,1469419200000000000,4.0,Weekly,24.5625,24.335,24.71,24.23,24.335,24.335,24.335,24.335
