ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:ADBE160115C00040000,2016-01-11,2016-01-15,ADBE,C,2.67,30,12.23,12.23,12.23,12.23,2,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00062500,2016-01-11,2016-01-15,ADBE,C,4.17,10,6.45,6.45,6.45,6.45,2,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00070000,2016-01-11,2016-01-15,ADBE,C,4.67,1,4.68,4.68,4.68,4.68,1,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00080000,2016-01-11,2016-01-15,ADBE,C,5.33,6,2.25,2.16,2.25,2.16,2,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00085000,2016-01-11,2016-01-15,ADBE,C,5.67,10,0.98,1.02,1.02,0.98,3,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00087500,2016-01-11,2016-01-15,ADBE,C,5.83,58,0.6,0.7,0.7,0.42,11,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00090000,2016-01-11,2016-01-15,ADBE,C,6.0,176,0.18,0.28,0.28,0.15,56,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00092500,2016-01-11,2016-01-15,ADBE,C,6.17,324,0.02,0.07,0.08,0.02,41,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00095000,2016-01-11,2016-01-15,ADBE,C,6.33,143,0.02,0.02,0.05,0.01,31,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00097500,2016-01-11,2016-01-15,ADBE,C,6.5,6,0.01,0.01,0.01,0.01,4,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00100000,2016-01-11,2016-01-15,ADBE,C,6.67,5,0.01,0.01,0.01,0.01,1,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160115C00105000,2016-01-11,2016-01-15,ADBE,C,7.0,3,0.01,0.01,0.01,0.01,2,1452488400000000000,4,88.07,89.38,89.8,87.84,89.8,89.17,89.35,89.35
O:ADBE160318C00060000,2016-03-14,2016-03-18,ADBE,C,4.0,6,6.65,6.85,6.85,6.65,2,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00075000,2016-03-14,2016-03-18,ADBE,C,5.0,5,3.14,3.14,3.14,3.14,1,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00077500,2016-03-14,2016-03-18,ADBE,C,5.17,5,2.39,2.39,2.39,2.39,1,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00080000,2016-03-14,2016-03-18,ADBE,C,5.33,110,1.81,1.96,1.96,1.79,9,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00082500,2016-03-14,2016-03-18,ADBE,C,5.5,53,1.44,1.45,1.47,1.38,8,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
O:ADBE160318C00085000,2016-03-14,2016-03-18,ADBE,C,5.67,46,0.79,0.92,1.02,0.79,18,1457928000000000000,4,86.11,87.01,87.75,85.84,87.75,93.42,98.0,98.0
