ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:ADBE160219C00080000,2016-01-19,2016-02-19,ADBE,C,80.0,1,9.5,9.5,-12.47,YES,9.5,10.39,9.5,10.39,9.5,9.5,1,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,9.5,10.39,,
O:ADBE160219C00085000,2016-01-19,2016-02-19,ADBE,C,85.0,74,7.1,5.8,-7.0,YES,6.45,7.06,5.8,6.35,7.1,5.8,11,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,6.45,7.77,,
O:ADBE160219C00087500,2016-01-19,2016-02-19,ADBE,C,87.5,5,5.2,4.25,-4.27,YES,4.72,5.17,4.25,4.65,5.2,4.25,4,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,4.72,5.69,0.1503,0.8366
O:ADBE160219C00090000,2016-01-19,2016-02-19,ADBE,C,90.0,141,3.05,2.77,-1.53,YES,2.92,3.2,2.35,2.57,3.5,2.35,27,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,2.92,3.83,0.1874,0.6028
O:ADBE160219C00092500,2016-01-19,2016-02-19,ADBE,C,92.5,213,1.85,1.62,1.2,NO,2.03,2.22,1.62,1.77,2.44,1.62,63,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,2.03,2.67,0.1978,0.4085
O:ADBE160219C00095000,2016-01-19,2016-02-19,ADBE,C,95.0,126,1.02,0.89,3.94,NO,1.08,1.18,0.8,0.88,1.36,0.8,28,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,1.08,1.49,0.2065,0.2523
O:ADBE160219C00097500,2016-01-19,2016-02-19,ADBE,C,97.5,75,0.65,0.65,6.67,NO,0.7,0.76,0.64,0.7,0.75,0.64,17,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,0.7,0.82,0.2415,0.1713
O:ADBE160219C00100000,2016-01-19,2016-02-19,ADBE,C,100.0,581,0.38,0.21,9.41,NO,0.32,0.34,0.21,0.23,0.42,0.21,48,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,0.32,0.46,0.2162,0.073
O:ADBE160219C00105000,2016-01-19,2016-02-19,ADBE,C,105.0,114,0.13,0.17,14.88,NO,0.15,0.16,0.13,0.14,0.17,0.13,4,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,0.15,0.19,0.2881,0.0454
O:ADBE160219C00115000,2016-01-19,2016-02-19,ADBE,C,115.0,100,0.07,0.03,25.82,NO,0.05,0.05,0.03,0.03,0.07,0.03,2,1453179600000000000,31,Monthly,90.29,89.18,91.4,88.37,91.4,80.87,80.94,80.94,0.0034,0.05,0.08,0.3328,0.0079
O:ADBE160219C00080000,2016-01-20,2016-02-19,ADBE,C,80.0,10,7.25,8.2,-9.87,YES,7.55,8.51,6.9,7.77,8.2,6.9,4,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,7.55,9.24,,
O:ADBE160219C00085000,2016-01-20,2016-02-19,ADBE,C,85.0,34,4.2,3.7,-4.24,YES,3.78,4.26,3.37,3.8,4.2,3.37,6,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,3.78,4.73,,
O:ADBE160219C00087500,2016-01-20,2016-02-19,ADBE,C,87.5,86,2.43,2.8,-1.42,YES,2.46,2.77,2.12,2.39,2.8,2.12,17,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,2.46,3.15,0.2079,0.585
O:ADBE160219C00090000,2016-01-20,2016-02-19,ADBE,C,90.0,80,1.85,2.2,1.4,NO,1.78,2.0,1.23,1.39,2.32,1.23,25,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,1.78,2.61,0.2706,0.4153
O:ADBE160219C00092500,2016-01-20,2016-02-19,ADBE,C,92.5,318,1.0,1.32,4.21,NO,1.93,2.17,0.68,0.77,3.18,0.68,86,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,1.93,3.58,0.2696,0.2847
O:ADBE160219C00095000,2016-01-20,2016-02-19,ADBE,C,95.0,190,0.68,0.67,7.03,NO,1.2,1.35,0.39,0.44,2.01,0.39,23,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,1.2,2.26,0.2589,0.1714
O:ADBE160219C00097500,2016-01-20,2016-02-19,ADBE,C,97.5,64,0.21,0.32,9.85,NO,0.26,0.29,0.2,0.23,0.32,0.2,7,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,0.26,0.36,0.2545,0.0935
O:ADBE160219C00100000,2016-01-20,2016-02-19,ADBE,C,100.0,14,0.23,0.18,12.66,NO,0.17,0.19,0.11,0.12,0.23,0.11,3,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,0.17,0.26,0.265,0.0544
O:ADBE160219C00105000,2016-01-20,2016-02-19,ADBE,C,105.0,5,0.05,0.08,18.3,NO,0.06,0.07,0.05,0.06,0.08,0.05,2,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,0.06,0.09,0.2998,0.023
O:ADBE160219C00110000,2016-01-20,2016-02-19,ADBE,C,110.0,4,0.04,0.04,23.93,NO,0.04,0.05,0.04,0.05,0.04,0.04,1,1453266000000000000,30,Monthly,87.69,87.94,88.76,84.67,88.76,80.87,80.94,80.94,0.0034,0.04,0.05,0.3324,0.0108
O:ADBE160219C00085000,2016-01-21,2016-02-19,ADBE,C,85.0,2,5.3,5.25,-5.48,YES,5.28,5.87,5.25,5.84,5.3,5.25,2,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,5.28,5.89,0.1805,0.8617
O:ADBE160219C00087500,2016-01-21,2016-02-19,ADBE,C,87.5,46,3.53,3.3,-2.7,YES,3.39,3.77,3.25,3.61,3.53,3.25,9,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,3.39,3.93,0.182,0.6962
O:ADBE160219C00090000,2016-01-21,2016-02-19,ADBE,C,90.0,173,2.27,2.01,0.08,NO,2.36,2.62,1.89,2.1,2.83,1.89,17,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,2.36,3.15,0.201,0.4851
O:ADBE160219C00092500,2016-01-21,2016-02-19,ADBE,C,92.5,76,1.28,1.11,2.86,NO,1.36,1.51,1.02,1.13,1.7,1.02,17,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,1.36,1.89,0.2094,0.3077
O:ADBE160219C00095000,2016-01-21,2016-02-19,ADBE,C,95.0,171,0.77,0.63,5.64,NO,0.77,0.86,0.59,0.66,0.95,0.59,19,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,0.77,1.06,0.2247,0.1858
O:ADBE160219C00097500,2016-01-21,2016-02-19,ADBE,C,97.5,36,0.48,0.29,8.42,NO,0.39,0.43,0.29,0.32,0.49,0.29,12,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,0.39,0.54,0.2254,0.0969
O:ADBE160219C00100000,2016-01-21,2016-02-19,ADBE,C,100.0,23,0.23,0.13,11.2,NO,0.18,0.21,0.13,0.14,0.24,0.13,5,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,0.18,0.27,0.2293,0.0474
O:ADBE160219C00105000,2016-01-21,2016-02-19,ADBE,C,105.0,1,0.1,0.1,16.76,NO,0.1,0.11,0.1,0.11,0.1,0.1,1,1453352400000000000,29,Monthly,88.64,88.0,89.93,87.14,89.93,80.87,80.94,80.94,0.0034,0.1,0.11,0.2955,0.0288
O:ADBE160219C00075000,2016-01-22,2016-02-19,ADBE,C,75.0,5,14.35,14.35,-16.6,YES,14.35,15.96,14.35,15.96,14.35,14.35,1,1453438800000000000,28,Monthly,89.55,89.63,89.93,88.48,89.93,80.87,80.94,80.94,0.0034,14.35,15.96,,
