ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:ADBE180216C00120000,2018-01-16,2018-02-16,ADBE,C,1200.0,8,75.05,75.05,75.05,75.05,1,1516078800000000000,31,Monthly
O:ADBE180216C00150000,2018-01-16,2018-02-16,ADBE,C,1500.0,33,48.0,44.85,48.4,44.85,5,1516078800000000000,31,Monthly
O:ADBE180216C00160000,2018-01-16,2018-02-16,ADBE,C,1600.0,35,37.89,33.2,37.89,33.2,6,1516078800000000000,31,Monthly
O:ADBE180216C00165000,2018-01-16,2018-02-16,ADBE,C,1650.0,26,33.5,28.75,33.5,28.75,6,1516078800000000000,31,Monthly
O:ADBE180216C00170000,2018-01-16,2018-02-16,ADBE,C,1700.0,6,27.73,25.25,27.73,25.25,5,1516078800000000000,31,Monthly
O:ADBE180216C00175000,2018-01-16,2018-02-16,ADBE,C,1750.0,40,21.3,18.56,23.38,18.56,11,1516078800000000000,31,Monthly
O:ADBE180216C00180000,2018-01-16,2018-02-16,ADBE,C,1800.0,102,17.97,14.35,18.7,13.8,27,1516078800000000000,31,Monthly
O:ADBE180216C00185000,2018-01-16,2018-02-16,ADBE,C,1850.0,120,12.88,10.38,14.92,10.0,37,1516078800000000000,31,Monthly
O:ADBE180216C00190000,2018-01-16,2018-02-16,ADBE,C,1900.0,184,9.15,6.79,10.87,6.5,56,1516078800000000000,31,Monthly
O:ADBE180216C00195000,2018-01-16,2018-02-16,ADBE,C,1950.0,875,5.65,4.48,7.4,4.19,139,1516078800000000000,31,Monthly
O:ADBE180216C00200000,2018-01-16,2018-02-16,ADBE,C,2000.0,827,3.7,2.53,4.72,2.45,142,1516078800000000000,31,Monthly
O:ADBE180216C00210000,2018-01-16,2018-02-16,ADBE,C,2100.0,6088,1.11,0.91,1.61,0.83,98,1516078800000000000,31,Monthly
O:ADBE180216C00220000,2018-01-16,2018-02-16,ADBE,C,2200.0,25,0.54,0.3,0.54,0.28,13,1516078800000000000,31,Monthly
O:ADBE180216C00230000,2018-01-16,2018-02-16,ADBE,C,2300.0,59,0.22,0.17,0.27,0.13,24,1516078800000000000,31,Monthly
O:ADBE180216C00240000,2018-01-16,2018-02-16,ADBE,C,2400.0,7,0.16,0.06,0.16,0.06,4,1516078800000000000,31,Monthly
O:ADBE180216P00125000,2018-01-16,2018-02-16,ADBE,P,1250.0,50,0.06,0.06,0.06,0.06,4,1516078800000000000,31,Monthly
O:ADBE180216P00130000,2018-01-16,2018-02-16,ADBE,P,1300.0,18,0.07,0.09,0.09,0.07,9,1516078800000000000,31,Monthly
O:ADBE180216P00145000,2018-01-16,2018-02-16,ADBE,P,1450.0,10,0.15,0.15,0.15,0.15,1,1516078800000000000,31,Monthly
O:ADBE180216P00150000,2018-01-16,2018-02-16,ADBE,P,1500.0,10,0.12,0.12,0.12,0.12,1,1516078800000000000,31,Monthly
O:ADBE180216P00155000,2018-01-16,2018-02-16,ADBE,P,1550.0,22,0.2,0.23,0.23,0.19,11,1516078800000000000,31,Monthly
O:ADBE180216P00160000,2018-01-16,2018-02-16,ADBE,P,1600.0,69,0.27,0.28,0.33,0.23,18,1516078800000000000,31,Monthly
O:ADBE180216P00165000,2018-01-16,2018-02-16,ADBE,P,1650.0,84,0.31,0.42,0.42,0.25,27,1516078800000000000,31,Monthly
O:ADBE180216P00170000,2018-01-16,2018-02-16,ADBE,P,1700.0,135,0.41,0.59,0.59,0.41,36,1516078800000000000,31,Monthly
O:ADBE180216P00175000,2018-01-16,2018-02-16,ADBE,P,1750.0,178,0.6,0.87,0.98,0.55,59,1516078800000000000,31,Monthly
O:ADBE180216P00180000,2018-01-16,2018-02-16,ADBE,P,1800.0,244,1.0,1.5,1.6,0.91,63,1516078800000000000,31,Monthly
O:ADBE180216P00185000,2018-01-16,2018-02-16,ADBE,P,1850.0,138,2.03,2.53,2.56,1.47,64,1516078800000000000,31,Monthly
O:ADBE180216P00190000,2018-01-16,2018-02-16,ADBE,P,1900.0,746,2.82,4.14,4.14,2.45,69,1516078800000000000,31,Monthly
O:ADBE180216P00195000,2018-01-16,2018-02-16,ADBE,P,1950.0,406,4.38,6.5,6.5,3.97,80,1516078800000000000,31,Monthly
O:ADBE180216P00200000,2018-01-16,2018-02-16,ADBE,P,2000.0,263,7.0,8.62,8.62,6.3,34,1516078800000000000,31,Monthly
O:ADBE180216P00210000,2018-01-16,2018-02-16,ADBE,P,2100.0,520,14.4,15.75,16.25,13.8,18,1516078800000000000,31,Monthly
O:ADBE180216C00160000,2018-01-17,2018-02-16,ADBE,C,1600.0,1,34.7,34.7,34.7,34.7,1,1516165200000000000,30,Monthly
