ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:ADBE230113C00295000,2023-01-09,2023-01-13,ADBE,C,2950.0,1,50.0,50.0,50.0,50.0,1,1673240400000000000,4,Weekly
O:ADBE230113C00300000,2023-01-09,2023-01-13,ADBE,C,3000.0,3,48.2,43.2,49.57,43.2,3,1673240400000000000,4,Weekly
O:ADBE230113C00310000,2023-01-09,2023-01-13,ADBE,C,3100.0,64,38.1,32.1,38.1,32.1,4,1673240400000000000,4,Weekly
O:ADBE230113C00315000,2023-01-09,2023-01-13,ADBE,C,3150.0,11,20.65,25.6,25.6,20.65,2,1673240400000000000,4,Weekly
O:ADBE230113C00320000,2023-01-09,2023-01-13,ADBE,C,3200.0,7,20.5,23.54,29.08,20.5,6,1673240400000000000,4,Weekly
O:ADBE230113C00325000,2023-01-09,2023-01-13,ADBE,C,3250.0,13,17.2,21.4,21.4,16.8,8,1673240400000000000,4,Weekly
O:ADBE230113C00327500,2023-01-09,2023-01-13,ADBE,C,3275.0,26,16.3,16.7,22.56,15.1,15,1673240400000000000,4,Weekly
O:ADBE230113C00330000,2023-01-09,2023-01-13,ADBE,C,3300.0,47,14.0,14.8,20.62,14.0,26,1673240400000000000,4,Weekly
O:ADBE230113C00332500,2023-01-09,2023-01-13,ADBE,C,3325.0,27,12.25,13.0,18.2,12.25,22,1673240400000000000,4,Weekly
O:ADBE230113C00335000,2023-01-09,2023-01-13,ADBE,C,3350.0,44,9.7,12.17,16.85,9.7,34,1673240400000000000,4,Weekly
O:ADBE230113C00337500,2023-01-09,2023-01-13,ADBE,C,3375.0,28,9.55,10.5,14.48,8.6,21,1673240400000000000,4,Weekly
O:ADBE230113C00340000,2023-01-09,2023-01-13,ADBE,C,3400.0,199,7.0,8.1,13.05,6.83,90,1673240400000000000,4,Weekly
O:ADBE230113C00342500,2023-01-09,2023-01-13,ADBE,C,3425.0,90,7.25,7.05,11.2,5.93,64,1673240400000000000,4,Weekly
O:ADBE230113C00345000,2023-01-09,2023-01-13,ADBE,C,3450.0,214,4.7,5.9,9.85,4.7,146,1673240400000000000,4,Weekly
O:ADBE230113C00347500,2023-01-09,2023-01-13,ADBE,C,3475.0,203,4.0,4.8,8.15,4.0,116,1673240400000000000,4,Weekly
O:ADBE230113C00350000,2023-01-09,2023-01-13,ADBE,C,3500.0,557,3.34,3.87,7.1,3.1,265,1673240400000000000,4,Weekly
O:ADBE230113C00352500,2023-01-09,2023-01-13,ADBE,C,3525.0,105,2.69,3.05,5.93,2.65,48,1673240400000000000,4,Weekly
O:ADBE230113C00355000,2023-01-09,2023-01-13,ADBE,C,3550.0,267,2.07,2.45,4.81,1.99,118,1673240400000000000,4,Weekly
O:ADBE230113C00357500,2023-01-09,2023-01-13,ADBE,C,3575.0,132,1.8,1.77,3.85,1.6,63,1673240400000000000,4,Weekly
