ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:AMAT220107C00090000,2022-01-03,2022-01-07,AMAT,C,90.0,30,16.9,16.9,16.9,16.9,1,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00141000,2022-01-03,2022-01-07,AMAT,C,141.0,2,4.64,4.64,4.64,4.64,2,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00145000,2022-01-03,2022-01-07,AMAT,C,145.0,8,3.46,3.74,3.74,3.46,6,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00147000,2022-01-03,2022-01-07,AMAT,C,147.0,2,2.98,3.34,3.34,2.98,2,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00148000,2022-01-03,2022-01-07,AMAT,C,148.0,3,2.74,2.74,2.74,2.74,2,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00149000,2022-01-03,2022-01-07,AMAT,C,149.0,7,2.53,2.75,2.75,2.53,2,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00150000,2022-01-03,2022-01-07,AMAT,C,150.0,15,2.26,2.48,2.5,2.12,11,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00152500,2022-01-03,2022-01-07,AMAT,C,152.5,584,1.59,2.0,2.14,1.24,245,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00155000,2022-01-03,2022-01-07,AMAT,C,155.0,171,1.05,1.4,1.55,0.88,60,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00157500,2022-01-03,2022-01-07,AMAT,C,157.5,515,0.99,0.94,1.05,0.5,90,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00160000,2022-01-03,2022-01-07,AMAT,C,160.0,1353,0.39,0.54,0.71,0.28,393,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00162500,2022-01-03,2022-01-07,AMAT,C,162.5,1306,0.22,0.32,0.42,0.13,337,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00165000,2022-01-03,2022-01-07,AMAT,C,165.0,918,0.11,0.15,0.22,0.06,240,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00167500,2022-01-03,2022-01-07,AMAT,C,167.5,222,0.06,0.08,0.1,0.03,72,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
O:AMAT220107C00170000,2022-01-03,2022-01-07,AMAT,C,170.0,138,0.06,0.04,0.07,0.02,59,1641186000000000000,4,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38
