ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AMAT230106C00075000,2023-01-03,2023-01-06,AMAT,C,75.0,6,5.44,5.44,-25.01,YES,5.44,5.44,5.44,5.44,5.44,5.44,5,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,5.44,5.44,,
O:AMAT230106C00085000,2023-01-03,2023-01-06,AMAT,C,85.0,6,3.19,3.19,-15.02,YES,3.19,3.19,3.19,3.19,3.19,3.19,1,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,3.19,3.19,,
O:AMAT230106C00089000,2023-01-03,2023-01-06,AMAT,C,89.0,1,1.94,1.94,-11.02,YES,1.94,1.94,1.94,1.94,1.94,1.94,1,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,1.94,1.94,,
O:AMAT230106C00090000,2023-01-03,2023-01-06,AMAT,C,90.0,1,1.84,1.84,-10.02,YES,1.84,1.84,1.84,1.84,1.84,1.84,1,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,1.84,1.84,,
O:AMAT230106C00091000,2023-01-03,2023-01-06,AMAT,C,91.0,1,1.6,1.6,-9.02,YES,1.6,1.6,1.6,1.6,1.6,1.6,1,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,1.6,1.6,,
O:AMAT230106C00093000,2023-01-03,2023-01-06,AMAT,C,93.0,1,1.02,1.02,-7.02,YES,1.02,1.02,1.02,1.02,1.02,1.02,1,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,1.02,1.02,,
O:AMAT230106C00094000,2023-01-03,2023-01-06,AMAT,C,94.0,25,1.42,0.94,-6.02,YES,1.15,1.15,0.88,0.88,1.42,0.88,9,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,1.15,1.42,,
O:AMAT230106C00095000,2023-01-03,2023-01-06,AMAT,C,95.0,32,1.38,0.69,-5.02,YES,1.02,1.02,0.66,0.66,1.38,0.66,15,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,1.02,1.38,,
O:AMAT230106C00096000,2023-01-03,2023-01-06,AMAT,C,96.0,64,1.16,0.54,-4.02,YES,0.85,0.85,0.54,0.54,1.16,0.54,38,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,0.85,1.16,,
O:AMAT230106C00097000,2023-01-03,2023-01-06,AMAT,C,97.0,155,0.94,0.42,-3.02,YES,0.68,0.67,0.4,0.4,0.95,0.4,60,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,0.68,0.95,,
O:AMAT230106C00098000,2023-01-03,2023-01-06,AMAT,C,98.0,125,0.71,0.31,-2.02,YES,0.52,0.52,0.28,0.28,0.76,0.28,60,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,0.52,0.76,,
O:AMAT230106C00099000,2023-01-03,2023-01-06,AMAT,C,99.0,273,0.59,0.22,-1.02,YES,0.38,0.38,0.18,0.18,0.59,0.18,66,1672722000000000000,3,99.77,96.73,100.02,96.12,100.02,104.27,104.86,104.86,0.0433,0.38,0.59,,
