ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:AMAT220107C00090000,2022-01-03,2022-01-07,AMAT,C,900.0,30,67.6,67.6,459.78,NO,67.6,42.05,67.6,42.05,67.6,67.6,1,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,67.6,42.05
O:AMAT220107C00141000,2022-01-03,2022-01-07,AMAT,C,1410.0,2,18.55,18.55,776.99,NO,18.55,11.54,18.55,11.54,18.55,18.55,2,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,18.55,11.54
O:AMAT220107C00145000,2022-01-03,2022-01-07,AMAT,C,1450.0,8,13.85,14.96,801.86,NO,14.4,8.96,13.85,8.61,14.96,13.85,6,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,14.4,9.3
O:AMAT220107C00147000,2022-01-03,2022-01-07,AMAT,C,1470.0,2,11.9,13.37,814.3,NO,12.64,7.86,11.9,7.4,13.37,11.9,2,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,12.64,8.32
O:AMAT220107C00148000,2022-01-03,2022-01-07,AMAT,C,1480.0,3,10.95,10.95,820.52,NO,10.95,6.81,10.95,6.81,10.95,10.95,2,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,10.95,6.81
O:AMAT220107C00149000,2022-01-03,2022-01-07,AMAT,C,1490.0,7,10.12,11.0,826.74,NO,10.56,6.57,10.12,6.29,11.0,10.12,2,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,10.56,6.84
O:AMAT220107C00150000,2022-01-03,2022-01-07,AMAT,C,1500.0,15,9.05,9.9,832.96,NO,9.24,5.75,8.49,5.28,10.0,8.49,11,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,9.24,6.22
O:AMAT220107C00152500,2022-01-03,2022-01-07,AMAT,C,1525.0,584,6.35,8.0,848.51,NO,6.75,4.2,4.95,3.08,8.55,4.95,245,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,6.75,5.32
O:AMAT220107C00155000,2022-01-03,2022-01-07,AMAT,C,1550.0,171,4.2,5.6,864.06,NO,4.85,3.02,3.5,2.18,6.2,3.5,60,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,4.85,3.86
O:AMAT220107C00157500,2022-01-03,2022-01-07,AMAT,C,1575.0,515,3.95,3.75,879.61,NO,3.1,1.93,2.0,1.24,4.19,2.0,90,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,3.1,2.61
O:AMAT220107C00160000,2022-01-03,2022-01-07,AMAT,C,1600.0,1353,1.55,2.17,895.16,NO,1.98,1.23,1.11,0.69,2.84,1.11,393,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,1.98,1.77
O:AMAT220107C00162500,2022-01-03,2022-01-07,AMAT,C,1625.0,1306,0.88,1.27,910.71,NO,1.11,0.69,0.53,0.33,1.69,0.53,337,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,1.11,1.05
O:AMAT220107C00165000,2022-01-03,2022-01-07,AMAT,C,1650.0,918,0.45,0.6,926.26,NO,0.56,0.35,0.26,0.16,0.87,0.26,240,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.56,0.54
O:AMAT220107C00167500,2022-01-03,2022-01-07,AMAT,C,1675.0,222,0.26,0.3,941.81,NO,0.27,0.17,0.13,0.08,0.41,0.13,72,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.27,0.26
O:AMAT220107C00170000,2022-01-03,2022-01-07,AMAT,C,1700.0,138,0.26,0.14,957.36,NO,0.18,0.11,0.08,0.05,0.28,0.08,59,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.18,0.17
O:AMAT220107C00172500,2022-01-03,2022-01-07,AMAT,C,1725.0,35,0.14,0.06,972.91,NO,0.1,0.06,0.06,0.04,0.14,0.06,16,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.1,0.09
O:AMAT220107C00175000,2022-01-03,2022-01-07,AMAT,C,1750.0,81,0.07,0.06,988.46,NO,0.07,0.04,0.05,0.03,0.09,0.05,16,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.07,0.06
O:AMAT220107C00177500,2022-01-03,2022-01-07,AMAT,C,1775.0,1,0.07,0.07,1004.01,NO,0.07,0.04,0.07,0.04,0.07,0.07,1,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.07,0.04
O:AMAT220107C00180000,2022-01-03,2022-01-07,AMAT,C,1800.0,44,0.07,0.02,1019.56,NO,0.04,0.03,0.02,0.01,0.07,0.02,10,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.04,0.04
O:AMAT220107C00182500,2022-01-03,2022-01-07,AMAT,C,1825.0,2,0.04,0.04,1035.1,NO,0.04,0.02,0.04,0.02,0.04,0.04,2,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.04,0.02
O:AMAT220107C00195000,2022-01-03,2022-01-07,AMAT,C,1950.0,111,0.01,0.02,1112.85,NO,0.02,0.01,0.01,0.01,0.02,0.01,7,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.02,0.01
O:AMAT220107C00200000,2022-01-03,2022-01-07,AMAT,C,2000.0,1,0.03,0.03,1143.95,NO,0.03,0.02,0.03,0.02,0.03,0.03,1,1641186000000000000,4,Weekly,157.74,159.93,160.78,156.7,160.78,150.81,157.38,157.38,0.0008,0.03,0.02
O:AMAT220114C00120000,2022-01-10,2022-01-14,AMAT,C,1200.0,1,27.45,27.45,700.53,NO,27.45,18.31,27.45,18.31,27.45,27.45,1,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,27.45,18.31
O:AMAT220114C00135000,2022-01-10,2022-01-14,AMAT,C,1350.0,1,10.15,10.15,800.6,NO,10.15,6.77,10.15,6.77,10.15,10.15,1,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,10.15,6.77
O:AMAT220114C00137000,2022-01-10,2022-01-14,AMAT,C,1370.0,1,8.95,8.95,813.94,NO,8.95,5.97,8.95,5.97,8.95,8.95,1,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,8.95,5.97
O:AMAT220114C00138000,2022-01-10,2022-01-14,AMAT,C,1380.0,3,9.32,8.1,820.61,NO,8.68,5.79,8.05,5.37,9.32,8.05,3,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,8.68,6.22
O:AMAT220114C00139000,2022-01-10,2022-01-14,AMAT,C,1390.0,1,8.4,8.4,827.28,NO,8.4,5.6,8.4,5.6,8.4,8.4,1,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,8.4,5.6
O:AMAT220114C00140000,2022-01-10,2022-01-14,AMAT,C,1400.0,43,7.15,10.0,833.96,NO,7.7,5.14,5.4,3.6,10.0,5.4,14,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,7.7,6.67
O:AMAT220114C00141000,2022-01-10,2022-01-14,AMAT,C,1410.0,3,5.15,5.15,840.63,NO,5.15,3.44,5.15,3.44,5.15,5.15,1,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,5.15,3.44
O:AMAT220114C00142000,2022-01-10,2022-01-14,AMAT,C,1420.0,3,5.0,6.3,847.3,NO,5.65,3.77,5.0,3.34,6.3,5.0,2,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,5.65,4.2
O:AMAT220114C00143000,2022-01-10,2022-01-14,AMAT,C,1430.0,73,5.8,5.75,853.97,NO,5.22,3.49,4.1,2.74,6.35,4.1,25,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,5.22,4.24
O:AMAT220114C00144000,2022-01-10,2022-01-14,AMAT,C,1440.0,57,5.65,4.5,860.64,NO,4.27,2.85,2.88,1.92,5.65,2.88,19,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,4.27,3.77
O:AMAT220114C00145000,2022-01-10,2022-01-14,AMAT,C,1450.0,309,3.6,4.67,867.31,NO,3.54,2.36,2.4,1.6,4.67,2.4,75,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,3.54,3.12
O:AMAT220114C00146000,2022-01-10,2022-01-14,AMAT,C,1460.0,153,4.1,3.6,873.98,NO,3.07,2.05,1.99,1.33,4.15,1.99,70,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,3.07,2.77
O:AMAT220114C00147000,2022-01-10,2022-01-14,AMAT,C,1470.0,1534,3.19,4.45,880.65,NO,3.08,2.05,1.71,1.14,4.45,1.71,125,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,3.08,2.97
O:AMAT220114C00148000,2022-01-10,2022-01-14,AMAT,C,1480.0,228,2.8,3.68,887.32,NO,2.53,1.69,1.38,0.92,3.68,1.38,63,1641790800000000000,4,Weekly,147.72,149.59,149.9,143.27,149.9,167.0,167.06,167.06,0.0008,2.53,2.45
