ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AMD160108C00002500,2016-01-04,2016-01-08,AMD,C,2.5,709,0.09,0.08,,NO,0.07,,0.05,,0.09,0.05,590,1451883600000000000,4,,,,,,,,,0.0034,0.07,,,
O:AMD160108C00003000,2016-01-04,2016-01-08,AMD,C,3.0,1079,0.03,0.01,,NO,0.02,,0.01,,0.03,0.01,784,1451883600000000000,4,,,,,,,,,0.0034,0.02,,,
O:AMD160115C00002000,2016-01-11,2016-01-15,AMD,C,2.0,451,0.06,0.1,-15.25,YES,0.08,3.39,0.06,2.54,0.1,0.06,21,1452488400000000000,4,2.16,2.34,2.36,2.12,2.36,2.03,2.13,2.13,0.0034,0.08,4.24,,
O:AMD160115C00002500,2016-01-11,2016-01-15,AMD,C,2.5,22600,0.01,0.02,5.93,NO,0.01,0.42,0.0,0.0,0.02,0.0,196,1452488400000000000,4,2.16,2.34,2.36,2.12,2.36,2.03,2.13,2.13,0.0034,0.01,0.85,0.6739,0.1972
O:AMD160115C00003000,2016-01-11,2016-01-15,AMD,C,3.0,37,0.0,0.0,27.12,NO,0.0,0.0,0.0,0.0,0.0,0.0,4,1452488400000000000,4,2.16,2.34,2.36,2.12,2.36,2.03,2.13,2.13,0.0034,0.0,0.0,,
O:AMD160115C00004500,2016-01-11,2016-01-15,AMD,C,4.5,10,0.0,0.0,90.68,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1452488400000000000,4,2.16,2.34,2.36,2.12,2.36,2.03,2.13,2.13,0.0034,0.0,0.0,,
O:AMD160122C00001500,2016-01-19,2016-01-22,AMD,C,1.5,405,0.14,0.13,-28.91,YES,0.14,6.4,0.13,6.16,0.14,0.13,2,1453179600000000000,3,2.08,1.95,2.11,1.9,2.11,2.02,2.17,2.17,0.0034,0.14,6.64,,
O:AMD160122C00002000,2016-01-19,2016-01-22,AMD,C,2.0,1584,0.04,0.03,-5.21,YES,0.03,1.42,0.02,0.95,0.04,0.02,63,1453179600000000000,3,2.08,1.95,2.11,1.9,2.11,2.02,2.17,2.17,0.0034,0.03,1.9,,
O:AMD160122C00002500,2016-01-19,2016-01-22,AMD,C,2.5,245,0.01,0.0,18.48,NO,0.0,0.24,0.0,0.0,0.01,0.0,14,1453179600000000000,3,2.08,1.95,2.11,1.9,2.11,2.02,2.17,2.17,0.0034,0.0,0.47,,
O:AMD160129C00002000,2016-01-25,2016-01-29,AMD,C,2.0,96,0.04,0.04,-6.98,YES,0.04,1.86,0.04,1.86,0.04,0.04,10,1453698000000000000,4,2.01,2.12,2.15,2.01,2.15,2.2,2.2,2.2,0.0034,0.04,1.86,,
O:AMD160129C00002500,2016-01-25,2016-01-29,AMD,C,2.5,120,0.01,0.01,16.28,NO,0.0,0.23,0.0,0.0,0.01,0.0,3,1453698000000000000,4,2.01,2.12,2.15,2.01,2.15,2.2,2.2,2.2,0.0034,0.0,0.47,1.0519,0.0772
O:AMD160212C00002000,2016-02-08,2016-02-12,AMD,C,2.0,800,0.01,0.02,1.01,NO,0.02,0.76,0.01,0.51,0.02,0.01,33,1454907600000000000,4,1.97,1.93,1.98,1.87,1.98,1.83,1.91,1.91,0.0038,0.02,1.01,0.3474,0.3846
O:AMD160219C00002000,2016-02-16,2016-02-19,AMD,C,2.0,231,0.0,0.0,5.26,NO,0.0,0.0,0.0,0.0,0.0,0.0,11,1455598800000000000,3,1.86,1.83,1.9,1.82,1.9,1.91,1.93,1.93,0.0038,0.0,0.0,,
O:AMD160226C00002000,2016-02-22,2016-02-26,AMD,C,2.0,902,0.01,0.02,-1.96,YES,0.02,0.74,0.01,0.49,0.02,0.01,33,1456117200000000000,4,1.94,2.01,2.04,1.92,2.04,2.07,2.1,2.1,0.0038,0.02,0.98,,
O:AMD160304C00001500,2016-02-29,2016-03-04,AMD,C,1.5,100,0.16,0.16,-30.23,YES,0.16,7.44,0.16,7.44,0.16,0.16,1,1456722000000000000,4,2.06,2.14,2.15,2.05,2.15,2.37,2.5,2.5,0.0038,0.16,7.44,,
O:AMD160304C00002000,2016-02-29,2016-03-04,AMD,C,2.0,100,0.02,0.02,-6.98,YES,0.02,0.93,0.02,0.93,0.02,0.02,1,1456722000000000000,4,2.06,2.14,2.15,2.05,2.15,2.37,2.5,2.5,0.0038,0.02,0.93,,
O:AMD160304C00002500,2016-02-29,2016-03-04,AMD,C,2.5,200,0.0,0.0,16.28,NO,0.0,0.0,0.0,0.0,0.0,0.0,2,1456722000000000000,4,2.06,2.14,2.15,2.05,2.15,2.37,2.5,2.5,0.0038,0.0,0.0,,
O:AMD160311C00002000,2016-03-07,2016-03-11,AMD,C,2.0,100,0.12,0.12,-19.03,YES,0.12,4.86,0.12,4.86,0.12,0.12,3,1457326800000000000,4,2.36,2.47,2.47,2.36,2.47,2.52,2.54,2.54,0.0036,0.12,4.86,,
O:AMD160311C00002500,2016-03-07,2016-03-11,AMD,C,2.5,4406,0.01,0.02,1.21,NO,0.02,0.61,0.01,0.4,0.02,0.01,73,1457326800000000000,4,2.36,2.47,2.47,2.36,2.47,2.52,2.54,2.54,0.0036,0.02,0.81,0.3161,0.3519
O:AMD160318C00001500,2016-03-14,2016-03-18,AMD,C,1.5,9,0.3,0.3,-45.45,YES,0.3,11.09,0.29,10.55,0.32,0.29,8,1457928000000000000,4,2.53,2.72,2.75,2.5,2.75,2.93,2.93,2.93,0.0036,0.3,11.64,,
O:AMD160318C00002000,2016-03-14,2016-03-18,AMD,C,2.0,168,0.14,0.16,-27.27,YES,0.16,6.0,0.14,5.09,0.19,0.14,11,1457928000000000000,4,2.53,2.72,2.75,2.5,2.75,2.93,2.93,2.93,0.0036,0.16,6.91,,
O:AMD160318C00002500,2016-03-14,2016-03-18,AMD,C,2.5,9011,0.02,0.06,-9.09,YES,0.04,1.45,0.02,0.73,0.06,0.02,156,1457928000000000000,4,2.53,2.72,2.75,2.5,2.75,2.93,2.93,2.93,0.0036,0.04,2.18,,
O:AMD160318C00003000,2016-03-14,2016-03-18,AMD,C,3.0,570,0.0,0.01,9.09,NO,0.0,0.18,0.0,0.0,0.01,0.0,17,1457928000000000000,4,2.53,2.72,2.75,2.5,2.75,2.93,2.93,2.93,0.0036,0.0,0.36,0.6627,0.0988
O:AMD160324C00003000,2016-03-21,2016-03-24,AMD,C,3.0,230,0.01,0.0,3.45,NO,0.0,0.17,0.0,0.0,0.01,0.0,8,1458532800000000000,3,2.9,2.8,2.9,2.75,2.9,2.79,2.81,2.81,0.0036,0.0,0.34,,
O:AMD160401C00002500,2016-03-28,2016-04-01,AMD,C,2.5,3,0.08,0.08,-11.97,YES,0.08,2.82,0.08,2.82,0.08,0.08,1,1459137600000000000,4,2.81,2.78,2.84,2.73,2.84,2.83,2.88,2.88,0.0036,0.08,2.82,,
O:AMD160401C00003000,2016-03-28,2016-04-01,AMD,C,3.0,425,0.0,0.0,5.63,NO,0.0,0.18,0.0,0.0,0.01,0.0,11,1459137600000000000,4,2.81,2.78,2.84,2.73,2.84,2.83,2.88,2.88,0.0036,0.0,0.35,,
O:AMD160408C00003000,2016-04-04,2016-04-08,AMD,C,3.0,343,0.01,0.0,4.53,NO,0.0,0.17,0.0,0.0,0.01,0.0,7,1459742400000000000,4,2.83,2.83,2.87,2.8,2.87,2.74,2.76,2.76,0.0037,0.0,0.35,,
O:AMD160415C00001500,2016-04-11,2016-04-15,AMD,C,1.5,5,0.29,0.29,-46.81,YES,0.29,10.28,0.29,10.28,0.29,0.29,1,1460347200000000000,4,2.76,2.76,2.82,2.74,2.82,2.7,2.75,2.75,0.0037,0.29,10.28,,
O:AMD160415C00002000,2016-04-11,2016-04-15,AMD,C,2.0,39,0.2,0.19,-29.08,YES,0.2,6.91,0.19,6.74,0.2,0.19,9,1460347200000000000,4,2.76,2.76,2.82,2.74,2.82,2.7,2.75,2.75,0.0037,0.2,7.09,,
O:AMD160415C00002500,2016-04-11,2016-04-15,AMD,C,2.5,287,0.05,0.06,-11.35,YES,0.06,2.3,0.05,1.77,0.08,0.05,26,1460347200000000000,4,2.76,2.76,2.82,2.74,2.82,2.7,2.75,2.75,0.0037,0.06,2.84,,
O:AMD160415C00003000,2016-04-11,2016-04-15,AMD,C,3.0,306,0.01,0.0,6.38,NO,0.0,0.18,0.0,0.0,0.01,0.0,12,1460347200000000000,4,2.76,2.76,2.82,2.74,2.82,2.7,2.75,2.75,0.0037,0.0,0.35,,
O:AMD160422C00002000,2016-04-18,2016-04-22,AMD,C,2.0,1,0.2,0.2,-28.57,YES,0.2,7.14,0.2,7.14,0.2,0.2,1,1460952000000000000,4,2.67,2.76,2.8,2.65,2.8,3.99,3.99,3.99,0.0037,0.2,7.14,,
O:AMD160422C00002500,2016-04-18,2016-04-22,AMD,C,2.5,42,0.06,0.06,-10.71,YES,0.06,2.14,0.06,2.14,0.06,0.06,2,1460952000000000000,4,2.67,2.76,2.8,2.65,2.8,3.99,3.99,3.99,0.0037,0.06,2.14,,
O:AMD160422C00003000,2016-04-18,2016-04-22,AMD,C,3.0,882,0.01,0.01,7.14,NO,0.02,0.54,0.01,0.36,0.02,0.01,46,1460952000000000000,4,2.67,2.76,2.8,2.65,2.8,3.99,3.99,3.99,0.0037,0.02,0.71,0.5599,0.114
O:AMD160429C00002000,2016-04-25,2016-04-29,AMD,C,2.0,36,0.34,0.38,-47.64,YES,0.36,9.42,0.34,8.9,0.38,0.34,3,1461556800000000000,4,3.81,3.45,3.82,3.31,3.82,3.55,3.69,3.69,0.0037,0.36,9.95,,
O:AMD160429C00002500,2016-04-25,2016-04-29,AMD,C,2.5,3,0.29,0.24,-34.55,YES,0.26,6.94,0.24,6.28,0.29,0.24,2,1461556800000000000,4,3.81,3.45,3.82,3.31,3.82,3.55,3.69,3.69,0.0037,0.26,7.59,,
O:AMD160429C00003000,2016-04-25,2016-04-29,AMD,C,3.0,958,0.18,0.13,-21.47,YES,0.14,3.66,0.1,2.62,0.18,0.1,31,1461556800000000000,4,3.81,3.45,3.82,3.31,3.82,3.55,3.69,3.69,0.0037,0.14,4.71,,
O:AMD160429C00003500,2016-04-25,2016-04-29,AMD,C,3.5,13931,0.1,0.04,-8.38,YES,0.06,1.57,0.02,0.52,0.1,0.02,365,1461556800000000000,4,3.81,3.45,3.82,3.31,3.82,3.55,3.69,3.69,0.0037,0.06,2.62,,
O:AMD160429C00004000,2016-04-25,2016-04-29,AMD,C,4.0,4220,0.04,0.01,4.71,NO,0.02,0.52,0.0,0.0,0.04,0.0,98,1461556800000000000,4,3.81,3.45,3.82,3.31,3.82,3.55,3.69,3.69,0.0037,0.02,1.05,0.3856,0.123
O:AMD160429C00004500,2016-04-25,2016-04-29,AMD,C,4.5,2,0.01,0.01,17.8,NO,0.01,0.26,0.01,0.26,0.01,0.01,1,1461556800000000000,4,3.81,3.45,3.82,3.31,3.82,3.55,3.69,3.69,0.0037,0.01,0.26,0.9809,0.0498
O:AMD160506C00002000,2016-05-02,2016-05-06,AMD,C,2.0,32,0.44,0.44,-46.67,YES,0.44,11.73,0.44,11.73,0.44,0.44,1,1462161600000000000,4,3.58,3.74,3.75,3.57,3.75,3.68,3.75,3.75,0.0037,0.44,11.73,,
O:AMD160506C00002500,2016-05-02,2016-05-06,AMD,C,2.5,100,0.31,0.31,-33.33,YES,0.31,8.27,0.31,8.27,0.31,0.31,1,1462161600000000000,4,3.58,3.74,3.75,3.57,3.75,3.68,3.75,3.75,0.0037,0.31,8.27,,
O:AMD160506C00003000,2016-05-02,2016-05-06,AMD,C,3.0,5,0.17,0.19,-20.0,YES,0.18,4.67,0.16,4.27,0.19,0.16,5,1462161600000000000,4,3.58,3.74,3.75,3.57,3.75,3.68,3.75,3.75,0.0037,0.18,5.07,,
O:AMD160506C00003500,2016-05-02,2016-05-06,AMD,C,3.5,339,0.05,0.06,-6.67,YES,0.06,1.47,0.05,1.33,0.06,0.05,30,1462161600000000000,4,3.58,3.74,3.75,3.57,3.75,3.68,3.75,3.75,0.0037,0.06,1.6,,
O:AMD160506C00004000,2016-05-02,2016-05-06,AMD,C,4.0,834,0.01,0.01,6.67,NO,0.01,0.27,0.01,0.27,0.01,0.01,24,1462161600000000000,4,3.58,3.74,3.75,3.57,3.75,3.68,3.75,3.75,0.0037,0.01,0.27,0.4914,0.1004
O:AMD160513C00002000,2016-05-09,2016-05-13,AMD,C,2.0,2,0.38,0.38,-45.65,YES,0.38,10.33,0.38,10.33,0.38,0.38,1,1462766400000000000,4,3.66,3.65,3.68,3.45,3.68,3.67,3.73,3.73,0.0037,0.38,10.33,,
O:AMD160513C00003000,2016-05-09,2016-05-13,AMD,C,3.0,52,0.14,0.12,-18.48,YES,0.13,3.53,0.12,3.26,0.14,0.12,3,1462766400000000000,4,3.66,3.65,3.68,3.45,3.68,3.67,3.73,3.73,0.0037,0.13,3.8,,
O:AMD160513C00003500,2016-05-09,2016-05-13,AMD,C,3.5,281,0.05,0.04,-4.89,YES,0.04,0.95,0.02,0.54,0.05,0.02,21,1462766400000000000,4,3.66,3.65,3.68,3.45,3.68,3.67,3.73,3.73,0.0037,0.04,1.36,,
O:AMD160513C00004000,2016-05-09,2016-05-13,AMD,C,4.0,55,0.0,0.0,8.7,NO,0.0,0.0,0.0,0.0,0.0,0.0,3,1462766400000000000,4,3.66,3.65,3.68,3.45,3.68,3.67,3.73,3.73,0.0037,0.0,0.0,,
O:AMD160520C00001500,2016-05-16,2016-05-20,AMD,C,1.5,1,0.56,0.56,-61.04,YES,0.56,14.55,0.56,14.55,0.56,0.56,1,1463371200000000000,4,3.67,3.79,3.85,3.65,3.85,3.87,3.9,3.9,0.0037,0.56,14.55,,
O:AMD160520C00002500,2016-05-16,2016-05-20,AMD,C,2.5,84,0.3,0.32,-35.06,YES,0.31,8.05,0.3,7.79,0.32,0.3,8,1463371200000000000,4,3.67,3.79,3.85,3.65,3.85,3.87,3.9,3.9,0.0037,0.31,8.31,,
O:AMD160520C00003000,2016-05-16,2016-05-20,AMD,C,3.0,12,0.19,0.2,-22.08,YES,0.2,5.06,0.19,4.94,0.2,0.19,2,1463371200000000000,4,3.67,3.79,3.85,3.65,3.85,3.87,3.9,3.9,0.0037,0.2,5.19,,
O:AMD160520C00003500,2016-05-16,2016-05-20,AMD,C,3.5,1545,0.06,0.08,-9.09,YES,0.08,1.95,0.06,1.56,0.09,0.06,34,1463371200000000000,4,3.67,3.79,3.85,3.65,3.85,3.87,3.9,3.9,0.0037,0.08,2.34,,
O:AMD160520C00004000,2016-05-16,2016-05-20,AMD,C,4.0,1829,0.01,0.02,3.9,NO,0.02,0.39,0.01,0.26,0.02,0.01,98,1463371200000000000,4,3.67,3.79,3.85,3.65,3.85,3.87,3.9,3.9,0.0037,0.02,0.52,0.4345,0.1943
O:AMD160527C00002500,2016-05-23,2016-05-27,AMD,C,2.5,1,0.38,0.38,-40.48,YES,0.38,9.05,0.38,9.05,0.38,0.38,1,1463976000000000000,4,3.9,4.04,4.2,3.88,4.2,4.6,4.63,4.63,0.0037,0.38,9.05,,
O:AMD160527C00003000,2016-05-23,2016-05-27,AMD,C,3.0,27,0.28,0.28,-28.57,YES,0.28,6.67,0.28,6.67,0.28,0.28,3,1463976000000000000,4,3.9,4.04,4.2,3.88,4.2,4.6,4.63,4.63,0.0037,0.28,6.67,,
O:AMD160527C00003500,2016-05-23,2016-05-27,AMD,C,3.5,1,0.11,0.11,-16.67,YES,0.11,2.62,0.11,2.62,0.11,0.11,1,1463976000000000000,4,3.9,4.04,4.2,3.88,4.2,4.6,4.63,4.63,0.0037,0.11,2.62,,
O:AMD160527C00004000,2016-05-23,2016-05-27,AMD,C,4.0,6186,0.02,0.04,-4.76,YES,0.04,0.95,0.02,0.48,0.06,0.02,171,1463976000000000000,4,3.9,4.04,4.2,3.88,4.2,4.6,4.63,4.63,0.0037,0.04,1.43,,
O:AMD160527C00004500,2016-05-23,2016-05-27,AMD,C,4.5,585,0.0,0.0,7.14,NO,0.0,0.12,0.0,0.0,0.01,0.0,21,1463976000000000000,4,3.9,4.04,4.2,3.88,4.2,4.6,4.63,4.63,0.0037,0.0,0.24,,
O:AMD160603C00003500,2016-05-31,2016-06-03,AMD,C,3.5,1,0.27,0.27,-25.69,YES,0.27,5.73,0.27,5.73,0.27,0.27,1,1464667200000000000,3,4.67,4.57,4.71,4.5,4.71,4.16,4.2,4.2,0.0037,0.27,5.73,,
O:AMD160603C00004000,2016-05-31,2016-06-03,AMD,C,4.0,47,0.17,0.14,-15.07,YES,0.16,3.4,0.14,2.97,0.18,0.14,4,1464667200000000000,3,4.67,4.57,4.71,4.5,4.71,4.16,4.2,4.2,0.0037,0.16,3.82,,
O:AMD160603C00004500,2016-05-31,2016-06-03,AMD,C,4.5,822,0.06,0.04,-4.46,YES,0.04,0.96,0.03,0.64,0.06,0.03,58,1464667200000000000,3,4.67,4.57,4.71,4.5,4.71,4.16,4.2,4.2,0.0037,0.04,1.27,,
O:AMD160603C00005000,2016-05-31,2016-06-03,AMD,C,5.0,1156,0.01,0.0,6.16,NO,0.01,0.21,0.0,0.0,0.02,0.0,26,1464667200000000000,3,4.67,4.57,4.71,4.5,4.71,4.16,4.2,4.2,0.0037,0.01,0.42,,
O:AMD160610C00004000,2016-06-06,2016-06-10,AMD,C,4.0,87,0.06,0.12,-11.31,YES,0.09,2.0,0.06,1.33,0.12,0.06,7,1465185600000000000,4,4.2,4.47,4.51,4.17,4.51,4.32,4.47,4.47,0.0038,0.09,2.66,,
O:AMD160610C00004500,2016-06-06,2016-06-10,AMD,C,4.5,2134,0.01,0.02,-0.22,YES,0.02,0.44,0.01,0.22,0.03,0.01,61,1465185600000000000,4,4.2,4.47,4.51,4.17,4.51,4.32,4.47,4.47,0.0038,0.02,0.67,0.0762,0.6101
O:AMD160610C00005000,2016-06-06,2016-06-10,AMD,C,5.0,56,0.0,0.0,10.86,NO,0.0,0.0,0.0,0.0,0.0,0.0,5,1465185600000000000,4,4.2,4.47,4.51,4.17,4.51,4.32,4.47,4.47,0.0038,0.0,0.0,,
O:AMD160617C00002500,2016-06-13,2016-06-17,AMD,C,2.5,1,0.46,0.46,-44.2,YES,0.46,10.27,0.46,10.27,0.46,0.46,1,1465790400000000000,4,4.32,4.4,4.48,4.32,4.48,5.26,5.27,5.27,0.0038,0.46,10.27,,
O:AMD160617C00003500,2016-06-13,2016-06-17,AMD,C,3.5,30,0.22,0.24,-21.88,YES,0.23,5.13,0.22,4.91,0.24,0.22,2,1465790400000000000,4,4.32,4.4,4.48,4.32,4.48,5.26,5.27,5.27,0.0038,0.23,5.36,,
O:AMD160617C00004000,2016-06-13,2016-06-17,AMD,C,4.0,443,0.09,0.1,-10.71,YES,0.1,2.34,0.09,2.01,0.12,0.09,14,1465790400000000000,4,4.32,4.4,4.48,4.32,4.48,5.26,5.27,5.27,0.0038,0.1,2.68,,
O:AMD160617C00004500,2016-06-13,2016-06-17,AMD,C,4.5,1040,0.02,0.02,0.45,NO,0.02,0.56,0.02,0.45,0.03,0.02,59,1465790400000000000,4,4.32,4.4,4.48,4.32,4.48,5.26,5.27,5.27,0.0038,0.02,0.67,0.1537,0.3889
O:AMD160617C00005000,2016-06-13,2016-06-17,AMD,C,5.0,51,0.0,0.0,11.61,NO,0.0,0.0,0.0,0.0,0.0,0.0,2,1465790400000000000,4,4.32,4.4,4.48,4.32,4.48,5.26,5.27,5.27,0.0038,0.0,0.0,,
O:AMD160624C00003000,2016-06-20,2016-06-24,AMD,C,3.0,10,0.57,0.57,-44.95,YES,0.57,10.46,0.57,10.46,0.57,0.57,2,1466395200000000000,4,5.39,5.1,5.45,5.09,5.45,4.88,5.07,5.07,0.0038,0.57,10.46,,
O:AMD160624C00004000,2016-06-20,2016-06-24,AMD,C,4.0,30,0.34,0.31,-26.61,YES,0.32,5.96,0.31,5.69,0.34,0.31,4,1466395200000000000,4,5.39,5.1,5.45,5.09,5.45,4.88,5.07,5.07,0.0038,0.32,6.24,,
O:AMD160624C00004500,2016-06-20,2016-06-24,AMD,C,4.5,50,0.19,0.16,-17.43,YES,0.18,3.39,0.16,2.94,0.21,0.16,8,1466395200000000000,4,5.39,5.1,5.45,5.09,5.45,4.88,5.07,5.07,0.0038,0.18,3.85,,
O:AMD160624C00005000,2016-06-20,2016-06-24,AMD,C,5.0,1045,0.11,0.05,-8.26,YES,0.08,1.56,0.05,0.92,0.12,0.05,103,1466395200000000000,4,5.39,5.1,5.45,5.09,5.45,4.88,5.07,5.07,0.0038,0.08,2.2,,
O:AMD160624C00005500,2016-06-20,2016-06-24,AMD,C,5.5,5890,0.04,0.01,0.92,NO,0.02,0.46,0.01,0.18,0.04,0.01,193,1466395200000000000,4,5.39,5.1,5.45,5.09,5.45,4.88,5.07,5.07,0.0038,0.02,0.73,0.1232,0.2384
