ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:AMD250110C00085000,2025-01-06,2025-01-10,AMD,C,85.0,3,11.32,11.32,11.32,11.32,1,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00090000,2025-01-06,2025-01-10,AMD,C,90.0,2,10.05,10.03,10.05,10.03,2,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00095000,2025-01-06,2025-01-10,AMD,C,95.0,3,8.69,8.69,8.69,8.69,1,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00100000,2025-01-06,2025-01-10,AMD,C,100.0,27,7.25,7.52,7.64,7.25,11,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00105000,2025-01-06,2025-01-10,AMD,C,105.0,14,6.04,6.09,6.18,6.04,3,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00108000,2025-01-06,2025-01-10,AMD,C,108.0,2,5.34,5.54,5.54,5.34,2,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00109000,2025-01-06,2025-01-10,AMD,C,109.0,9,4.92,5.24,5.41,4.92,6,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00110000,2025-01-06,2025-01-10,AMD,C,110.0,99,4.8,4.9,5.11,4.62,47,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00111000,2025-01-06,2025-01-10,AMD,C,111.0,3,4.38,4.66,4.68,4.38,3,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00112000,2025-01-06,2025-01-10,AMD,C,112.0,18,3.96,4.5,4.53,3.96,5,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00113000,2025-01-06,2025-01-10,AMD,C,113.0,41,3.64,4.3,4.38,3.64,25,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00114000,2025-01-06,2025-01-10,AMD,C,114.0,25,3.75,3.75,4.08,3.75,12,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00115000,2025-01-06,2025-01-10,AMD,C,115.0,101,3.19,3.76,3.95,3.19,53,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00116000,2025-01-06,2025-01-10,AMD,C,116.0,28,3.08,3.41,3.58,3.08,13,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00117000,2025-01-06,2025-01-10,AMD,C,117.0,50,3.05,3.32,3.35,2.9,26,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00118000,2025-01-06,2025-01-10,AMD,C,118.0,80,2.79,3.05,3.22,2.74,32,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00119000,2025-01-06,2025-01-10,AMD,C,119.0,145,2.36,2.66,2.96,2.36,37,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00120000,2025-01-06,2025-01-10,AMD,C,120.0,1111,2.35,2.5,2.74,2.02,247,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00121000,2025-01-06,2025-01-10,AMD,C,121.0,293,2.1,2.22,2.41,1.8,79,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00122000,2025-01-06,2025-01-10,AMD,C,122.0,641,1.86,2.01,2.26,1.62,179,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00123000,2025-01-06,2025-01-10,AMD,C,123.0,1134,1.68,1.75,2.0,1.39,314,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00124000,2025-01-06,2025-01-10,AMD,C,124.0,1172,1.5,1.6,1.79,1.15,388,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00125000,2025-01-06,2025-01-10,AMD,C,125.0,12274,1.24,1.34,1.58,0.98,1422,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00126000,2025-01-06,2025-01-10,AMD,C,126.0,9668,1.06,1.14,1.38,0.84,713,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00127000,2025-01-06,2025-01-10,AMD,C,127.0,8379,0.92,0.95,1.19,0.72,987,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00128000,2025-01-06,2025-01-10,AMD,C,128.0,9086,0.76,0.81,1.02,0.59,1663,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00129000,2025-01-06,2025-01-10,AMD,C,129.0,14863,0.64,0.66,0.86,0.47,3418,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00130000,2025-01-06,2025-01-10,AMD,C,130.0,46804,0.52,0.56,0.73,0.38,10003,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00131000,2025-01-06,2025-01-10,AMD,C,131.0,23993,0.43,0.44,0.6,0.33,3763,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00132000,2025-01-06,2025-01-10,AMD,C,132.0,36330,0.33,0.36,0.5,0.24,5832,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00133000,2025-01-06,2025-01-10,AMD,C,133.0,21874,0.28,0.29,0.41,0.2,2784,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00134000,2025-01-06,2025-01-10,AMD,C,134.0,7793,0.24,0.22,0.33,0.15,1741,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00135000,2025-01-06,2025-01-10,AMD,C,135.0,35351,0.13,0.18,0.27,0.12,5243,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00136000,2025-01-06,2025-01-10,AMD,C,136.0,3577,0.14,0.14,0.22,0.1,967,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00137000,2025-01-06,2025-01-10,AMD,C,137.0,19632,0.11,0.11,0.18,0.08,1080,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00138000,2025-01-06,2025-01-10,AMD,C,138.0,2615,0.09,0.08,0.14,0.06,737,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00139000,2025-01-06,2025-01-10,AMD,C,139.0,1947,0.07,0.08,0.12,0.05,545,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00140000,2025-01-06,2025-01-10,AMD,C,140.0,17819,0.06,0.06,0.09,0.04,2713,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00145000,2025-01-06,2025-01-10,AMD,C,145.0,9766,0.02,0.02,0.04,0.02,1087,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00150000,2025-01-06,2025-01-10,AMD,C,150.0,4554,0.02,0.02,0.02,0.01,627,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00155000,2025-01-06,2025-01-10,AMD,C,155.0,1157,0.01,0.01,0.02,0.01,218,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00160000,2025-01-06,2025-01-10,AMD,C,160.0,755,0.0,0.01,0.01,0.0,166,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00165000,2025-01-06,2025-01-10,AMD,C,165.0,259,0.01,0.0,0.01,0.0,66,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00170000,2025-01-06,2025-01-10,AMD,C,170.0,247,0.0,0.0,0.0,0.0,15,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00175000,2025-01-06,2025-01-10,AMD,C,175.0,572,0.0,0.0,0.0,0.0,17,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00180000,2025-01-06,2025-01-10,AMD,C,180.0,563,0.0,0.0,0.0,0.0,90,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00185000,2025-01-06,2025-01-10,AMD,C,185.0,591,0.0,0.0,0.0,0.0,45,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00190000,2025-01-06,2025-01-10,AMD,C,190.0,382,0.0,0.0,0.0,0.0,13,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250110C00200000,2025-01-06,2025-01-10,AMD,C,200.0,4,0.0,0.0,0.0,0.0,4,1736139600000000000,4,129.07,129.55,130.73,127.36,130.73,116.04,118.71,118.71
O:AMD250117C00025000,2025-01-13,2025-01-17,AMD,C,25.0,6,22.7,22.94,22.94,22.7,2,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00045000,2025-01-13,2025-01-17,AMD,C,45.0,7,17.66,18.1,18.1,17.58,5,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00050000,2025-01-13,2025-01-17,AMD,C,50.0,3,16.44,16.81,16.81,16.44,2,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00060000,2025-01-13,2025-01-17,AMD,C,60.0,13,14.04,14.16,14.16,13.88,4,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00065000,2025-01-13,2025-01-17,AMD,C,65.0,140,12.94,13.1,13.1,12.92,16,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00070000,2025-01-13,2025-01-17,AMD,C,70.0,23,11.36,11.86,11.86,11.36,6,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00075000,2025-01-13,2025-01-17,AMD,C,75.0,26,10.07,10.61,10.61,10.07,7,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00080000,2025-01-13,2025-01-17,AMD,C,80.0,16,8.83,9.32,9.32,8.82,11,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00085000,2025-01-13,2025-01-17,AMD,C,85.0,43,7.59,8.07,8.11,7.58,14,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00090000,2025-01-13,2025-01-17,AMD,C,90.0,167,6.49,6.86,6.88,6.21,26,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00095000,2025-01-13,2025-01-17,AMD,C,95.0,11,5.12,5.6,5.6,5.08,11,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
O:AMD250117C00100000,2025-01-13,2025-01-17,AMD,C,100.0,218,3.98,4.36,4.38,3.7,45,1736744400000000000,4,115.28,117.32,117.48,114.41,117.48,121.46,122.74,122.74
