ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:AMD190111C00012500,2019-01-07,2019-01-11,AMD,C,125.0,2,7.05,7.75,504.45,NO,7.4,35.78,7.05,34.09,7.75,7.05,2,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,7.4,37.48
O:AMD190111C00014000,2019-01-07,2019-01-11,AMD,C,140.0,17,5.5,6.65,576.98,NO,6.08,29.38,5.5,26.6,6.65,5.5,5,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,6.08,32.16
O:AMD190111C00015000,2019-01-07,2019-01-11,AMD,C,150.0,7,5.4,5.65,625.34,NO,5.52,26.72,5.4,26.11,5.65,5.4,4,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,5.52,27.32
O:AMD190111C00015500,2019-01-07,2019-01-11,AMD,C,155.0,6,3.85,4.85,649.52,NO,4.35,21.03,3.85,18.62,4.85,3.85,4,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,4.35,23.45
O:AMD190111C00016000,2019-01-07,2019-01-11,AMD,C,160.0,118,3.45,4.56,673.69,NO,3.95,19.1,3.25,15.72,4.65,3.25,20,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,3.95,22.49
O:AMD190111C00016500,2019-01-07,2019-01-11,AMD,C,165.0,318,2.89,3.95,697.87,NO,3.32,16.08,2.7,13.06,3.95,2.7,29,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,3.32,19.1
O:AMD190111C00017000,2019-01-07,2019-01-11,AMD,C,170.0,721,2.33,3.63,722.05,NO,2.96,14.29,2.26,10.93,3.65,2.26,78,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,2.96,17.65
O:AMD190111C00017500,2019-01-07,2019-01-11,AMD,C,175.0,308,1.95,3.17,746.23,NO,2.5,12.11,1.81,8.75,3.2,1.81,86,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,2.5,15.47
O:AMD190111C00018000,2019-01-07,2019-01-11,AMD,C,180.0,1982,1.81,2.71,770.41,NO,2.1,10.18,1.46,7.06,2.75,1.46,227,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,2.1,13.3
O:AMD190111C00018500,2019-01-07,2019-01-11,AMD,C,185.0,3115,1.4,2.25,794.58,NO,1.73,8.37,1.14,5.51,2.32,1.14,261,1546837200000000000,4,Weekly,19.44,20.57,20.68,19.0,20.68,20.27,20.35,20.35,0.024,1.73,11.22
