ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AMZN170217C00690000,2017-01-17,2017-02-17,AMZN,C,34.5,5.0,2.52,2.52,-15.44,YES,2.52,6.18,2.52,6.18,2.52,2.52,1.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,2.52,6.18,,
O:AMZN170217C00700000,2017-01-17,2017-02-17,AMZN,C,35.0,21.0,2.39,2.34,-14.22,YES,2.37,5.8,2.34,5.74,2.39,2.34,3.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,2.37,5.86,,
O:AMZN170217C00720000,2017-01-17,2017-02-17,AMZN,C,36.0,4.0,2.08,1.95,-11.76,YES,2.02,4.94,1.95,4.78,2.08,1.95,2.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,2.02,5.1,,
O:AMZN170217C00730000,2017-01-17,2017-02-17,AMZN,C,36.5,1.0,1.78,1.78,-10.54,YES,1.78,4.36,1.78,4.36,1.78,1.78,1.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.78,4.36,,
O:AMZN170217C00740000,2017-01-17,2017-02-17,AMZN,C,37.0,2.0,1.67,1.59,-9.31,YES,1.63,4.0,1.59,3.9,1.67,1.59,2.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.63,4.09,,
O:AMZN170217C00750000,2017-01-17,2017-02-17,AMZN,C,37.5,27.0,1.54,1.42,-8.09,YES,1.47,3.6,1.4,3.43,1.54,1.4,14.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.47,3.77,,
O:AMZN170217C00755000,2017-01-17,2017-02-17,AMZN,C,37.75,2.0,1.39,1.39,-7.48,YES,1.39,3.41,1.39,3.41,1.39,1.39,2.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.39,3.41,,
O:AMZN170217C00760000,2017-01-17,2017-02-17,AMZN,C,38.0,18.0,1.34,1.25,-6.86,YES,1.28,3.15,1.23,3.01,1.34,1.23,10.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.28,3.28,,
O:AMZN170217C00765000,2017-01-17,2017-02-17,AMZN,C,38.25,20.0,1.24,1.18,-6.25,YES,1.2,2.94,1.16,2.84,1.24,1.16,10.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.2,3.04,,
O:AMZN170217C00770000,2017-01-17,2017-02-17,AMZN,C,38.5,24.0,1.12,1.1,-5.64,YES,1.1,2.71,1.04,2.55,1.17,1.04,19.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.1,2.87,,
O:AMZN170217C00775000,2017-01-17,2017-02-17,AMZN,C,38.75,33.0,1.06,1.03,-5.02,YES,1.05,2.57,1.01,2.48,1.09,1.01,14.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,1.05,2.67,,
O:AMZN170217C00780000,2017-01-17,2017-02-17,AMZN,C,39.0,26.0,1.04,0.94,-4.41,YES,0.98,2.41,0.93,2.28,1.04,0.93,13.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.98,2.55,,
O:AMZN170217C00785000,2017-01-17,2017-02-17,AMZN,C,39.25,45.0,0.93,0.89,-3.8,YES,0.9,2.22,0.88,2.16,0.93,0.88,8.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.9,2.28,,
O:AMZN170217C00790000,2017-01-17,2017-02-17,AMZN,C,39.5,173.0,0.9,0.83,-3.19,YES,0.85,2.08,0.8,1.96,0.9,0.8,47.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.85,2.21,,
O:AMZN170217C00795000,2017-01-17,2017-02-17,AMZN,C,39.75,10.0,0.81,0.76,-2.57,YES,0.77,1.9,0.73,1.79,0.82,0.73,10.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.77,2.01,,
O:AMZN170217C00800000,2017-01-17,2017-02-17,AMZN,C,40.0,248.0,0.81,0.69,-1.96,YES,0.74,1.81,0.66,1.62,0.82,0.66,91.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.74,2.01,,
O:AMZN170217C00805000,2017-01-17,2017-02-17,AMZN,C,40.25,84.0,0.76,0.63,-1.35,YES,0.68,1.68,0.61,1.5,0.76,0.61,40.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.68,1.86,0.05,0.82
O:AMZN170217C00810000,2017-01-17,2017-02-17,AMZN,C,40.5,327.0,0.66,0.6,-0.74,YES,0.61,1.5,0.56,1.37,0.66,0.56,96.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.61,1.62,0.09,0.62
O:AMZN170217C00815000,2017-01-17,2017-02-17,AMZN,C,40.75,168.0,0.6,0.55,-0.12,YES,0.56,1.38,0.52,1.27,0.61,0.52,59.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.56,1.5,0.11,0.52
O:AMZN170217C00820000,2017-01-17,2017-02-17,AMZN,C,41.0,205.0,0.55,0.5,0.49,YES,0.52,1.26,0.47,1.15,0.56,0.47,64.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.52,1.37,0.12,0.44
O:AMZN170217C00825000,2017-01-17,2017-02-17,AMZN,C,41.25,389.0,0.48,0.45,1.1,YES,0.48,1.16,0.44,1.08,0.51,0.44,53.0,1484629200000000000,31.0,Monthly,40.78,40.49,40.8,40.17,40.8,42.25,42.36,42.36,0.0065,0.48,1.25,0.13,0.39
