ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:AMZN190111C01285000,2019-01-07,2019-01-11,AMZN,C,1285.0,1,6.75,6.75,1477.07,NO,6.75,0.5253,6.75,0.5253,6.75,6.75,1,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01300000,2019-01-07,2019-01-11,AMZN,C,1300.0,55,6.36,6.96,1495.48,NO,6.96,0.5354,6.11,0.47,6.96,6.11,21,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01305000,2019-01-07,2019-01-11,AMZN,C,1305.0,1,6.68,6.68,1501.62,NO,6.68,0.5119,6.68,0.5119,6.68,6.68,1,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01325000,2019-01-07,2019-01-11,AMZN,C,1325.0,6,5.84,5.84,1526.17,NO,5.84,0.4408,5.84,0.4408,5.84,5.84,2,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01350000,2019-01-07,2019-01-11,AMZN,C,1350.0,41,5.9,5.77,1556.85,NO,5.77,0.4274,5.66,0.4193,5.9,5.66,3,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01360000,2019-01-07,2019-01-11,AMZN,C,1360.0,40,5.45,5.57,1569.12,NO,5.57,0.4096,5.45,0.4007,5.57,5.45,2,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01375000,2019-01-07,2019-01-11,AMZN,C,1375.0,5,5.16,5.16,1587.53,NO,5.16,0.3753,5.16,0.3753,5.16,5.16,1,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01390000,2019-01-07,2019-01-11,AMZN,C,1390.0,2,4.48,4.94,1605.94,NO,4.94,0.3554,4.48,0.3223,4.94,4.48,2,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01400000,2019-01-07,2019-01-11,AMZN,C,1400.0,36,4.23,4.88,1618.21,NO,4.88,0.3486,4.08,0.2914,4.88,4.08,22,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01402500,2019-01-07,2019-01-11,AMZN,C,1402.5,2,4.32,4.44,1621.28,NO,4.44,0.3166,4.32,0.308,4.44,4.32,2,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01405000,2019-01-07,2019-01-11,AMZN,C,1405.0,1,4.53,4.53,1624.35,NO,4.53,0.3224,4.53,0.3224,4.53,4.53,1,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01410000,2019-01-07,2019-01-11,AMZN,C,1410.0,3,4.16,4.5,1630.49,NO,4.5,0.3191,4.16,0.295,4.5,4.16,3,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
O:AMZN190111C01430000,2019-01-07,2019-01-11,AMZN,C,1430.0,15,3.69,4.08,1655.03,NO,4.08,0.2853,3.47,0.2427,4.08,3.47,11,1546837200000000000,4,Weekly,81.48,81.48,81.48,81.48,81.48,81.48,81.73,81.48
