Date,Close/Last,Volume,Open,High,Low
01/09/2026,$344.97,22482510,$337.92,$347.39,$333.50
01/08/2026,$332.48,24385180,$342.78,$343.68,$330.50
01/07/2026,$343.50,20249260,$341.70,$349.70,$335.88
01/06/2026,$343.77,27135530,$343.60,$349.05,$338.00
01/05/2026,$343.42,31136050,$354.74,$355.03,$336.50
01/02/2026,$347.62,25398630,$352.775,$360.66,$345.56
12/31/2025,$346.10,15346050,$349.73,$349.88,$345.42
12/30/2025,$349.85,16633610,$349.97,$352.68,$349.30
12/29/2025,$349.39,21946860,$348.72,$350.33,$344.69
12/26/2025,$352.13,15028130,$351.06,$353.25,$347.75
12/24/2025,$350.22,11424400,$350.685,$352.86,$347.14
12/23/2025,$349.32,28232580,$340.81,$350.11,$338.54
12/22/2025,$341.45,28739580,$346.03,$346.24,$337.22
12/19/2025,$340.36,159095200,$333.335,$343.45,$332.5775
12/18/2025,$329.88,54501920,$336.00,$336.025,$323.63
12/17/2025,$326.02,73300900,$346.61,$346.61,$321.42
12/16/2025,$341.30,58061050,$336.02,$347.4999,$335.06
12/15/2025,$339.81,65894900,$361.89,$362.00,$337.51
12/12/2025,$359.93,95588460,$379.96,$382.00,$355.15
12/11/2025,$406.37,45681620,$404.825,$409.30,$394.19
12/10/2025,$412.97,31530980,$402.20,$414.61,$399.56
12/09/2025,$406.29,24545960,$398.745,$406.93,$395.51
12/08/2025,$401.10,30410550,$402.48,$407.285,$397.40
12/05/2025,$390.24,24779920,$386.165,$393.53,$385.1452
12/04/2025,$381.03,15845860,$380.68,$383.89,$376.53
12/03/2025,$380.61,21336370,$380.00,$382.30,$370.65
12/02/2025,$381.57,22206950,$388.31,$393.50,$379.79
12/01/2025,$386.08,23251970,$394.85,$395.42,$385.10
11/28/2025,$402.96,13365500,$399.35,$403.00,$397.16
11/26/2025,$397.57,28693010,$385.55,$399.87,$383.26
11/25/2025,$385.03,33507570,$384.93,$388.13,$371.75
11/24/2025,$377.96,47262430,$347.73,$382.00,$347.66
11/21/2025,$340.20,30280340,$345.155,$348.60,$331.80
11/20/2025,$346.82,28866960,$366.00,$376.08,$345.18
11/19/2025,$354.42,21851880,$340.705,$359.69,$337.80
11/18/2025,$340.50,21726810,$343.20,$347.97,$335.51
11/17/2025,$342.65,14799570,$339.815,$352.20,$337.52
11/14/2025,$342.46,18500850,$331.47,$344.74,$329.06
11/13/2025,$339.98,22616620,$351.58,$353.55,$334.16
11/12/2025,$355.22,12190450,$358.035,$358.87,$351.68
11/11/2025,$351.96,16446800,$358.97,$361.885,$349.67
11/10/2025,$358.39,16408960,$357.90,$360.00,$354.61
11/07/2025,$349.43,21903220,$354.185,$354.50,$337.27
11/06/2025,$355.59,19896860,$360.11,$363.50,$352.71
11/05/2025,$358.98,17087640,$350.89,$364.8699,$350.0913
11/04/2025,$351.94,24047460,$358.52,$368.95,$351.00
11/03/2025,$362.55,17198920,$372.00,$374.85,$361.98
10/31/2025,$369.63,21598440,$378.27,$378.82,$365.10
10/30/2025,$376.47,24295270,$386.40,$386.40,$370.06
10/29/2025,$385.98,24975210,$373.19,$386.48,$373.19
10/28/2025,$372.97,21056050,$362.62,$374.06,$362.53
10/27/2025,$362.05,20065770,$361.54,$362.75,$355.08
10/24/2025,$354.13,16143740,$352.51,$358.30,$350.875
10/23/2025,$344.29,12859160,$340.40,$346.57,$340.40
10/22/2025,$340.30,19268830,$347.30,$348.01,$335.51
10/21/2025,$342.66,16092580,$350.00,$351.10,$341.31
10/20/2025,$349.24,15640230,$353.80,$356.59,$347.84
10/17/2025,$349.33,20937940,$349.61,$350.97,$340.78
10/16/2025,$354.15,20317220,$356.80,$363.24,$349.485
10/15/2025,$351.33,23918540,$354.47,$359.40,$347.50
10/14/2025,$344.13,22078000,$350.125,$350.67,$339.6532
10/13/2025,$356.70,45984260,$352.77,$359.38,$343.5201
10/10/2025,$324.63,28941010,$345.39,$350.60,$324.05
