ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:AVGO160108C00120000,2016-01-04,2016-01-08,AVGO,C,12.0,1,5.42,5.42,,NO,5.42,,5.42,,5.42,5.42,1,1451883600000000000,4,,,,,,,,,0.0034,5.42,
O:AVGO160108C00125000,2016-01-04,2016-01-08,AVGO,C,12.5,1,4.17,4.17,,NO,4.17,,4.17,,4.17,4.17,1,1451883600000000000,4,,,,,,,,,0.0034,4.17,
O:AVGO160108C00141000,2016-01-04,2016-01-08,AVGO,C,14.1,50,0.84,0.62,,NO,0.74,,0.62,,0.87,0.62,5,1451883600000000000,4,,,,,,,,,0.0034,0.74,
O:AVGO160108C00142000,2016-01-04,2016-01-08,AVGO,C,14.2,33,0.67,0.57,,NO,0.58,,0.49,,0.67,0.49,7,1451883600000000000,4,,,,,,,,,0.0034,0.58,
O:AVGO160108C00143000,2016-01-04,2016-01-08,AVGO,C,14.3,14,0.44,0.48,,NO,0.46,,0.44,,0.48,0.44,3,1451883600000000000,4,,,,,,,,,0.0034,0.46,
O:AVGO160108C00144000,2016-01-04,2016-01-08,AVGO,C,14.4,12,0.38,0.4,,NO,0.39,,0.38,,0.4,0.38,3,1451883600000000000,4,,,,,,,,,0.0034,0.39,
O:AVGO160108C00145000,2016-01-04,2016-01-08,AVGO,C,14.5,50,0.34,0.29,,NO,0.29,,0.24,,0.34,0.24,8,1451883600000000000,4,,,,,,,,,0.0034,0.29,
O:AVGO160108C00146000,2016-01-04,2016-01-08,AVGO,C,14.6,28,0.21,0.22,,NO,0.22,,0.2,,0.23,0.2,7,1451883600000000000,4,,,,,,,,,0.0034,0.22,
O:AVGO160108C00147000,2016-01-04,2016-01-08,AVGO,C,14.7,12,0.14,0.14,,NO,0.14,,0.14,,0.14,0.14,2,1451883600000000000,4,,,,,,,,,0.0034,0.14,
O:AVGO160108C00148000,2016-01-04,2016-01-08,AVGO,C,14.8,27,0.12,0.1,,NO,0.11,,0.1,,0.12,0.1,8,1451883600000000000,4,,,,,,,,,0.0034,0.11,
O:AVGO160108C00149000,2016-01-04,2016-01-08,AVGO,C,14.9,19,0.08,0.08,,NO,0.08,,0.08,,0.09,0.08,3,1451883600000000000,4,,,,,,,,,0.0034,0.08,
O:AVGO160108C00150000,2016-01-04,2016-01-08,AVGO,C,15.0,25,0.06,0.06,,NO,0.07,,0.06,,0.08,0.06,10,1451883600000000000,4,,,,,,,,,0.0034,0.07,
