ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:AVGO180112C00255000,2018-01-08,2018-01-12,AVGO,C,17.0,11,4.19,4.38,4.38,4.19,2,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00257500,2018-01-08,2018-01-12,AVGO,C,17.17,10,3.58,3.58,3.58,3.58,1,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00260000,2018-01-08,2018-01-12,AVGO,C,17.33,730,2.88,3.18,3.18,2.88,55,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00262500,2018-01-08,2018-01-12,AVGO,C,17.5,598,2.5,2.55,2.55,2.36,49,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00265000,2018-01-08,2018-01-12,AVGO,C,17.67,145,1.87,1.78,1.87,1.78,8,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00267500,2018-01-08,2018-01-12,AVGO,C,17.83,36,1.15,1.38,1.42,1.15,3,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00270000,2018-01-08,2018-01-12,AVGO,C,18.0,128,1.0,0.98,1.0,0.89,13,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00272500,2018-01-08,2018-01-12,AVGO,C,18.17,238,0.56,0.66,0.71,0.55,20,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00275000,2018-01-08,2018-01-12,AVGO,C,18.33,343,0.32,0.4,0.42,0.32,42,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00277500,2018-01-08,2018-01-12,AVGO,C,18.5,73,0.22,0.25,0.25,0.2,23,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00280000,2018-01-08,2018-01-12,AVGO,C,18.67,150,0.16,0.12,0.16,0.11,12,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00282500,2018-01-08,2018-01-12,AVGO,C,18.83,50,0.08,0.06,0.09,0.06,7,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00285000,2018-01-08,2018-01-12,AVGO,C,19.0,10,0.06,0.04,0.06,0.04,5,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00287500,2018-01-08,2018-01-12,AVGO,C,19.17,10,0.04,0.02,0.04,0.02,3,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180112C00292500,2018-01-08,2018-01-12,AVGO,C,19.5,2,0.01,0.01,0.01,0.01,2,1515387600000000000,4,27.09,27.23,27.26,26.91,27.26,26.43,26.53,26.53
O:AVGO180126C00250000,2018-01-22,2018-01-26,AVGO,C,16.67,412,3.11,2.98,3.11,2.95,26,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00252500,2018-01-22,2018-01-26,AVGO,C,16.83,419,2.9,2.39,2.9,2.36,27,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00255000,2018-01-22,2018-01-26,AVGO,C,17.0,10,2.12,2.12,2.12,2.12,1,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00257500,2018-01-22,2018-01-26,AVGO,C,17.17,34,1.43,1.41,1.85,1.41,9,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00260000,2018-01-22,2018-01-26,AVGO,C,17.33,111,1.33,1.0,1.4,0.99,25,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00262500,2018-01-22,2018-01-26,AVGO,C,17.5,166,0.86,0.65,1.02,0.61,31,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00265000,2018-01-22,2018-01-26,AVGO,C,17.67,453,0.45,0.36,0.69,0.36,37,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00267500,2018-01-22,2018-01-26,AVGO,C,17.83,57,0.59,0.24,0.59,0.24,26,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00270000,2018-01-22,2018-01-26,AVGO,C,18.0,435,0.22,0.12,0.3,0.12,61,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00272500,2018-01-22,2018-01-26,AVGO,C,18.17,281,0.12,0.1,0.16,0.09,34,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00275000,2018-01-22,2018-01-26,AVGO,C,18.33,97,0.1,0.04,0.1,0.04,12,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00277500,2018-01-22,2018-01-26,AVGO,C,18.5,2,0.05,0.05,0.05,0.05,2,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00280000,2018-01-22,2018-01-26,AVGO,C,18.67,33,0.04,0.02,0.06,0.02,9,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00282500,2018-01-22,2018-01-26,AVGO,C,18.83,13,0.04,0.01,0.04,0.01,3,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180126C00287500,2018-01-22,2018-01-26,AVGO,C,19.17,5,0.01,0.01,0.01,0.01,1,1516597200000000000,4,26.56,26.21,26.68,26.06,26.68,25.08,25.1,25.1
O:AVGO180202C00210000,2018-01-29,2018-02-02,AVGO,C,14.0,2,8.5,8.5,8.5,8.5,1,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
O:AVGO180202C00235000,2018-01-29,2018-02-02,AVGO,C,15.67,4,2.75,3.0,3.0,2.75,2,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
O:AVGO180202C00240000,2018-01-29,2018-02-02,AVGO,C,16.0,398,2.0,1.91,2.0,1.49,33,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
O:AVGO180202C00242500,2018-01-29,2018-02-02,AVGO,C,16.17,368,1.49,1.3,1.49,1.16,19,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
O:AVGO180202C00245000,2018-01-29,2018-02-02,AVGO,C,16.33,241,1.15,1.03,1.2,0.82,45,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
O:AVGO180202C00247500,2018-01-29,2018-02-02,AVGO,C,16.5,101,1.0,0.75,1.0,0.54,35,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
O:AVGO180202C00250000,2018-01-29,2018-02-02,AVGO,C,16.67,1827,0.7,0.55,0.78,0.35,148,1517202000000000000,4,24.83,24.55,24.95,24.35,24.95,23.55,23.8,23.8
