ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AVGO210108C00400000,2021-01-04,2021-01-08,AVGO,C,40.0,11,9.27,6.25,-9.54,YES,7.76,17.55,6.25,14.13,9.27,6.25,2,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,7.76,20.96,2.15,0.6305
O:AVGO210108C00402500,2021-01-04,2021-01-08,AVGO,C,40.25,1,5.35,5.35,-8.98,YES,5.35,12.1,5.35,12.1,5.35,5.35,1,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,5.35,12.1,1.6755,0.6732
O:AVGO210108C00405000,2021-01-04,2021-01-08,AVGO,C,40.5,1,7.0,7.0,-8.41,YES,7.0,15.83,7.0,15.83,7.0,7.0,1,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,7.0,15.83,2.7914,0.5615
O:AVGO210108C00407500,2021-01-04,2021-01-08,AVGO,C,40.75,3,5.15,4.88,-7.85,YES,5.02,11.34,4.88,11.03,5.15,4.88,2,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,5.02,11.65,1.5867,0.6587
O:AVGO210108C00410000,2021-01-04,2021-01-08,AVGO,C,41.0,23,7.66,4.35,-7.28,YES,5.97,13.5,4.28,9.68,7.66,4.28,13,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,5.97,17.32,1.353,0.6783
O:AVGO210108C00415000,2021-01-04,2021-01-08,AVGO,C,41.5,47,6.14,3.52,-6.15,YES,4.72,10.67,3.3,7.46,6.14,3.3,11,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,4.72,13.88,1.0346,0.7027
O:AVGO210108C00417500,2021-01-04,2021-01-08,AVGO,C,41.75,34,5.62,2.8,-5.59,YES,4.0,9.04,2.38,5.38,5.62,2.38,12,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,4.0,12.71,0.6541,0.7897
O:AVGO210108C00420000,2021-01-04,2021-01-08,AVGO,C,42.0,94,5.26,2.4,-5.02,YES,3.71,8.39,2.16,4.88,5.26,2.16,13,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,3.71,11.89,0.4872,0.8376
O:AVGO210108C00422500,2021-01-04,2021-01-08,AVGO,C,42.25,39,4.14,2.2,-4.45,YES,2.96,6.68,1.77,4.0,4.14,1.77,10,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,2.96,9.36,0.4919,0.805
O:AVGO210108C00425000,2021-01-04,2021-01-08,AVGO,C,42.5,158,4.18,1.68,-3.89,YES,2.82,6.37,1.45,3.28,4.18,1.45,70,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,2.82,9.45,1.0127081278171255,0.6260109606800117
O:AVGO210108C00427500,2021-01-04,2021-01-08,AVGO,C,42.75,47,3.86,1.33,-3.32,YES,2.49,5.63,1.12,2.53,3.86,1.12,25,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,2.49,8.73,0.9099255433493086,0.6207287534795003
O:AVGO210108C00430000,2021-01-04,2021-01-08,AVGO,C,43.0,145,3.15,1.12,-2.76,YES,2.2,4.96,0.92,2.08,3.47,0.92,59,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,2.2,7.85,0.8305400189068777,0.6096550811456137
O:AVGO210108C00432500,2021-01-04,2021-01-08,AVGO,C,43.25,48,2.75,0.84,-2.19,YES,1.74,3.92,0.72,1.63,2.75,0.72,27,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,1.74,6.22,0.6530356062949659,0.6142475570292022
O:AVGO210108C00435000,2021-01-04,2021-01-08,AVGO,C,43.5,1098,2.36,0.66,-1.63,YES,1.56,3.54,0.55,1.24,2.58,0.55,346,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,1.56,5.83,0.6358696665083544,0.5845243412212086
O:AVGO210108C00437500,2021-01-04,2021-01-08,AVGO,C,43.75,107,1.62,0.46,-1.06,YES,1.19,2.69,0.4,0.9,1.98,0.4,40,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,1.19,4.48,0.5096247521273772,0.5689893707334518
O:AVGO210108C00440000,2021-01-04,2021-01-08,AVGO,C,44.0,102,1.48,0.36,-0.5,YES,1.03,2.34,0.32,0.72,1.75,0.32,59,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,1.03,3.96,0.1267,0.6444
O:AVGO210108C00442500,2021-01-04,2021-01-08,AVGO,C,44.25,101,1.12,0.3,0.07,YES,0.8,1.82,0.21,0.47,1.4,0.21,46,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.8,3.17,0.1703,0.4815
O:AVGO210108C00445000,2021-01-04,2021-01-08,AVGO,C,44.5,1413,0.85,0.21,0.63,YES,0.63,1.42,0.16,0.36,1.1,0.16,477,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.63,2.49,0.1788,0.3646
O:AVGO210108C00447500,2021-01-04,2021-01-08,AVGO,C,44.75,36,0.75,0.11,1.2,YES,0.43,0.97,0.11,0.25,0.75,0.11,16,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.43,1.7,0.1638,0.241
O:AVGO210108C00450000,2021-01-04,2021-01-08,AVGO,C,45.0,392,0.53,0.1,1.76,YES,0.38,0.85,0.1,0.23,0.65,0.1,185,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.38,1.47,0.1957,0.194
O:AVGO210108C00452500,2021-01-04,2021-01-08,AVGO,C,45.25,17,0.31,0.12,2.33,NO,0.24,0.54,0.08,0.18,0.4,0.08,10,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.24,0.9,0.2484,0.1845
O:AVGO210108C00455000,2021-01-04,2021-01-08,AVGO,C,45.5,44,0.26,0.08,2.89,NO,0.19,0.43,0.06,0.14,0.32,0.06,31,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.19,0.72,0.2479,0.133
O:AVGO210108C00460000,2021-01-04,2021-01-08,AVGO,C,46.0,16,0.16,0.06,4.03,NO,0.1,0.24,0.05,0.11,0.16,0.05,12,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.1,0.36,0.287,0.0921
O:AVGO210108C00462500,2021-01-04,2021-01-08,AVGO,C,46.25,5,0.08,0.02,4.59,NO,0.05,0.11,0.02,0.05,0.08,0.02,4,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.05,0.18,0.2479,0.0408
O:AVGO210108C00465000,2021-01-04,2021-01-08,AVGO,C,46.5,3,0.01,0.04,5.16,NO,0.02,0.06,0.01,0.02,0.04,0.01,3,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.02,0.09,0.3125,0.0602
O:AVGO210108C00470000,2021-01-04,2021-01-08,AVGO,C,47.0,153,0.04,0.01,6.29,NO,0.02,0.06,0.01,0.02,0.04,0.01,7,1609736400000000000,4,43.93,42.52,44.22,42.12,44.22,44.56,45.0,45.0,0.0009,0.02,0.09,0.2838,0.0194
O:AVGO210115C00200000,2021-01-11,2021-01-15,AVGO,C,20.0,2,61.45,61.45,-55.44,YES,61.45,136.93,61.45,136.93,61.45,61.45,2,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,61.45,136.93,,
O:AVGO210115C00290000,2021-01-11,2021-01-15,AVGO,C,29.0,6,39.58,39.0,-35.38,YES,39.32,87.6,39.0,86.9,39.63,39.0,4,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,39.32,88.31,,
O:AVGO210115C00300000,2021-01-11,2021-01-15,AVGO,C,30.0,5,36.75,36.38,-33.16,YES,36.56,81.48,36.38,81.06,36.75,36.38,3,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,36.56,81.89,,
O:AVGO210115C00320000,2021-01-11,2021-01-15,AVGO,C,32.0,3,31.48,32.1,-28.7,YES,31.79,70.84,31.48,70.15,32.1,31.48,2,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,31.79,71.53,,
O:AVGO210115C00340000,2021-01-11,2021-01-15,AVGO,C,34.0,4,26.55,27.14,-24.24,YES,26.84,59.82,26.55,59.16,27.14,26.55,3,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,26.84,60.48,,
O:AVGO210115C00350000,2021-01-11,2021-01-15,AVGO,C,35.0,2,24.1,24.02,-22.01,YES,24.06,53.61,24.02,53.52,24.1,24.02,2,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,24.06,53.7,,
O:AVGO210115C00360000,2021-01-11,2021-01-15,AVGO,C,36.0,5,21.75,21.75,-19.79,YES,21.75,48.46,21.75,48.46,21.75,21.75,2,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,21.75,48.46,,
O:AVGO210115C00380000,2021-01-11,2021-01-15,AVGO,C,38.0,1,16.87,16.87,-15.33,YES,16.87,37.59,16.87,37.59,16.87,16.87,1,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,16.87,37.59,7.8259,0.4182
O:AVGO210115C00390000,2021-01-11,2021-01-15,AVGO,C,39.0,15,13.84,14.12,-13.1,YES,14.24,31.74,13.84,30.84,14.65,13.84,5,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,14.24,32.64,6.3657,0.4513
O:AVGO210115C00400000,2021-01-11,2021-01-15,AVGO,C,40.0,62,11.41,11.39,-10.87,YES,11.77,26.23,11.36,25.31,12.18,11.36,15,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,11.77,27.14,4.9891,0.4838
O:AVGO210115C00410000,2021-01-11,2021-01-15,AVGO,C,41.0,53,8.65,9.0,-8.65,YES,9.04,20.14,8.65,19.27,9.43,8.65,14,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,9.04,21.01,3.869,0.5083
O:AVGO210115C00420000,2021-01-11,2021-01-15,AVGO,C,42.0,99,6.22,6.78,-6.42,YES,6.51,14.51,6.22,13.86,6.8,6.22,30,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,6.51,15.15,2.8858,0.5273
O:AVGO210115C00425000,2021-01-11,2021-01-15,AVGO,C,42.5,2,5.75,5.52,-5.3,YES,5.64,12.56,5.52,12.3,5.75,5.52,2,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,5.64,12.81,2.321,0.5409
O:AVGO210115C00430000,2021-01-11,2021-01-15,AVGO,C,43.0,16,3.65,4.42,-4.19,YES,3.91,8.71,3.29,7.33,4.53,3.29,7,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,3.91,10.09,1.8545,0.5491
O:AVGO210115C00435000,2021-01-11,2021-01-15,AVGO,C,43.5,1048,3.25,3.28,-3.07,YES,3.38,7.54,3.11,6.93,3.66,3.11,13,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,3.38,8.16,1.3722,0.5579
O:AVGO210115C00440000,2021-01-11,2021-01-15,AVGO,C,44.0,131,2.0,2.28,-1.96,YES,2.23,4.97,1.75,3.9,2.71,1.75,38,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,2.23,6.04,0.9734,0.557
O:AVGO210115C00445000,2021-01-11,2021-01-15,AVGO,C,44.5,2278,1.25,1.4,-0.85,YES,1.6,3.57,1.25,2.79,1.95,1.25,104,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,1.6,4.35,0.6432,0.537
O:AVGO210115C00450000,2021-01-11,2021-01-15,AVGO,C,45.0,347,1.01,0.96,0.27,YES,1.09,2.43,0.9,2.01,1.28,0.9,105,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,1.09,2.85,0.5428,0.47
O:AVGO210115C00455000,2021-01-11,2021-01-15,AVGO,C,45.5,1296,0.48,0.53,1.38,NO,0.6,1.34,0.45,1.0,0.75,0.45,121,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,0.6,1.67,0.425,0.3705
O:AVGO210115C00460000,2021-01-11,2021-01-15,AVGO,C,46.0,191,0.32,0.3,2.5,NO,0.34,0.75,0.27,0.6,0.4,0.27,74,1610341200000000000,4,44.06,44.58,44.88,44.04,44.88,44.58,45.0,45.0,0.0009,0.34,0.89,0.383,0.2628
