ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AVGO160219C00105000,2016-01-19,2016-02-19,AVGO,C,10.5,1,20.04,20.04,-15.87,YES,20.04,160.58,20.04,160.58,20.04,20.04,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,20.04,160.58,,
O:AVGO160219C00119000,2016-01-19,2016-02-19,AVGO,C,11.9,10,8.0,8.0,-4.65,YES,8.0,64.1,8.0,64.1,8.0,8.0,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,8.0,64.1,6.18,0.19
O:AVGO160219C00120000,2016-01-19,2016-02-19,AVGO,C,12.0,42,8.5,6.73,-3.85,YES,7.3,58.49,6.1,48.88,8.5,6.1,13,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,7.3,68.11,4.96,0.24
O:AVGO160219C00121000,2016-01-19,2016-02-19,AVGO,C,12.1,25,6.6,5.8,-3.04,YES,6.2,49.68,5.8,46.47,6.6,5.8,2,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,6.2,52.88,4.17,0.28
O:AVGO160219C00122000,2016-01-19,2016-02-19,AVGO,C,12.2,69,7.6,5.5,-2.24,YES,6.55,52.48,5.5,44.07,7.6,5.5,6,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,6.55,60.9,3.94,0.29
O:AVGO160219C00123000,2016-01-19,2016-02-19,AVGO,C,12.3,66,6.6,5.4,-1.44,YES,6.0,48.08,5.4,43.27,6.6,5.4,17,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,6.0,52.88,3.88,0.29
O:AVGO160219C00124000,2016-01-19,2016-02-19,AVGO,C,12.4,1,5.5,5.5,-0.64,YES,5.5,44.07,5.5,44.07,5.5,5.5,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,5.5,44.07,3.99,0.28
O:AVGO160219C00125000,2016-01-19,2016-02-19,AVGO,C,12.5,27,5.7,4.4,0.16,YES,5.1,40.87,4.4,35.26,5.8,4.4,9,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,5.1,46.47,3.14,0.32
O:AVGO160219C00126000,2016-01-19,2016-02-19,AVGO,C,12.6,26,4.6,4.0,0.96,YES,4.3,34.46,4.0,32.05,4.6,4.0,5,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,4.3,36.86,2.86,0.33
O:AVGO160219C00127000,2016-01-19,2016-02-19,AVGO,C,12.7,1,3.7,3.7,1.76,YES,3.7,29.65,3.7,29.65,3.7,3.7,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,3.7,29.65,2.67,0.34
O:AVGO160219C00128000,2016-01-19,2016-02-19,AVGO,C,12.8,2,4.65,4.65,2.56,YES,4.65,37.26,4.65,37.26,4.65,4.65,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,4.65,37.26,3.41,0.3
O:AVGO160219C00130000,2016-01-19,2016-02-19,AVGO,C,13.0,152,4.18,2.64,4.17,NO,3.3,26.4,2.41,19.31,4.18,2.41,27,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,3.3,33.49,1.98,0.36
O:AVGO160219C00132000,2016-01-19,2016-02-19,AVGO,C,13.2,5,3.11,2.45,5.77,NO,2.78,22.28,2.45,19.63,3.11,2.45,4,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,2.78,24.92,1.9,0.35
O:AVGO160219C00133000,2016-01-19,2016-02-19,AVGO,C,13.3,21,2.7,1.75,6.57,NO,2.22,17.83,1.75,14.02,2.7,1.75,3,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,2.22,21.63,1.43,0.36
O:AVGO160219C00134000,2016-01-19,2016-02-19,AVGO,C,13.4,12,1.55,1.55,7.37,NO,1.55,12.42,1.55,12.42,1.55,1.55,3,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,1.55,12.42,1.32,0.35
O:AVGO160219C00135000,2016-01-19,2016-02-19,AVGO,C,13.5,230,1.8,1.31,8.17,NO,1.97,15.79,1.31,10.5,2.63,1.31,31,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,1.97,21.07,1.18,0.34
O:AVGO160219C00136000,2016-01-19,2016-02-19,AVGO,C,13.6,10,1.79,1.79,8.97,NO,1.79,14.34,1.79,14.34,1.79,1.79,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,1.79,14.34,1.53,0.34
O:AVGO160219C00137000,2016-01-19,2016-02-19,AVGO,C,13.7,76,1.15,1.0,9.78,NO,1.08,8.61,1.0,8.01,1.15,1.0,26,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,1.08,9.21,1.01,0.32
O:AVGO160219C00140000,2016-01-19,2016-02-19,AVGO,C,14.0,45,1.5,0.62,12.18,NO,1.06,8.49,0.62,4.97,1.5,0.62,4,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,1.06,12.02,0.8,0.27
O:AVGO160219C00141000,2016-01-19,2016-02-19,AVGO,C,14.1,20,1.0,1.0,12.98,NO,1.0,8.01,1.0,8.01,1.0,1.0,1,1453179600000000000,31.0,Monthly,12.28,12.01,12.48,11.9,12.48,12.87,12.88,12.88,0.0034,1.0,8.01,1.1,0.29
