ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:AVGO190215C00220000,2019-01-14,2019-02-15,AVGO,C,2200.0,6,32.2,31.94,32.2,31.94,2,1547442000000000000,32,Monthly
O:AVGO190215C00230000,2019-01-14,2019-02-15,AVGO,C,2300.0,6,21.34,20.9,21.34,20.9,2,1547442000000000000,32,Monthly
O:AVGO190215C00240000,2019-01-14,2019-02-15,AVGO,C,2400.0,37,13.8,15.8,16.11,13.8,14,1547442000000000000,32,Monthly
O:AVGO190215C00250000,2019-01-14,2019-02-15,AVGO,C,2500.0,58,8.89,9.61,10.42,7.8,18,1547442000000000000,32,Monthly
O:AVGO190215C00260000,2019-01-14,2019-02-15,AVGO,C,2600.0,59,4.2,5.2,5.67,4.2,21,1547442000000000000,32,Monthly
O:AVGO190215C00270000,2019-01-14,2019-02-15,AVGO,C,2700.0,56,0.85,2.55,2.6,0.85,13,1547442000000000000,32,Monthly
O:AVGO190215C00280000,2019-01-14,2019-02-15,AVGO,C,2800.0,10,0.88,1.05,1.1,0.88,9,1547442000000000000,32,Monthly
O:AVGO190215C00290000,2019-01-14,2019-02-15,AVGO,C,2900.0,45,0.38,0.35,0.45,0.35,6,1547442000000000000,32,Monthly
O:AVGO190215C00300000,2019-01-14,2019-02-15,AVGO,C,3000.0,36,0.19,0.15,0.2,0.15,6,1547442000000000000,32,Monthly
O:AVGO190215C00310000,2019-01-14,2019-02-15,AVGO,C,3100.0,3,0.07,0.07,0.07,0.07,1,1547442000000000000,32,Monthly
O:AVGO190215P00180000,2019-01-14,2019-02-15,AVGO,P,1800.0,3,0.06,0.06,0.06,0.06,1,1547442000000000000,32,Monthly
O:AVGO190215P00185000,2019-01-14,2019-02-15,AVGO,P,1850.0,5,0.14,0.14,0.14,0.14,1,1547442000000000000,32,Monthly
O:AVGO190215P00190000,2019-01-14,2019-02-15,AVGO,P,1900.0,3,0.24,0.24,0.24,0.24,1,1547442000000000000,32,Monthly
O:AVGO190215P00195000,2019-01-14,2019-02-15,AVGO,P,1950.0,5,0.29,0.29,0.29,0.29,1,1547442000000000000,32,Monthly
O:AVGO190215P00200000,2019-01-14,2019-02-15,AVGO,P,2000.0,97,0.52,0.45,0.52,0.4,14,1547442000000000000,32,Monthly
O:AVGO190215P00210000,2019-01-14,2019-02-15,AVGO,P,2100.0,12,0.98,0.73,0.98,0.73,6,1547442000000000000,32,Monthly
O:AVGO190215P00220000,2019-01-14,2019-02-15,AVGO,P,2200.0,26,2.0,1.4,2.0,1.4,9,1547442000000000000,32,Monthly
O:AVGO190215P00230000,2019-01-14,2019-02-15,AVGO,P,2300.0,45,3.5,2.65,3.5,2.65,18,1547442000000000000,32,Monthly
O:AVGO190215P00240000,2019-01-14,2019-02-15,AVGO,P,2400.0,42,6.37,5.1,6.37,5.0,19,1547442000000000000,32,Monthly
O:AVGO190215P00250000,2019-01-14,2019-02-15,AVGO,P,2500.0,62,10.5,9.1,10.6,8.5,9,1547442000000000000,32,Monthly
O:AVGO190215P00270000,2019-01-14,2019-02-15,AVGO,P,2700.0,1,22.7,22.7,22.7,22.7,1,1547442000000000000,32,Monthly
O:AVGO190215C00200000,2019-01-15,2019-02-15,AVGO,C,2000.0,1,58.1,58.1,58.1,58.1,1,1547528400000000000,31,Monthly
O:AVGO190215C00220000,2019-01-15,2019-02-15,AVGO,C,2200.0,1,38.7,38.7,38.7,38.7,1,1547528400000000000,31,Monthly
O:AVGO190215C00230000,2019-01-15,2019-02-15,AVGO,C,2300.0,12,32.0,29.3,32.0,29.3,8,1547528400000000000,31,Monthly
O:AVGO190215C00240000,2019-01-15,2019-02-15,AVGO,C,2400.0,60,20.0,20.3,24.47,20.0,15,1547528400000000000,31,Monthly
O:AVGO190215C00250000,2019-01-15,2019-02-15,AVGO,C,2500.0,127,10.97,12.87,16.8,10.97,37,1547528400000000000,31,Monthly
O:AVGO190215C00260000,2019-01-15,2019-02-15,AVGO,C,2600.0,290,5.5,7.7,10.64,5.5,63,1547528400000000000,31,Monthly
O:AVGO190215C00270000,2019-01-15,2019-02-15,AVGO,C,2700.0,112,3.93,3.55,6.0,3.55,57,1547528400000000000,31,Monthly
O:AVGO190215C00280000,2019-01-15,2019-02-15,AVGO,C,2800.0,108,2.0,1.55,2.85,1.55,23,1547528400000000000,31,Monthly
O:AVGO190215C00290000,2019-01-15,2019-02-15,AVGO,C,2900.0,48,0.54,0.85,1.16,0.54,15,1547528400000000000,31,Monthly
O:AVGO190215C00300000,2019-01-15,2019-02-15,AVGO,C,3000.0,38,0.26,0.3,0.55,0.26,9,1547528400000000000,31,Monthly
O:AVGO190215C00310000,2019-01-15,2019-02-15,AVGO,C,3100.0,46,0.25,0.07,0.25,0.07,4,1547528400000000000,31,Monthly
O:AVGO190215P00195000,2019-01-15,2019-02-15,AVGO,P,1950.0,12,0.11,0.11,0.14,0.11,3,1547528400000000000,31,Monthly
O:AVGO190215P00200000,2019-01-15,2019-02-15,AVGO,P,2000.0,52,0.25,0.19,0.29,0.19,13,1547528400000000000,31,Monthly
O:AVGO190215P00210000,2019-01-15,2019-02-15,AVGO,P,2100.0,78,0.6,0.4,0.6,0.34,14,1547528400000000000,31,Monthly
O:AVGO190215P00220000,2019-01-15,2019-02-15,AVGO,P,2200.0,58,0.81,0.76,0.82,0.65,20,1547528400000000000,31,Monthly
O:AVGO190215P00230000,2019-01-15,2019-02-15,AVGO,P,2300.0,114,2.3,1.45,2.3,1.3,28,1547528400000000000,31,Monthly
O:AVGO190215P00240000,2019-01-15,2019-02-15,AVGO,P,2400.0,121,3.8,3.02,3.8,2.65,48,1547528400000000000,31,Monthly
O:AVGO190215P00250000,2019-01-15,2019-02-15,AVGO,P,2500.0,105,6.0,5.8,6.0,4.9,51,1547528400000000000,31,Monthly
O:AVGO190215P00260000,2019-01-15,2019-02-15,AVGO,P,2600.0,62,9.35,9.03,9.7,8.3,39,1547528400000000000,31,Monthly
O:AVGO190215P00270000,2019-01-15,2019-02-15,AVGO,P,2700.0,21,14.2,15.65,15.65,14.1,9,1547528400000000000,31,Monthly
O:AVGO190215P00290000,2019-01-15,2019-02-15,AVGO,P,2900.0,2,28.7,28.7,28.7,28.7,2,1547528400000000000,31,Monthly
O:AVGO190215C00220000,2019-01-16,2019-02-15,AVGO,C,2200.0,1,34.11,34.11,34.11,34.11,1,1547614800000000000,30,Monthly
O:AVGO190215C00230000,2019-01-16,2019-02-15,AVGO,C,2300.0,13,26.9,25.5,26.9,25.15,9,1547614800000000000,30,Monthly
O:AVGO190215C00240000,2019-01-16,2019-02-15,AVGO,C,2400.0,13,20.2,16.88,20.2,16.88,9,1547614800000000000,30,Monthly
O:AVGO190215C00250000,2019-01-16,2019-02-15,AVGO,C,2500.0,59,12.1,9.67,12.3,9.4,28,1547614800000000000,30,Monthly
O:AVGO190215C00260000,2019-01-16,2019-02-15,AVGO,C,2600.0,62,6.24,4.95,6.9,4.9,26,1547614800000000000,30,Monthly
O:AVGO190215C00270000,2019-01-16,2019-02-15,AVGO,C,2700.0,115,3.51,2.1,3.6,2.1,36,1547614800000000000,30,Monthly
O:AVGO190215C00280000,2019-01-16,2019-02-15,AVGO,C,2800.0,57,1.3,0.85,1.3,0.8,10,1547614800000000000,30,Monthly
O:AVGO190215C00290000,2019-01-16,2019-02-15,AVGO,C,2900.0,13,0.35,0.25,0.35,0.25,3,1547614800000000000,30,Monthly
O:AVGO190215C00300000,2019-01-16,2019-02-15,AVGO,C,3000.0,18,0.2,0.1,0.2,0.1,5,1547614800000000000,30,Monthly
O:AVGO190215C00310000,2019-01-16,2019-02-15,AVGO,C,3100.0,2,0.16,0.16,0.16,0.16,1,1547614800000000000,30,Monthly
O:AVGO190215P00180000,2019-01-16,2019-02-15,AVGO,P,1800.0,2,0.16,0.16,0.16,0.16,1,1547614800000000000,30,Monthly
O:AVGO190215P00190000,2019-01-16,2019-02-15,AVGO,P,1900.0,2,0.36,0.36,0.36,0.36,1,1547614800000000000,30,Monthly
O:AVGO190215P00195000,2019-01-16,2019-02-15,AVGO,P,1950.0,10,0.13,0.13,0.13,0.13,1,1547614800000000000,30,Monthly
O:AVGO190215P00210000,2019-01-16,2019-02-15,AVGO,P,2100.0,14,0.35,0.4,0.4,0.35,4,1547614800000000000,30,Monthly
O:AVGO190215P00220000,2019-01-16,2019-02-15,AVGO,P,2200.0,22,0.82,0.83,0.83,0.7,8,1547614800000000000,30,Monthly
O:AVGO190215P00230000,2019-01-16,2019-02-15,AVGO,P,2300.0,42,1.5,1.8,1.81,1.45,13,1547614800000000000,30,Monthly
O:AVGO190215P00240000,2019-01-16,2019-02-15,AVGO,P,2400.0,130,2.62,3.59,3.65,2.62,34,1547614800000000000,30,Monthly
O:AVGO190215P00250000,2019-01-16,2019-02-15,AVGO,P,2500.0,29,5.35,6.9,6.9,5.35,15,1547614800000000000,30,Monthly
O:AVGO190215P00260000,2019-01-16,2019-02-15,AVGO,P,2600.0,8,10.3,11.55,11.55,10.3,6,1547614800000000000,30,Monthly
O:AVGO190215C00210000,2019-01-17,2019-02-15,AVGO,C,2100.0,2,47.0,47.0,47.0,47.0,1,1547701200000000000,29,Monthly
O:AVGO190215C00220000,2019-01-17,2019-02-15,AVGO,C,2200.0,2,33.3,33.3,33.3,33.3,1,1547701200000000000,29,Monthly
O:AVGO190215C00230000,2019-01-17,2019-02-15,AVGO,C,2300.0,3,26.32,27.3,27.3,26.32,2,1547701200000000000,29,Monthly
O:AVGO190215C00240000,2019-01-17,2019-02-15,AVGO,C,2400.0,7,14.4,16.3,16.3,14.4,3,1547701200000000000,29,Monthly
O:AVGO190215C00250000,2019-01-17,2019-02-15,AVGO,C,2500.0,130,8.42,11.81,12.4,8.42,31,1547701200000000000,29,Monthly
O:AVGO190215C00260000,2019-01-17,2019-02-15,AVGO,C,2600.0,93,4.1,6.7,6.7,4.1,40,1547701200000000000,29,Monthly
O:AVGO190215C00270000,2019-01-17,2019-02-15,AVGO,C,2700.0,44,2.0,2.75,2.81,1.7,21,1547701200000000000,29,Monthly
O:AVGO190215C00280000,2019-01-17,2019-02-15,AVGO,C,2800.0,39,0.62,1.05,1.05,0.6,6,1547701200000000000,29,Monthly
O:AVGO190215C00290000,2019-01-17,2019-02-15,AVGO,C,2900.0,23,0.24,0.15,0.24,0.15,3,1547701200000000000,29,Monthly
O:AVGO190215C00300000,2019-01-17,2019-02-15,AVGO,C,3000.0,14,0.12,0.14,0.14,0.09,4,1547701200000000000,29,Monthly
O:AVGO190215C00310000,2019-01-17,2019-02-15,AVGO,C,3100.0,3,0.06,0.06,0.06,0.06,1,1547701200000000000,29,Monthly
O:AVGO190215P00180000,2019-01-17,2019-02-15,AVGO,P,1800.0,3,0.07,0.07,0.07,0.07,1,1547701200000000000,29,Monthly
O:AVGO190215P00185000,2019-01-17,2019-02-15,AVGO,P,1850.0,10,0.01,0.01,0.01,0.01,1,1547701200000000000,29,Monthly
O:AVGO190215P00190000,2019-01-17,2019-02-15,AVGO,P,1900.0,3,0.16,0.16,0.16,0.16,1,1547701200000000000,29,Monthly
O:AVGO190215P00195000,2019-01-17,2019-02-15,AVGO,P,1950.0,10,0.25,0.25,0.25,0.25,1,1547701200000000000,29,Monthly
O:AVGO190215P00200000,2019-01-17,2019-02-15,AVGO,P,2000.0,10,0.5,0.16,0.5,0.16,4,1547701200000000000,29,Monthly
O:AVGO190215P00210000,2019-01-17,2019-02-15,AVGO,P,2100.0,42,0.47,0.31,0.5,0.31,8,1547701200000000000,29,Monthly
O:AVGO190215P00220000,2019-01-17,2019-02-15,AVGO,P,2200.0,8,0.98,0.67,1.04,0.67,6,1547701200000000000,29,Monthly
O:AVGO190215P00230000,2019-01-17,2019-02-15,AVGO,P,2300.0,37,1.95,1.45,2.2,1.4,20,1547701200000000000,29,Monthly
O:AVGO190215P00240000,2019-01-17,2019-02-15,AVGO,P,2400.0,73,4.26,2.95,4.65,2.55,30,1547701200000000000,29,Monthly
O:AVGO190215P00250000,2019-01-17,2019-02-15,AVGO,P,2500.0,502,8.5,5.7,8.61,5.0,68,1547701200000000000,29,Monthly
O:AVGO190215P00260000,2019-01-17,2019-02-15,AVGO,P,2600.0,6,14.54,12.9,14.54,12.7,5,1547701200000000000,29,Monthly
O:AVGO190215P00280000,2019-01-17,2019-02-15,AVGO,P,2800.0,1,30.25,30.25,30.25,30.25,1,1547701200000000000,29,Monthly
O:AVGO190215P00290000,2019-01-17,2019-02-15,AVGO,P,2900.0,6,39.5,39.1,39.5,39.1,2,1547701200000000000,29,Monthly
O:AVGO190215C00160000,2019-01-18,2019-02-15,AVGO,C,1600.0,1,100.01,100.01,100.01,100.01,1,1547787600000000000,28,Monthly
O:AVGO190215C00220000,2019-01-18,2019-02-15,AVGO,C,2200.0,22,41.98,42.35,42.35,41.98,11,1547787600000000000,28,Monthly
O:AVGO190215C00230000,2019-01-18,2019-02-15,AVGO,C,2300.0,1,30.0,30.0,30.0,30.0,1,1547787600000000000,28,Monthly
O:AVGO190215C00240000,2019-01-18,2019-02-15,AVGO,C,2400.0,37,20.7,22.78,23.5,20.7,10,1547787600000000000,28,Monthly
O:AVGO190215C00250000,2019-01-18,2019-02-15,AVGO,C,2500.0,167,13.35,14.45,15.4,13.2,34,1547787600000000000,28,Monthly
O:AVGO190215C00260000,2019-01-18,2019-02-15,AVGO,C,2600.0,195,7.35,8.06,8.9,7.2,61,1547787600000000000,28,Monthly
O:AVGO190215C00270000,2019-01-18,2019-02-15,AVGO,C,2700.0,849,3.25,3.7,4.2,3.1,63,1547787600000000000,28,Monthly
O:AVGO190215C00280000,2019-01-18,2019-02-15,AVGO,C,2800.0,95,1.15,1.35,1.6,1.15,29,1547787600000000000,28,Monthly
O:AVGO190215C00290000,2019-01-18,2019-02-15,AVGO,C,2900.0,10,0.5,0.5,0.5,0.5,1,1547787600000000000,28,Monthly
O:AVGO190215C00370000,2019-01-18,2019-02-15,AVGO,C,3700.0,1,0.05,0.05,0.05,0.05,1,1547787600000000000,28,Monthly
O:AVGO190215P00200000,2019-01-18,2019-02-15,AVGO,P,2000.0,23,0.14,0.08,0.14,0.08,4,1547787600000000000,28,Monthly
O:AVGO190215P00210000,2019-01-18,2019-02-15,AVGO,P,2100.0,14,0.28,0.12,0.28,0.12,6,1547787600000000000,28,Monthly
O:AVGO190215P00220000,2019-01-18,2019-02-15,AVGO,P,2200.0,57,0.47,0.35,0.47,0.3,11,1547787600000000000,28,Monthly
O:AVGO190215P00230000,2019-01-18,2019-02-15,AVGO,P,2300.0,84,1.18,0.75,1.18,0.7,24,1547787600000000000,28,Monthly
O:AVGO190215P00240000,2019-01-18,2019-02-15,AVGO,P,2400.0,155,2.01,1.65,2.1,1.5,48,1547787600000000000,28,Monthly
