ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:AVGO160108C00120000,2016-01-04,2016-01-08,AVGO,C,1200.0,1,21.66,21.66,21.66,21.66,1,1451883600000000000,4.0,Weekly
O:AVGO160108C00125000,2016-01-04,2016-01-08,AVGO,C,1250.0,1,16.69,16.69,16.69,16.69,1,1451883600000000000,4.0,Weekly
O:AVGO160108C00141000,2016-01-04,2016-01-08,AVGO,C,1410.0,50,3.34,2.5,3.48,2.5,5,1451883600000000000,4.0,Weekly
O:AVGO160108C00142000,2016-01-04,2016-01-08,AVGO,C,1420.0,33,2.69,2.3,2.69,1.95,7,1451883600000000000,4.0,Weekly
O:AVGO160108C00143000,2016-01-04,2016-01-08,AVGO,C,1430.0,14,1.77,1.9,1.9,1.77,3,1451883600000000000,4.0,Weekly
O:AVGO160108C00144000,2016-01-04,2016-01-08,AVGO,C,1440.0,12,1.52,1.6,1.6,1.5,3,1451883600000000000,4.0,Weekly
O:AVGO160108C00145000,2016-01-04,2016-01-08,AVGO,C,1450.0,50,1.35,1.15,1.35,0.95,8,1451883600000000000,4.0,Weekly
O:AVGO160108C00146000,2016-01-04,2016-01-08,AVGO,C,1460.0,28,0.85,0.9,0.91,0.8,7,1451883600000000000,4.0,Weekly
O:AVGO160108C00147000,2016-01-04,2016-01-08,AVGO,C,1470.0,12,0.55,0.55,0.55,0.55,2,1451883600000000000,4.0,Weekly
O:AVGO160108C00148000,2016-01-04,2016-01-08,AVGO,C,1480.0,27,0.48,0.4,0.49,0.4,8,1451883600000000000,4.0,Weekly
O:AVGO160108C00149000,2016-01-04,2016-01-08,AVGO,C,1490.0,19,0.3,0.3,0.35,0.3,3,1451883600000000000,4.0,Weekly
O:AVGO160108C00150000,2016-01-04,2016-01-08,AVGO,C,1500.0,25,0.26,0.24,0.3,0.24,10,1451883600000000000,4.0,Weekly
