ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:COST230113C00300000,2023-01-09,2023-01-13,COST,C,300.0,4,46.05,46.05,46.05,46.05,2,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00415000,2023-01-09,2023-01-13,COST,C,415.0,7,16.88,17.0,17.0,16.88,5,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00430000,2023-01-09,2023-01-13,COST,C,430.0,1,13.44,13.44,13.44,13.44,1,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00435000,2023-01-09,2023-01-13,COST,C,435.0,1,12.44,12.44,12.44,12.44,1,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00440000,2023-01-09,2023-01-13,COST,C,440.0,1,11.06,11.06,11.06,11.06,1,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00445000,2023-01-09,2023-01-13,COST,C,445.0,1,9.81,9.81,9.81,9.81,1,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00450000,2023-01-09,2023-01-13,COST,C,450.0,2,8.7,8.28,8.7,8.28,2,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00455000,2023-01-09,2023-01-13,COST,C,455.0,5,7.5,7.82,7.82,7.44,4,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00457500,2023-01-09,2023-01-13,COST,C,457.5,9,6.44,7.2,7.2,6.06,3,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00460000,2023-01-09,2023-01-13,COST,C,460.0,26,6.42,5.01,6.65,5.01,16,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00462500,2023-01-09,2023-01-13,COST,C,462.5,7,5.49,5.82,5.82,5.49,2,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00465000,2023-01-09,2023-01-13,COST,C,465.0,154,5.04,3.94,5.71,3.91,42,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00467500,2023-01-09,2023-01-13,COST,C,467.5,32,4.32,5.09,5.09,4.32,9,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00470000,2023-01-09,2023-01-13,COST,C,470.0,223,3.85,2.98,4.59,2.96,42,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00472500,2023-01-09,2023-01-13,COST,C,472.5,33,3.42,3.16,4.0,3.14,8,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00475000,2023-01-09,2023-01-13,COST,C,475.0,163,2.82,2.3,3.6,2.3,54,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00477500,2023-01-09,2023-01-13,COST,C,477.5,65,2.38,1.82,3.03,1.82,32,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00480000,2023-01-09,2023-01-13,COST,C,480.0,342,2.15,1.42,2.61,1.42,155,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00482500,2023-01-09,2023-01-13,COST,C,482.5,365,1.65,1.16,2.29,1.12,138,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00485000,2023-01-09,2023-01-13,COST,C,485.0,669,1.54,0.9,1.88,0.86,282,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00487500,2023-01-09,2023-01-13,COST,C,487.5,295,1.2,0.72,1.55,0.7,169,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00490000,2023-01-09,2023-01-13,COST,C,490.0,2825,1.09,0.5,1.27,0.49,1022,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00495000,2023-01-09,2023-01-13,COST,C,495.0,422,0.62,0.28,0.8,0.27,230,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00500000,2023-01-09,2023-01-13,COST,C,500.0,2178,0.36,0.14,0.47,0.14,609,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00505000,2023-01-09,2023-01-13,COST,C,505.0,500,0.2,0.08,0.25,0.07,196,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00510000,2023-01-09,2023-01-13,COST,C,510.0,458,0.12,0.04,0.14,0.04,155,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00515000,2023-01-09,2023-01-13,COST,C,515.0,170,0.06,0.02,0.08,0.02,76,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00520000,2023-01-09,2023-01-13,COST,C,520.0,152,0.05,0.01,0.05,0.01,57,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00525000,2023-01-09,2023-01-13,COST,C,525.0,66,0.03,0.01,0.03,0.01,36,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00530000,2023-01-09,2023-01-13,COST,C,530.0,89,0.02,0.01,0.02,0.0,18,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00535000,2023-01-09,2023-01-13,COST,C,535.0,5,0.01,0.0,0.01,0.0,3,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00540000,2023-01-09,2023-01-13,COST,C,540.0,10,0.01,0.0,0.01,0.0,5,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
O:COST230113C00545000,2023-01-09,2023-01-13,COST,C,545.0,13,0.01,0.01,0.01,0.0,4,1673240400000000000,4,482.93,478.75,486.87,478.14,486.87,485.25,485.59,485.59
