ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:COST160219C00130000,2016-01-19,2016-02-19,COST,C,1300.0,9,21.53,21.47,21.53,21.42,8,1453179600000000000,31,Monthly
O:COST160219C00140000,2016-01-19,2016-02-19,COST,C,1400.0,10,10.78,10.85,10.85,10.78,3,1453179600000000000,31,Monthly
O:COST160219C00145000,2016-01-19,2016-02-19,COST,C,1450.0,1,7.45,7.45,7.45,7.45,1,1453179600000000000,31,Monthly
O:COST160219C00146000,2016-01-19,2016-02-19,COST,C,1460.0,2,6.2,6.2,6.2,6.2,2,1453179600000000000,31,Monthly
O:COST160219C00148000,2016-01-19,2016-02-19,COST,C,1480.0,1,6.1,6.1,6.1,6.1,1,1453179600000000000,31,Monthly
O:COST160219C00150000,2016-01-19,2016-02-19,COST,C,1500.0,84,4.85,3.92,4.85,3.7,16,1453179600000000000,31,Monthly
O:COST160219C00152500,2016-01-19,2016-02-19,COST,C,1525.0,35,3.5,2.64,3.5,2.64,26,1453179600000000000,31,Monthly
O:COST160219C00155000,2016-01-19,2016-02-19,COST,C,1550.0,124,2.2,1.84,2.35,1.54,55,1453179600000000000,31,Monthly
O:COST160219C00157500,2016-01-19,2016-02-19,COST,C,1575.0,191,1.37,1.05,1.37,0.91,18,1453179600000000000,31,Monthly
O:COST160219C00160000,2016-01-19,2016-02-19,COST,C,1600.0,223,0.8,0.61,0.84,0.52,41,1453179600000000000,31,Monthly
O:COST160219C00162500,2016-01-19,2016-02-19,COST,C,1625.0,38,0.5,0.3,0.5,0.29,6,1453179600000000000,31,Monthly
O:COST160219C00165000,2016-01-19,2016-02-19,COST,C,1650.0,17,0.25,0.14,0.25,0.14,11,1453179600000000000,31,Monthly
O:COST160219C00167500,2016-01-19,2016-02-19,COST,C,1675.0,3,0.16,0.16,0.16,0.16,1,1453179600000000000,31,Monthly
O:COST160219C00170000,2016-01-19,2016-02-19,COST,C,1700.0,26,0.07,0.07,0.1,0.05,8,1453179600000000000,31,Monthly
O:COST160219C00175000,2016-01-19,2016-02-19,COST,C,1750.0,3,0.05,0.05,0.05,0.05,1,1453179600000000000,31,Monthly
O:COST160219C00182500,2016-01-19,2016-02-19,COST,C,1825.0,10,0.1,0.1,0.1,0.1,2,1453179600000000000,31,Monthly
O:COST160219C00185000,2016-01-19,2016-02-19,COST,C,1850.0,2,0.05,0.05,0.05,0.05,1,1453179600000000000,31,Monthly
O:COST160219P00100000,2016-01-19,2016-02-19,COST,P,1000.0,10,0.05,0.05,0.05,0.05,1,1453179600000000000,31,Monthly
O:COST160219P00120000,2016-01-19,2016-02-19,COST,P,1200.0,5,0.16,0.17,0.17,0.16,2,1453179600000000000,31,Monthly
O:COST160219P00125000,2016-01-19,2016-02-19,COST,P,1250.0,13,0.23,0.23,0.23,0.23,2,1453179600000000000,31,Monthly
O:COST160219P00130000,2016-01-19,2016-02-19,COST,P,1300.0,50,0.33,0.33,0.33,0.33,1,1453179600000000000,31,Monthly
O:COST160219P00133000,2016-01-19,2016-02-19,COST,P,1330.0,1,0.46,0.46,0.46,0.46,1,1453179600000000000,31,Monthly
O:COST160219P00135000,2016-01-19,2016-02-19,COST,P,1350.0,23,0.54,0.55,0.6,0.54,3,1453179600000000000,31,Monthly
O:COST160219P00137000,2016-01-19,2016-02-19,COST,P,1370.0,1,0.8,0.8,0.8,0.8,1,1453179600000000000,31,Monthly
O:COST160219P00139000,2016-01-19,2016-02-19,COST,P,1390.0,2,0.85,1.01,1.01,0.85,2,1453179600000000000,31,Monthly
O:COST160219P00140000,2016-01-19,2016-02-19,COST,P,1400.0,38,1.12,0.99,1.12,0.93,12,1453179600000000000,31,Monthly
O:COST160219P00141000,2016-01-19,2016-02-19,COST,P,1410.0,13,1.13,1.17,1.17,1.13,2,1453179600000000000,31,Monthly
O:COST160219P00142000,2016-01-19,2016-02-19,COST,P,1420.0,7,1.23,1.23,1.23,1.23,1,1453179600000000000,31,Monthly
O:COST160219P00143000,2016-01-19,2016-02-19,COST,P,1430.0,1,1.42,1.42,1.42,1.42,1,1453179600000000000,31,Monthly
O:COST160219P00144000,2016-01-19,2016-02-19,COST,P,1440.0,2,1.78,1.8,1.8,1.78,2,1453179600000000000,31,Monthly
O:COST160219P00145000,2016-01-19,2016-02-19,COST,P,1450.0,33,1.73,1.83,2.06,1.69,19,1453179600000000000,31,Monthly
O:COST160219P00148000,2016-01-19,2016-02-19,COST,P,1480.0,1,2.6,2.6,2.6,2.6,1,1453179600000000000,31,Monthly
O:COST160219P00149000,2016-01-19,2016-02-19,COST,P,1490.0,31,3.1,3.7,3.7,3.1,2,1453179600000000000,31,Monthly
O:COST160219P00150000,2016-01-19,2016-02-19,COST,P,1500.0,72,3.1,3.5,4.0,3.1,20,1453179600000000000,31,Monthly
O:COST160219P00155000,2016-01-19,2016-02-19,COST,P,1550.0,33,6.15,6.4,6.67,6.15,10,1453179600000000000,31,Monthly
O:COST160219P00160000,2016-01-19,2016-02-19,COST,P,1600.0,2,10.0,10.0,10.0,10.0,1,1453179600000000000,31,Monthly
O:COST160219C00131000,2016-01-20,2016-02-19,COST,C,1310.0,11,18.15,18.15,18.15,18.15,1,1453266000000000000,30,Monthly
O:COST160219C00135000,2016-01-20,2016-02-19,COST,C,1350.0,10,13.0,13.0,13.0,13.0,1,1453266000000000000,30,Monthly
O:COST160219C00140000,2016-01-20,2016-02-19,COST,C,1400.0,10,8.8,8.8,8.8,8.8,1,1453266000000000000,30,Monthly
O:COST160219C00144000,2016-01-20,2016-02-19,COST,C,1440.0,1,6.1,6.1,6.1,6.1,1,1453266000000000000,30,Monthly
O:COST160219C00145000,2016-01-20,2016-02-19,COST,C,1450.0,16,5.4,4.21,5.4,4.21,2,1453266000000000000,30,Monthly
O:COST160219C00146000,2016-01-20,2016-02-19,COST,C,1460.0,2,4.16,4.8,4.8,4.16,2,1453266000000000000,30,Monthly
O:COST160219C00147000,2016-01-20,2016-02-19,COST,C,1470.0,2,4.2,4.28,4.28,4.2,2,1453266000000000000,30,Monthly
O:COST160219C00149000,2016-01-20,2016-02-19,COST,C,1490.0,14,3.84,3.84,3.84,3.84,1,1453266000000000000,30,Monthly
O:COST160219C00150000,2016-01-20,2016-02-19,COST,C,1500.0,116,3.35,3.31,3.38,1.97,35,1453266000000000000,30,Monthly
O:COST160219C00152500,2016-01-20,2016-02-19,COST,C,1525.0,113,1.76,2.24,2.24,1.35,39,1453266000000000000,30,Monthly
O:COST160219C00155000,2016-01-20,2016-02-19,COST,C,1550.0,208,1.3,1.59,1.59,0.83,39,1453266000000000000,30,Monthly
O:COST160219C00157500,2016-01-20,2016-02-19,COST,C,1575.0,17,0.95,0.8,0.95,0.55,9,1453266000000000000,30,Monthly
O:COST160219C00160000,2016-01-20,2016-02-19,COST,C,1600.0,47,0.5,0.53,0.53,0.25,22,1453266000000000000,30,Monthly
O:COST160219C00162500,2016-01-20,2016-02-19,COST,C,1625.0,9,0.22,0.22,0.22,0.22,2,1453266000000000000,30,Monthly
O:COST160219C00165000,2016-01-20,2016-02-19,COST,C,1650.0,20,0.13,0.12,0.13,0.08,10,1453266000000000000,30,Monthly
O:COST160219C00167500,2016-01-20,2016-02-19,COST,C,1675.0,4,0.09,0.09,0.09,0.09,1,1453266000000000000,30,Monthly
O:COST160219C00170000,2016-01-20,2016-02-19,COST,C,1700.0,462,0.07,0.07,0.07,0.07,15,1453266000000000000,30,Monthly
O:COST160219P00120000,2016-01-20,2016-02-19,COST,P,1200.0,2,0.22,0.22,0.22,0.22,1,1453266000000000000,30,Monthly
O:COST160219P00125000,2016-01-20,2016-02-19,COST,P,1250.0,38,0.32,0.31,0.4,0.31,5,1453266000000000000,30,Monthly
O:COST160219P00133000,2016-01-20,2016-02-19,COST,P,1330.0,6,0.93,0.66,0.93,0.66,2,1453266000000000000,30,Monthly
O:COST160219P00134000,2016-01-20,2016-02-19,COST,P,1340.0,1,0.8,0.8,0.8,0.8,1,1453266000000000000,30,Monthly
O:COST160219P00135000,2016-01-20,2016-02-19,COST,P,1350.0,59,0.93,0.76,1.23,0.76,14,1453266000000000000,30,Monthly
O:COST160219P00137000,2016-01-20,2016-02-19,COST,P,1370.0,33,1.59,1.62,1.62,1.59,6,1453266000000000000,30,Monthly
