ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:COST160108C00150000,2016-01-04,2016-01-08,COST,C,1500.0,21,8.52,8.94,8.94,8.35,9,1451883600000000000,4,Weekly
O:COST160108C00155000,2016-01-04,2016-01-08,COST,C,1550.0,1,4.6,4.6,4.6,4.6,1,1451883600000000000,4,Weekly
O:COST160108C00157500,2016-01-04,2016-01-08,COST,C,1575.0,380,2.67,2.92,3.0,2.3,30,1451883600000000000,4,Weekly
O:COST160108C00160000,2016-01-04,2016-01-08,COST,C,1600.0,176,1.48,1.52,1.66,1.05,38,1451883600000000000,4,Weekly
O:COST160108C00162500,2016-01-04,2016-01-08,COST,C,1625.0,1163,0.69,0.63,0.74,0.41,54,1451883600000000000,4,Weekly
O:COST160108C00165000,2016-01-04,2016-01-08,COST,C,1650.0,390,0.3,0.22,0.3,0.13,36,1451883600000000000,4,Weekly
O:COST160108C00167500,2016-01-04,2016-01-08,COST,C,1675.0,133,0.16,0.09,0.16,0.07,6,1451883600000000000,4,Weekly
O:COST160108C00170000,2016-01-04,2016-01-08,COST,C,1700.0,6,0.04,0.04,0.04,0.04,1,1451883600000000000,4,Weekly
O:COST160108C00172500,2016-01-04,2016-01-08,COST,C,1725.0,107,0.08,0.08,0.08,0.08,2,1451883600000000000,4,Weekly
O:COST160108P00144000,2016-01-04,2016-01-08,COST,P,1440.0,22,0.13,0.11,0.13,0.09,9,1451883600000000000,4,Weekly
O:COST160108P00145000,2016-01-04,2016-01-08,COST,P,1450.0,35,0.15,0.12,0.15,0.12,2,1451883600000000000,4,Weekly
O:COST160108P00146000,2016-01-04,2016-01-08,COST,P,1460.0,20,0.12,0.12,0.12,0.12,2,1451883600000000000,4,Weekly
O:COST160108P00149000,2016-01-04,2016-01-08,COST,P,1490.0,73,0.2,0.2,0.2,0.2,4,1451883600000000000,4,Weekly
O:COST160108P00150000,2016-01-04,2016-01-08,COST,P,1500.0,127,0.22,0.25,0.32,0.22,22,1451883600000000000,4,Weekly
O:COST160108P00152500,2016-01-04,2016-01-08,COST,P,1525.0,58,0.51,0.37,0.54,0.37,16,1451883600000000000,4,Weekly
O:COST160108P00155000,2016-01-04,2016-01-08,COST,P,1550.0,221,0.65,0.68,1.0,0.65,34,1451883600000000000,4,Weekly
O:COST160108P00157500,2016-01-04,2016-01-08,COST,P,1575.0,265,1.08,1.78,1.86,1.08,43,1451883600000000000,4,Weekly
O:COST160108P00160000,2016-01-04,2016-01-08,COST,P,1600.0,21,2.55,2.36,3.13,2.28,8,1451883600000000000,4,Weekly
O:COST160108P00162500,2016-01-04,2016-01-08,COST,P,1625.0,409,4.91,4.53,5.08,4.4,33,1451883600000000000,4,Weekly
O:COST160108P00165000,2016-01-04,2016-01-08,COST,P,1650.0,12,6.5,6.68,6.68,6.5,3,1451883600000000000,4,Weekly
O:COST160129C00146000,2016-01-25,2016-01-29,COST,C,1460.0,2,5.6,5.6,5.6,5.6,1,1453698000000000000,4,Weekly
O:COST160129C00150000,2016-01-25,2016-01-29,COST,C,1500.0,9,2.77,2.1,3.3,2.1,5,1453698000000000000,4,Weekly
O:COST160129C00152500,2016-01-25,2016-01-29,COST,C,1525.0,41,1.58,0.85,1.58,0.8,13,1453698000000000000,4,Weekly
O:COST160129C00155000,2016-01-25,2016-01-29,COST,C,1550.0,130,1.1,0.25,1.2,0.25,27,1453698000000000000,4,Weekly
O:COST160129C00157500,2016-01-25,2016-01-29,COST,C,1575.0,22,0.38,0.03,0.38,0.03,5,1453698000000000000,4,Weekly
O:COST160129C00160000,2016-01-25,2016-01-29,COST,C,1600.0,19,0.08,0.03,0.08,0.02,4,1453698000000000000,4,Weekly
O:COST160129C00167500,2016-01-25,2016-01-29,COST,C,1675.0,1,0.04,0.04,0.04,0.04,1,1453698000000000000,4,Weekly
O:COST160129P00130000,2016-01-25,2016-01-29,COST,P,1300.0,1,0.02,0.02,0.02,0.02,1,1453698000000000000,4,Weekly
O:COST160129P00145000,2016-01-25,2016-01-29,COST,P,1450.0,25,0.19,0.2,0.2,0.19,11,1453698000000000000,4,Weekly
O:COST160129P00146000,2016-01-25,2016-01-29,COST,P,1460.0,1,0.34,0.34,0.34,0.34,1,1453698000000000000,4,Weekly
O:COST160129P00147000,2016-01-25,2016-01-29,COST,P,1470.0,21,0.3,0.5,0.5,0.3,3,1453698000000000000,4,Weekly
O:COST160129P00148000,2016-01-25,2016-01-29,COST,P,1480.0,84,0.38,0.5,0.5,0.38,12,1453698000000000000,4,Weekly
O:COST160129P00149000,2016-01-25,2016-01-29,COST,P,1490.0,15,0.41,0.65,0.65,0.41,8,1453698000000000000,4,Weekly
O:COST160129P00150000,2016-01-25,2016-01-29,COST,P,1500.0,57,0.65,1.3,1.3,0.62,13,1453698000000000000,4,Weekly
O:COST160129P00152500,2016-01-25,2016-01-29,COST,P,1525.0,26,1.27,1.77,1.77,1.18,9,1453698000000000000,4,Weekly
O:COST160129P00155000,2016-01-25,2016-01-29,COST,P,1550.0,32,2.35,3.34,3.34,2.35,6,1453698000000000000,4,Weekly
O:COST160129P00160000,2016-01-25,2016-01-29,COST,P,1600.0,1,7.77,7.77,7.77,7.77,1,1453698000000000000,4,Weekly
O:COST160205C00149000,2016-02-01,2016-02-05,COST,C,1490.0,8,3.47,3.65,3.65,3.47,3,1454302800000000000,4,Weekly
O:COST160205C00150000,2016-02-01,2016-02-05,COST,C,1500.0,38,2.75,2.0,2.98,2.0,9,1454302800000000000,4,Weekly
O:COST160205C00152500,2016-02-01,2016-02-05,COST,C,1525.0,214,1.04,1.23,1.48,0.83,38,1454302800000000000,4,Weekly
O:COST160205C00155000,2016-02-01,2016-02-05,COST,C,1550.0,128,0.4,0.44,0.55,0.25,26,1454302800000000000,4,Weekly
O:COST160205C00157500,2016-02-01,2016-02-05,COST,C,1575.0,31,0.1,0.11,0.14,0.09,5,1454302800000000000,4,Weekly
O:COST160205C00162500,2016-02-01,2016-02-05,COST,C,1625.0,7,0.09,0.09,0.09,0.09,5,1454302800000000000,4,Weekly
O:COST160205P00120000,2016-02-01,2016-02-05,COST,P,1200.0,1,0.01,0.01,0.01,0.01,1,1454302800000000000,4,Weekly
O:COST160205P00125000,2016-02-01,2016-02-05,COST,P,1250.0,1,0.03,0.03,0.03,0.03,1,1454302800000000000,4,Weekly
O:COST160205P00140000,2016-02-01,2016-02-05,COST,P,1400.0,1,0.09,0.09,0.09,0.09,1,1454302800000000000,4,Weekly
O:COST160205P00141000,2016-02-01,2016-02-05,COST,P,1410.0,4,0.12,0.12,0.12,0.12,1,1454302800000000000,4,Weekly
