ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:CRM160219C00065000,2016-01-19,2016-02-19,CRM,C,650.0,10,7.5,7.5,7.5,7.5,1,1453179600000000000,31,Monthly
O:CRM160219C00069500,2016-01-19,2016-02-19,CRM,C,695.0,1,3.95,3.95,3.95,3.95,1,1453179600000000000,31,Monthly
O:CRM160219C00070000,2016-01-19,2016-02-19,CRM,C,700.0,71,3.9,3.44,3.9,3.35,5,1453179600000000000,31,Monthly
O:CRM160219C00070500,2016-01-19,2016-02-19,CRM,C,705.0,10,3.0,3.0,3.0,3.0,1,1453179600000000000,31,Monthly
O:CRM160219C00071000,2016-01-19,2016-02-19,CRM,C,710.0,44,3.05,2.99,3.3,2.99,11,1453179600000000000,31,Monthly
O:CRM160219C00071500,2016-01-19,2016-02-19,CRM,C,715.0,127,2.85,2.73,3.05,2.73,25,1453179600000000000,31,Monthly
O:CRM160219C00072000,2016-01-19,2016-02-19,CRM,C,720.0,94,2.84,2.52,2.85,2.49,12,1453179600000000000,31,Monthly
O:CRM160219C00072500,2016-01-19,2016-02-19,CRM,C,725.0,338,2.47,2.0,2.59,2.0,39,1453179600000000000,31,Monthly
O:CRM160219C00073000,2016-01-19,2016-02-19,CRM,C,730.0,35,2.18,1.94,2.23,1.85,9,1453179600000000000,31,Monthly
O:CRM160219C00073500,2016-01-19,2016-02-19,CRM,C,735.0,6,2.04,1.69,2.04,1.69,2,1453179600000000000,31,Monthly
O:CRM160219C00074000,2016-01-19,2016-02-19,CRM,C,740.0,31,1.8,1.45,1.85,1.45,7,1453179600000000000,31,Monthly
O:CRM160219C00074500,2016-01-19,2016-02-19,CRM,C,745.0,25,1.6,1.3,1.6,1.3,7,1453179600000000000,31,Monthly
O:CRM160219C00075000,2016-01-19,2016-02-19,CRM,C,750.0,157,1.55,1.25,1.55,1.0,33,1453179600000000000,31,Monthly
O:CRM160219C00075500,2016-01-19,2016-02-19,CRM,C,755.0,38,1.4,1.12,1.4,1.1,10,1453179600000000000,31,Monthly
O:CRM160219C00076000,2016-01-19,2016-02-19,CRM,C,760.0,1432,1.1,0.96,1.26,0.83,124,1453179600000000000,31,Monthly
O:CRM160219C00076500,2016-01-19,2016-02-19,CRM,C,765.0,12,1.04,0.85,1.04,0.78,4,1453179600000000000,31,Monthly
O:CRM160219C00077000,2016-01-19,2016-02-19,CRM,C,770.0,23,0.9,0.65,0.9,0.65,5,1453179600000000000,31,Monthly
O:CRM160219C00077500,2016-01-19,2016-02-19,CRM,C,775.0,95,0.8,0.65,0.81,0.55,29,1453179600000000000,31,Monthly
O:CRM160219C00078000,2016-01-19,2016-02-19,CRM,C,780.0,967,0.74,0.51,0.74,0.51,38,1453179600000000000,31,Monthly
O:CRM160219C00078500,2016-01-19,2016-02-19,CRM,C,785.0,8,0.55,0.55,0.55,0.52,4,1453179600000000000,31,Monthly
O:CRM160219C00079000,2016-01-19,2016-02-19,CRM,C,790.0,19,0.45,0.4,0.45,0.4,3,1453179600000000000,31,Monthly
O:CRM160219C00079500,2016-01-19,2016-02-19,CRM,C,795.0,4,0.4,0.4,0.4,0.4,1,1453179600000000000,31,Monthly
O:CRM160219C00080000,2016-01-19,2016-02-19,CRM,C,800.0,178,0.37,0.28,0.39,0.28,20,1453179600000000000,31,Monthly
O:CRM160219C00082500,2016-01-19,2016-02-19,CRM,C,825.0,25,0.22,0.17,0.24,0.15,8,1453179600000000000,31,Monthly
O:CRM160219C00083000,2016-01-19,2016-02-19,CRM,C,830.0,7,0.2,0.2,0.2,0.2,2,1453179600000000000,31,Monthly
O:CRM160219C00083500,2016-01-19,2016-02-19,CRM,C,835.0,5,0.16,0.2,0.2,0.16,2,1453179600000000000,31,Monthly
O:CRM160219C00084500,2016-01-19,2016-02-19,CRM,C,845.0,2,0.12,0.12,0.12,0.12,1,1453179600000000000,31,Monthly
O:CRM160219C00085000,2016-01-19,2016-02-19,CRM,C,850.0,49,0.12,0.12,0.15,0.11,6,1453179600000000000,31,Monthly
O:CRM160219C00085500,2016-01-19,2016-02-19,CRM,C,855.0,48,0.1,0.1,0.1,0.1,6,1453179600000000000,31,Monthly
O:CRM160219C00087500,2016-01-19,2016-02-19,CRM,C,875.0,25,0.09,0.09,0.09,0.09,3,1453179600000000000,31,Monthly
O:CRM160219C00090000,2016-01-19,2016-02-19,CRM,C,900.0,52,0.1,0.07,0.1,0.07,4,1453179600000000000,31,Monthly
O:CRM160219P00049000,2016-01-19,2016-02-19,CRM,P,490.0,125,0.1,0.11,0.11,0.1,12,1453179600000000000,31,Monthly
O:CRM160219P00050000,2016-01-19,2016-02-19,CRM,P,500.0,51,0.18,0.12,0.18,0.12,2,1453179600000000000,31,Monthly
O:CRM160219P00055000,2016-01-19,2016-02-19,CRM,P,550.0,216,0.19,0.25,0.25,0.19,6,1453179600000000000,31,Monthly
O:CRM160219P00056000,2016-01-19,2016-02-19,CRM,P,560.0,7,0.21,0.21,0.21,0.21,1,1453179600000000000,31,Monthly
O:CRM160219P00057500,2016-01-19,2016-02-19,CRM,P,575.0,68,0.28,0.28,0.28,0.26,4,1453179600000000000,31,Monthly
O:CRM160219P00060000,2016-01-19,2016-02-19,CRM,P,600.0,73,0.44,0.5,0.5,0.39,5,1453179600000000000,31,Monthly
O:CRM160219P00062500,2016-01-19,2016-02-19,CRM,P,625.0,41,0.56,0.75,0.75,0.53,12,1453179600000000000,31,Monthly
O:CRM160219P00063000,2016-01-19,2016-02-19,CRM,P,630.0,2,0.65,0.65,0.65,0.65,1,1453179600000000000,31,Monthly
O:CRM160219P00064000,2016-01-19,2016-02-19,CRM,P,640.0,10,0.72,0.72,0.72,0.72,1,1453179600000000000,31,Monthly
O:CRM160219P00065000,2016-01-19,2016-02-19,CRM,P,650.0,315,0.89,1.02,1.18,0.84,51,1453179600000000000,31,Monthly
O:CRM160219P00066000,2016-01-19,2016-02-19,CRM,P,660.0,1,1.05,1.05,1.05,1.05,1,1453179600000000000,31,Monthly
O:CRM160219P00067000,2016-01-19,2016-02-19,CRM,P,670.0,4,1.27,1.66,1.66,1.27,2,1453179600000000000,31,Monthly
O:CRM160219P00067500,2016-01-19,2016-02-19,CRM,P,675.0,463,1.44,1.65,1.81,1.44,67,1453179600000000000,31,Monthly
O:CRM160219P00068000,2016-01-19,2016-02-19,CRM,P,680.0,1,1.97,1.97,1.97,1.97,1,1453179600000000000,31,Monthly
O:CRM160219P00068500,2016-01-19,2016-02-19,CRM,P,685.0,19,1.65,1.99,1.99,1.65,5,1453179600000000000,31,Monthly
O:CRM160219P00069000,2016-01-19,2016-02-19,CRM,P,690.0,1,2.0,2.0,2.0,2.0,1,1453179600000000000,31,Monthly
O:CRM160219P00069500,2016-01-19,2016-02-19,CRM,P,695.0,2,2.33,2.52,2.52,2.33,2,1453179600000000000,31,Monthly
O:CRM160219P00070000,2016-01-19,2016-02-19,CRM,P,700.0,670,2.5,2.44,2.75,2.1,92,1453179600000000000,31,Monthly
O:CRM160219P00070500,2016-01-19,2016-02-19,CRM,P,705.0,9,2.78,3.15,3.15,2.78,2,1453179600000000000,31,Monthly
O:CRM160219P00071000,2016-01-19,2016-02-19,CRM,P,710.0,3,3.1,3.1,3.1,3.1,1,1453179600000000000,31,Monthly
O:CRM160219P00071500,2016-01-19,2016-02-19,CRM,P,715.0,16,2.75,2.89,2.89,2.75,6,1453179600000000000,31,Monthly
