ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:CRM180112C00103000,2018-01-08,2018-01-12,CRM,C,103.0,1,5.75,5.75,-5.63,YES,5.75,5.27,5.75,5.27,5.75,5.75,1,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,5.75,5.27
O:CRM180112C00104000,2018-01-08,2018-01-12,CRM,C,104.0,9,3.98,4.85,-4.71,YES,4.45,4.08,3.98,3.65,4.92,3.98,3,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,4.45,4.51
O:CRM180112C00105000,2018-01-08,2018-01-12,CRM,C,105.0,6,3.16,4.2,-3.79,YES,3.68,3.37,3.16,2.9,4.2,3.16,2,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,3.68,3.85
O:CRM180112C00106000,2018-01-08,2018-01-12,CRM,C,106.0,78,1.98,2.98,-2.88,YES,2.48,2.27,1.98,1.81,2.98,1.98,7,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,2.48,2.73
O:CRM180112C00107000,2018-01-08,2018-01-12,CRM,C,107.0,13,1.61,2.06,-1.96,YES,1.86,1.7,1.61,1.48,2.1,1.61,4,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,1.86,1.92
O:CRM180112C00108000,2018-01-08,2018-01-12,CRM,C,108.0,124,0.8,1.21,-1.04,YES,1.15,1.05,0.8,0.73,1.5,0.8,20,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,1.15,1.37
O:CRM180112C00109000,2018-01-08,2018-01-12,CRM,C,109.0,142,0.5,0.73,-0.13,YES,0.72,0.66,0.5,0.46,0.93,0.5,37,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,0.72,0.85
O:CRM180112C00110000,2018-01-08,2018-01-12,CRM,C,110.0,128,0.27,0.34,0.79,NO,0.33,0.3,0.22,0.2,0.44,0.22,28,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,0.33,0.4
O:CRM180112C00111000,2018-01-08,2018-01-12,CRM,C,111.0,2204,0.1,0.18,1.7,NO,0.18,0.16,0.1,0.09,0.25,0.1,23,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,0.18,0.23
O:CRM180112C00112000,2018-01-08,2018-01-12,CRM,C,112.0,27,0.06,0.07,2.62,NO,0.06,0.06,0.06,0.05,0.07,0.06,2,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,0.06,0.06
O:CRM180112C00113000,2018-01-08,2018-01-12,CRM,C,113.0,1,0.07,0.07,3.54,NO,0.07,0.06,0.07,0.06,0.07,0.07,1,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,0.07,0.06
O:CRM180112C00116000,2018-01-08,2018-01-12,CRM,C,116.0,103,0.04,0.02,6.29,NO,0.03,0.03,0.02,0.02,0.04,0.02,5,1515387600000000000,4.0,Weekly,108.0,108.86,109.14,107.57,109.14,110.24,110.71,110.71,0.0141,0.03,0.04
O:CRM180126C00099000,2018-01-22,2018-01-26,CRM,C,99.0,7,13.7,13.7,-12.36,YES,13.7,12.13,13.7,12.13,13.7,13.7,1,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,13.7,12.13
O:CRM180126C00108000,2018-01-22,2018-01-26,CRM,C,108.0,2,4.79,4.79,-4.39,YES,4.79,4.24,4.79,4.24,4.79,4.79,1,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,4.79,4.24
O:CRM180126C00109000,2018-01-22,2018-01-26,CRM,C,109.0,374,3.95,3.89,-3.51,YES,3.9,3.46,3.86,3.42,3.95,3.86,13,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,3.9,3.5
O:CRM180126C00110000,2018-01-22,2018-01-26,CRM,C,110.0,399,1.96,2.92,-2.62,YES,2.58,2.28,1.96,1.74,3.2,1.96,22,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,2.58,2.83
O:CRM180126C00111000,2018-01-22,2018-01-26,CRM,C,111.0,199,1.1,2.29,-1.74,YES,1.7,1.5,1.1,0.97,2.29,1.1,8,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,1.7,2.03
O:CRM180126C00112000,2018-01-22,2018-01-26,CRM,C,112.0,350,0.8,1.35,-0.85,YES,1.09,0.96,0.68,0.6,1.5,0.68,25,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,1.09,1.33
O:CRM180126C00113000,2018-01-22,2018-01-26,CRM,C,113.0,180,0.4,0.85,0.04,NO,0.62,0.55,0.4,0.35,0.85,0.4,17,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,0.62,0.75
O:CRM180126C00114000,2018-01-22,2018-01-26,CRM,C,114.0,321,0.23,0.37,0.92,NO,0.35,0.31,0.23,0.2,0.47,0.23,22,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,0.35,0.42
O:CRM180126C00115000,2018-01-22,2018-01-26,CRM,C,115.0,33,0.09,0.25,1.81,NO,0.16,0.15,0.08,0.07,0.25,0.08,11,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,0.16,0.22
O:CRM180126C00116000,2018-01-22,2018-01-26,CRM,C,116.0,85,0.1,0.1,2.69,NO,0.1,0.09,0.1,0.09,0.1,0.1,7,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,0.1,0.09
O:CRM180126C00118000,2018-01-22,2018-01-26,CRM,C,118.0,92,0.04,0.06,4.46,NO,0.05,0.04,0.04,0.04,0.06,0.04,9,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,0.05,0.05
O:CRM180126C00120000,2018-01-22,2018-01-26,CRM,C,120.0,50,0.1,0.1,6.23,NO,0.1,0.09,0.1,0.09,0.1,0.1,1,1516597200000000000,4.0,Weekly,111.63,112.89,112.96,111.01,112.96,113.7,113.92,113.92,0.0141,0.1,0.09
O:CRM180202C00105000,2018-01-29,2018-02-02,CRM,C,105.0,10,8.45,8.43,-8.22,YES,8.47,7.4,8.43,7.37,8.51,8.43,4,1517202000000000000,4.0,Weekly,113.7,113.3,114.41,112.85,114.41,110.78,112.35,112.35,0.0141,8.47,7.44
O:CRM180202C00107000,2018-01-29,2018-02-02,CRM,C,107.0,12,7.3,6.57,-6.48,YES,6.94,6.06,6.57,5.74,7.3,6.57,3,1517202000000000000,4.0,Weekly,113.7,113.3,114.41,112.85,114.41,110.78,112.35,112.35,0.0141,6.94,6.38
O:CRM180202C00109000,2018-01-29,2018-02-02,CRM,C,109.0,20,4.27,4.25,-4.73,YES,4.26,3.72,4.25,3.71,4.27,4.25,2,1517202000000000000,4.0,Weekly,113.7,113.3,114.41,112.85,114.41,110.78,112.35,112.35,0.0141,4.26,3.73
O:CRM180202C00110000,2018-01-29,2018-02-02,CRM,C,110.0,6,4.54,3.94,-3.85,YES,4.1,3.58,3.65,3.19,4.54,3.65,4,1517202000000000000,4.0,Weekly,113.7,113.3,114.41,112.85,114.41,110.78,112.35,112.35,0.0141,4.1,3.97
