ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:CRWD190719C00060000,2019-06-18,2019-07-19,CRWD,C,60.0,1,19.9,19.9,662.39,NO,19.9,25.29,19.9,25.29,19.9,19.9,1,1560830400000000000,31,Monthly,73.0,76.5,78.7,71.5,78.7,83.52,85.85,85.85,0.0238,19.9,25.29
O:CRWD190719C00065000,2019-06-18,2019-07-19,CRWD,C,65.0,8,13.05,15.2,725.92,NO,13.7,17.41,12.2,15.5,15.2,12.2,4,1560830400000000000,31,Monthly,73.0,76.5,78.7,71.5,78.7,83.52,85.85,85.85,0.0238,13.7,19.31
O:CRWD190719C00070000,2019-06-18,2019-07-19,CRWD,C,70.0,107,10.0,10.0,789.45,NO,11.5,14.61,10.0,12.71,13.0,10.0,23,1560830400000000000,31,Monthly,73.0,76.5,78.7,71.5,78.7,83.52,85.85,85.85,0.0238,11.5,16.52
O:CRWD190719C00075000,2019-06-18,2019-07-19,CRWD,C,75.0,340,5.5,8.7,852.99,NO,7.7,9.78,5.5,6.99,9.9,5.5,132,1560830400000000000,31,Monthly,73.0,76.5,78.7,71.5,78.7,83.52,85.85,85.85,0.0238,7.7,12.58
O:CRWD190719C00060000,2019-06-19,2019-07-19,CRWD,C,60.0,2,20.8,20.8,651.97,NO,20.8,26.07,20.8,26.07,20.8,20.8,1,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,20.8,26.07
O:CRWD190719C00065000,2019-06-19,2019-07-19,CRWD,C,65.0,9,16.5,15.0,714.64,NO,14.5,18.17,12.5,15.67,16.5,12.5,6,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,14.5,20.68
O:CRWD190719C00070000,2019-06-19,2019-07-19,CRWD,C,70.0,253,13.0,11.5,777.3,NO,11.25,14.1,9.5,11.91,13.0,9.5,5,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,11.25,16.29
O:CRWD190719C00075000,2019-06-19,2019-07-19,CRWD,C,75.0,71,10.0,8.8,839.97,NO,8.88,11.12,7.5,9.4,10.25,7.5,32,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,8.88,12.85
O:CRWD190719C00080000,2019-06-19,2019-07-19,CRWD,C,80.0,50,7.5,6.5,902.63,NO,7.11,8.91,5.42,6.79,8.8,5.42,22,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,7.11,11.03
O:CRWD190719C00085000,2019-06-19,2019-07-19,CRWD,C,85.0,20,6.5,4.2,965.3,NO,4.95,6.2,3.4,4.26,6.5,3.4,8,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,4.95,8.15
O:CRWD190719C00090000,2019-06-19,2019-07-19,CRWD,C,90.0,42,3.7,3.6,1027.96,NO,3.75,4.7,2.75,3.45,4.75,2.75,11,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,3.75,5.95
O:CRWD190719C00095000,2019-06-19,2019-07-19,CRWD,C,95.0,11,3.2,2.6,1090.63,NO,2.85,3.57,2.5,3.13,3.2,2.5,7,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,2.85,4.01
O:CRWD190719C00100000,2019-06-19,2019-07-19,CRWD,C,100.0,113,2.45,1.65,1153.29,NO,2.25,2.82,1.5,1.88,3.0,1.5,36,1560916800000000000,30,Monthly,78.75,77.22,79.79,73.56,79.79,83.52,85.85,85.85,0.0238,2.25,3.76
O:CRWD190719C00060000,2019-06-20,2019-07-19,CRWD,C,60.0,19,17.2,14.8,667.07,NO,15.65,20.01,14.1,18.03,17.2,14.1,5,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,15.65,21.99
O:CRWD190719C00065000,2019-06-20,2019-07-19,CRWD,C,65.0,9,11.8,10.3,730.99,NO,10.95,14.0,10.1,12.91,11.8,10.1,5,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,10.95,15.09
O:CRWD190719C00070000,2019-06-20,2019-07-19,CRWD,C,70.0,220,11.1,8.2,794.91,NO,9.2,11.76,7.3,9.33,11.1,7.3,26,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,9.2,14.19
O:CRWD190719C00075000,2019-06-20,2019-07-19,CRWD,C,75.0,532,9.0,6.7,858.83,NO,7.1,9.08,5.2,6.65,9.0,5.2,113,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,7.1,11.51
O:CRWD190719C00080000,2019-06-20,2019-07-19,CRWD,C,80.0,121,6.1,4.9,922.76,NO,5.03,6.43,3.56,4.55,6.5,3.56,47,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,5.03,8.31
O:CRWD190719C00085000,2019-06-20,2019-07-19,CRWD,C,85.0,35,4.7,3.3,986.68,NO,3.62,4.63,2.55,3.26,4.7,2.55,17,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,3.62,6.01
O:CRWD190719C00090000,2019-06-20,2019-07-19,CRWD,C,90.0,76,2.75,2.25,1050.6,NO,2.33,2.97,1.55,1.98,3.1,1.55,23,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,2.33,3.96
O:CRWD190719C00095000,2019-06-20,2019-07-19,CRWD,C,95.0,32,2.5,1.3,1114.52,NO,1.85,2.37,1.2,1.53,2.5,1.2,15,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,1.85,3.2
O:CRWD190719C00100000,2019-06-20,2019-07-19,CRWD,C,100.0,54,1.5,1.0,1178.45,NO,1.05,1.34,0.6,0.77,1.5,0.6,19,1561003200000000000,29,Monthly,78.0,74.85,78.22,70.69,78.22,83.52,85.85,85.85,0.0238,1.05,1.92
O:CRWD190719C00045000,2019-06-21,2019-07-19,CRWD,C,45.0,1,24.4,24.4,508.7,NO,24.4,33.01,24.4,33.01,24.4,24.4,1,1561089600000000000,28,Monthly,72.46,72.23,73.93,68.3,73.93,83.52,85.85,85.85,0.0238,24.4,33.01
O:CRWD190719C00055000,2019-06-21,2019-07-19,CRWD,C,55.0,2,18.8,16.5,643.97,NO,17.65,23.87,16.5,22.32,18.8,16.5,2,1561089600000000000,28,Monthly,72.46,72.23,73.93,68.3,73.93,83.52,85.85,85.85,0.0238,17.65,25.43
