ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:CSCO160219C00023000,2016-01-19,2016-02-19,CSCO,C,23.0,136,1.5,1.3,857.14,NO,1.4,5.83,1.3,5.41,1.5,1.3,11,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,1.4,6.24
O:CSCO160219C00023500,2016-01-19,2016-02-19,CSCO,C,23.5,162,1.15,1.08,877.94,NO,1.09,4.54,1.0,4.16,1.18,1.0,11,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,1.09,4.91
O:CSCO160219C00024000,2016-01-19,2016-02-19,CSCO,C,24.0,770,0.8,0.81,898.75,NO,0.82,3.39,0.73,3.04,0.9,0.73,78,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.82,3.75
O:CSCO160219C00024500,2016-01-19,2016-02-19,CSCO,C,24.5,97,0.64,0.57,919.56,NO,0.6,2.52,0.56,2.33,0.65,0.56,13,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.6,2.7
O:CSCO160219C00025000,2016-01-19,2016-02-19,CSCO,C,25.0,3544,0.39,0.38,940.37,NO,0.4,1.66,0.34,1.41,0.46,0.34,131,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.4,1.91
O:CSCO160219C00025500,2016-01-19,2016-02-19,CSCO,C,25.5,15675,0.28,0.26,961.17,NO,0.28,1.14,0.25,1.04,0.3,0.25,39,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.28,1.25
O:CSCO160219C00026000,2016-01-19,2016-02-19,CSCO,C,26.0,473,0.16,0.15,981.98,NO,0.16,0.69,0.14,0.58,0.19,0.14,48,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.16,0.79
O:CSCO160219C00026500,2016-01-19,2016-02-19,CSCO,C,26.5,60,0.11,0.12,1002.79,NO,0.11,0.48,0.11,0.46,0.12,0.11,2,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.11,0.5
O:CSCO160219C00027000,2016-01-19,2016-02-19,CSCO,C,27.0,2507,0.07,0.05,1023.6,NO,0.06,0.27,0.05,0.21,0.08,0.05,37,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.06,0.33
O:CSCO160219C00028000,2016-01-19,2016-02-19,CSCO,C,28.0,536,0.03,0.01,1065.21,NO,0.02,0.1,0.01,0.04,0.04,0.01,63,1453179600000000000,31,Monthly,23.8,23.85,24.03,23.59,24.03,26.55,26.56,26.56,0.0034,0.02,0.17
