ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:CSCO210219C00032000,2021-01-19,2021-02-19,CSCO,C,320.0,2,13.15,13.15,13.15,13.15,1,1611032400000000000,31,Monthly
O:CSCO210219C00035000,2021-01-19,2021-02-19,CSCO,C,350.0,5,10.35,10.35,10.35,10.35,1,1611032400000000000,31,Monthly
O:CSCO210219C00040000,2021-01-19,2021-02-19,CSCO,C,400.0,98,5.39,5.55,5.55,5.1,9,1611032400000000000,31,Monthly
O:CSCO210219C00040500,2021-01-19,2021-02-19,CSCO,C,405.0,3,4.95,4.95,4.95,4.95,2,1611032400000000000,31,Monthly
O:CSCO210219C00041500,2021-01-19,2021-02-19,CSCO,C,415.0,17,4.2,4.1,4.2,4.1,2,1611032400000000000,31,Monthly
O:CSCO210219C00042000,2021-01-19,2021-02-19,CSCO,C,420.0,29,3.6,3.6,3.67,3.53,7,1611032400000000000,31,Monthly
O:CSCO210219C00042500,2021-01-19,2021-02-19,CSCO,C,425.0,1,3.3,3.3,3.3,3.3,1,1611032400000000000,31,Monthly
O:CSCO210219C00043000,2021-01-19,2021-02-19,CSCO,C,430.0,65,2.96,2.87,3.0,2.65,28,1611032400000000000,31,Monthly
O:CSCO210219C00043500,2021-01-19,2021-02-19,CSCO,C,435.0,10,2.33,2.64,2.64,2.33,9,1611032400000000000,31,Monthly
O:CSCO210219C00044000,2021-01-19,2021-02-19,CSCO,C,440.0,70,2.43,2.24,2.49,2.02,28,1611032400000000000,31,Monthly
O:CSCO210219C00044500,2021-01-19,2021-02-19,CSCO,C,445.0,9,1.96,1.92,1.96,1.73,4,1611032400000000000,31,Monthly
O:CSCO210219C00045000,2021-01-19,2021-02-19,CSCO,C,450.0,2066,1.81,1.65,1.93,1.44,164,1611032400000000000,31,Monthly
O:CSCO210219C00045500,2021-01-19,2021-02-19,CSCO,C,455.0,175,1.43,1.38,1.45,1.21,89,1611032400000000000,31,Monthly
O:CSCO210219C00046000,2021-01-19,2021-02-19,CSCO,C,460.0,967,1.3,1.11,1.41,1.01,165,1611032400000000000,31,Monthly
O:CSCO210219C00046500,2021-01-19,2021-02-19,CSCO,C,465.0,234,0.9,0.92,1.01,0.89,30,1611032400000000000,31,Monthly
O:CSCO210219C00047000,2021-01-19,2021-02-19,CSCO,C,470.0,1547,0.89,0.78,0.98,0.67,173,1611032400000000000,31,Monthly
O:CSCO210219C00047500,2021-01-19,2021-02-19,CSCO,C,475.0,58,0.56,0.65,0.66,0.55,27,1611032400000000000,31,Monthly
O:CSCO210219C00048000,2021-01-19,2021-02-19,CSCO,C,480.0,493,0.58,0.47,0.65,0.44,127,1611032400000000000,31,Monthly
O:CSCO210219C00048500,2021-01-19,2021-02-19,CSCO,C,485.0,46,0.49,0.4,0.49,0.36,13,1611032400000000000,31,Monthly
O:CSCO210219C00049000,2021-01-19,2021-02-19,CSCO,C,490.0,191,0.38,0.31,0.42,0.17,57,1611032400000000000,31,Monthly
O:CSCO210219C00049500,2021-01-19,2021-02-19,CSCO,C,495.0,20,0.31,0.26,0.31,0.21,6,1611032400000000000,31,Monthly
O:CSCO210219C00050000,2021-01-19,2021-02-19,CSCO,C,500.0,646,0.25,0.2,0.26,0.16,104,1611032400000000000,31,Monthly
O:CSCO210219C00050500,2021-01-19,2021-02-19,CSCO,C,505.0,2,0.16,0.16,0.16,0.16,1,1611032400000000000,31,Monthly
O:CSCO210219C00051000,2021-01-19,2021-02-19,CSCO,C,510.0,343,0.1,0.12,0.12,0.1,26,1611032400000000000,31,Monthly
O:CSCO210219C00052000,2021-01-19,2021-02-19,CSCO,C,520.0,66,0.1,0.08,0.1,0.06,34,1611032400000000000,31,Monthly
O:CSCO210219C00055000,2021-01-19,2021-02-19,CSCO,C,550.0,99,0.02,0.03,0.03,0.02,7,1611032400000000000,31,Monthly
O:CSCO210219P00035000,2021-01-19,2021-02-19,CSCO,P,350.0,11,0.02,0.02,0.02,0.02,2,1611032400000000000,31,Monthly
O:CSCO210219P00037000,2021-01-19,2021-02-19,CSCO,P,370.0,17,0.08,0.07,0.08,0.07,5,1611032400000000000,31,Monthly
O:CSCO210219P00038000,2021-01-19,2021-02-19,CSCO,P,380.0,14,0.12,0.11,0.13,0.11,8,1611032400000000000,31,Monthly
O:CSCO210219P00039000,2021-01-19,2021-02-19,CSCO,P,390.0,14,0.15,0.15,0.16,0.12,6,1611032400000000000,31,Monthly
O:CSCO210219P00040000,2021-01-19,2021-02-19,CSCO,P,400.0,336,0.23,0.23,0.27,0.2,49,1611032400000000000,31,Monthly
O:CSCO210219P00040500,2021-01-19,2021-02-19,CSCO,P,405.0,15,0.26,0.26,0.27,0.26,4,1611032400000000000,31,Monthly
