ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:CSCO220107C00050000,2022-01-03,2022-01-07,CSCO,C,50.0,151,13.0,12.9,689.27,NO,12.95,20.44,12.9,20.36,13.0,12.9,7,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,12.95,20.52
O:CSCO220107C00053000,2022-01-03,2022-01-07,CSCO,C,53.0,124,10.05,10.04,736.62,NO,10.0,15.79,9.95,15.71,10.05,9.95,9,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,10.0,15.86
O:CSCO220107C00055000,2022-01-03,2022-01-07,CSCO,C,55.0,18697,7.88,8.1,768.19,NO,7.93,12.51,7.7,12.15,8.15,7.7,86,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,7.93,12.87
O:CSCO220107C00056000,2022-01-03,2022-01-07,CSCO,C,56.0,1628,7.2,7.1,783.98,NO,7.0,11.05,6.8,10.73,7.2,6.8,60,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,7.0,11.37
O:CSCO220107C00056500,2022-01-03,2022-01-07,CSCO,C,56.5,2,6.49,6.49,791.87,NO,6.49,10.24,6.49,10.24,6.49,6.49,2,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,6.49,10.24
O:CSCO220107C00057000,2022-01-03,2022-01-07,CSCO,C,57.0,1954,5.8,6.05,799.76,NO,5.92,9.35,5.75,9.08,6.1,5.75,61,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,5.92,9.63
O:CSCO220107C00057500,2022-01-03,2022-01-07,CSCO,C,57.5,4,5.3,5.68,807.66,NO,5.49,8.67,5.3,8.37,5.68,5.3,3,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,5.49,8.97
O:CSCO220107C00058000,2022-01-03,2022-01-07,CSCO,C,58.0,1816,4.88,5.1,815.55,NO,4.86,7.68,4.63,7.31,5.1,4.63,54,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,4.86,8.05
O:CSCO220107C00059000,2022-01-03,2022-01-07,CSCO,C,59.0,2325,3.88,4.1,831.33,NO,3.94,6.21,3.77,5.95,4.1,3.77,60,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,3.94,6.47
O:CSCO220107C00059500,2022-01-03,2022-01-07,CSCO,C,59.5,185,3.5,3.45,839.23,NO,3.45,5.45,3.4,5.37,3.5,3.4,7,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,3.45,5.52
O:CSCO220107C00060000,2022-01-03,2022-01-07,CSCO,C,60.0,2682,3.0,3.1,847.12,NO,2.82,4.44,2.48,3.91,3.15,2.48,82,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,2.82,4.97
O:CSCO220107C00060500,2022-01-03,2022-01-07,CSCO,C,60.5,912,2.42,2.55,855.01,NO,2.4,3.78,2.24,3.54,2.55,2.24,61,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,2.4,4.03
O:CSCO220107C00061000,2022-01-03,2022-01-07,CSCO,C,61.0,2498,2.1,2.11,862.9,NO,1.93,3.05,1.69,2.67,2.17,1.69,76,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,1.93,3.43
O:CSCO220107C00061500,2022-01-03,2022-01-07,CSCO,C,61.5,124,1.3,1.72,870.8,NO,1.44,2.27,1.15,1.82,1.72,1.15,7,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,1.44,2.72
O:CSCO220107C00062000,2022-01-03,2022-01-07,CSCO,C,62.0,172,1.17,1.11,878.69,NO,1.02,1.61,0.72,1.14,1.32,0.72,48,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,1.02,2.08
O:CSCO220107C00062500,2022-01-03,2022-01-07,CSCO,C,62.5,747,0.8,0.72,886.58,NO,0.66,1.04,0.4,0.63,0.92,0.4,125,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,0.66,1.45
O:CSCO220107C00063000,2022-01-03,2022-01-07,CSCO,C,63.0,1471,0.5,0.45,894.48,NO,0.39,0.62,0.21,0.33,0.57,0.21,297,1641186000000000000,4,Weekly,62.9,63.16,63.35,62.5,63.35,61.13,61.5,61.5,0.0008,0.39,0.9
