ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:GOOG160219C00600000,2016-01-19,2016-02-19,GOOG,C,30.0,1,5.23,5.23,-14.5,YES,5.23,17.445,5.23,17.445,5.23,5.23,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00650000,2016-01-19,2016-02-19,GOOG,C,32.5,2,3.35,3.16,-7.38,YES,3.16,9.7185,3.35,9.7185,3.35,3.16,2,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00655000,2016-01-19,2016-02-19,GOOG,C,32.75,1,3.09,3.09,-6.67,YES,3.09,9.4412,3.09,9.4412,3.09,3.09,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00675000,2016-01-19,2016-02-19,GOOG,C,33.75,5,2.38,2.38,-3.82,YES,2.38,7.037,2.38,7.037,2.38,2.38,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00680000,2016-01-19,2016-02-19,GOOG,C,34.0,25,2.31,2.27,-3.1,YES,2.27,6.6765,2.31,6.6765,2.33,2.27,7,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00685000,2016-01-19,2016-02-19,GOOG,C,34.25,2,2.04,2.23,-2.39,YES,2.23,6.5109,2.04,5.9518,2.23,2.04,2,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00687500,2016-01-19,2016-02-19,GOOG,C,34.38,5,2.11,2.11,-2.04,YES,2.11,6.1382,2.11,6.1382,2.11,2.11,3,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00690000,2016-01-19,2016-02-19,GOOG,C,34.5,3,1.95,2.04,-1.68,YES,2.04,5.8986,1.95,5.6522,2.04,1.95,2,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00692500,2016-01-19,2016-02-19,GOOG,C,34.62,28,1.81,1.65,-1.32,YES,1.65,4.7653,1.81,4.7653,1.96,1.65,9,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00695000,2016-01-19,2016-02-19,GOOG,C,34.75,4,1.83,1.61,-0.97,YES,1.61,4.6273,1.83,4.5986,1.83,1.6,3,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00697500,2016-01-19,2016-02-19,GOOG,C,34.88,20,1.7,1.69,-0.61,YES,1.69,4.8602,1.7,4.8315,1.7,1.68,3,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00700000,2016-01-19,2016-02-19,GOOG,C,35.0,138,1.69,1.65,-0.26,YES,1.65,4.7143,1.69,4.1429,1.78,1.45,28,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00702500,2016-01-19,2016-02-19,GOOG,C,35.12,26,1.59,1.6,0.1,NO,1.6,4.5694,1.59,3.9758,1.62,1.4,7,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00705000,2016-01-19,2016-02-19,GOOG,C,35.25,36,1.56,1.51,0.46,NO,1.51,4.2837,1.56,3.7972,1.6,1.34,23,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00707500,2016-01-19,2016-02-19,GOOG,C,35.38,6,1.56,1.46,0.81,NO,1.46,4.1413,1.56,4.0424,1.56,1.43,4,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00710000,2016-01-19,2016-02-19,GOOG,C,35.5,22,1.43,1.4,1.17,NO,1.4,3.9437,1.43,3.3521,1.5,1.19,15,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00712500,2016-01-19,2016-02-19,GOOG,C,35.62,5,1.42,1.48,1.53,NO,1.48,4.1404,1.42,3.986,1.48,1.42,2,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00715000,2016-01-19,2016-02-19,GOOG,C,35.75,27,1.31,1.09,1.88,NO,1.09,3.049,1.31,3.049,1.31,1.09,10,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00717500,2016-01-19,2016-02-19,GOOG,C,35.88,1,1.29,1.29,2.24,NO,1.29,3.5972,1.29,3.5972,1.29,1.29,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00720000,2016-01-19,2016-02-19,GOOG,C,36.0,472,1.23,1.19,2.59,NO,1.19,3.3194,1.23,2.8056,1.27,1.01,53,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00722500,2016-01-19,2016-02-19,GOOG,C,36.12,9,1.12,1.1,2.95,NO,1.1,3.045,1.12,3.045,1.12,1.1,2,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00725000,2016-01-19,2016-02-19,GOOG,C,36.25,156,1.05,1.07,3.31,NO,1.07,2.9517,1.05,2.6345,1.14,0.96,27,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00727500,2016-01-19,2016-02-19,GOOG,C,36.38,3,1.01,0.98,3.66,NO,0.98,2.7079,1.01,2.7079,1.01,0.98,3,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00730000,2016-01-19,2016-02-19,GOOG,C,36.5,17,0.94,0.82,4.02,NO,0.82,2.2466,0.94,2.2466,1.02,0.82,10,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00732500,2016-01-19,2016-02-19,GOOG,C,36.62,4,0.91,0.98,4.38,NO,0.98,2.6894,0.91,2.4846,0.98,0.91,3,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00735000,2016-01-19,2016-02-19,GOOG,C,36.75,77,0.91,0.72,4.73,NO,0.72,1.9728,0.91,1.9728,0.92,0.72,21,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00737500,2016-01-19,2016-02-19,GOOG,C,36.88,11,0.8,0.83,5.09,NO,0.83,2.2508,0.8,2.1559,0.83,0.8,4,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00740000,2016-01-19,2016-02-19,GOOG,C,37.0,19,0.82,0.65,5.44,NO,0.65,1.7568,0.82,1.7568,0.83,0.65,6,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00742500,2016-01-19,2016-02-19,GOOG,C,37.12,2,0.82,0.64,5.8,NO,0.64,1.7239,0.82,1.7239,0.82,0.64,2,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00745000,2016-01-19,2016-02-19,GOOG,C,37.25,25,0.71,0.69,6.16,NO,0.69,1.8497,0.71,1.5973,0.71,0.6,8,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00747500,2016-01-19,2016-02-19,GOOG,C,37.38,1,0.64,0.64,6.51,NO,0.64,1.699,0.64,1.699,0.64,0.64,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00750000,2016-01-19,2016-02-19,GOOG,C,37.5,106,0.58,0.65,6.87,NO,0.65,1.7333,0.58,1.3333,0.69,0.5,41,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00752500,2016-01-19,2016-02-19,GOOG,C,37.62,2,0.64,0.64,7.23,NO,0.64,1.6877,0.64,1.6877,0.64,0.64,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00755000,2016-01-19,2016-02-19,GOOG,C,37.75,21,0.55,0.55,7.58,NO,0.55,1.457,0.55,1.1656,0.63,0.44,17,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00757500,2016-01-19,2016-02-19,GOOG,C,37.88,1,0.5,0.5,7.94,NO,0.5,1.3333,0.5,1.3333,0.5,0.5,1,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
O:GOOG160219C00760000,2016-01-19,2016-02-19,GOOG,C,38.0,28,0.48,0.4,8.29,NO,0.4,1.0658,0.48,1.0658,0.55,0.4,15,1453179600000000000,31.0,Monthly,35.16,35.09,35.5,34.67,35.09,35.09,35.5,35.09
