ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD230106C00004500,2023-01-03,2023-01-06,HOOD,C,4.5,5,0.89,0.89,-46.3,YES,0.89,10.59,0.89,10.59,0.89,0.89,1,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.89,10.59
O:HOOD230106C00005000,2023-01-03,2023-01-06,HOOD,C,5.0,3,0.76,0.76,-40.33,YES,0.75,8.99,0.75,8.95,0.76,0.75,3,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.75,9.04
O:HOOD230106C00005500,2023-01-03,2023-01-06,HOOD,C,5.5,1,0.64,0.64,-34.37,YES,0.64,7.61,0.64,7.61,0.64,0.64,1,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.64,7.61
O:HOOD230106C00006000,2023-01-03,2023-01-06,HOOD,C,6.0,15,0.49,0.49,-28.4,YES,0.49,5.85,0.49,5.85,0.49,0.49,4,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.49,5.85
O:HOOD230106C00006500,2023-01-03,2023-01-06,HOOD,C,6.5,1,0.39,0.39,-22.43,YES,0.39,4.68,0.39,4.68,0.39,0.39,1,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.39,4.68
O:HOOD230106C00007000,2023-01-03,2023-01-06,HOOD,C,7.0,34,0.34,0.27,-16.47,YES,0.29,3.48,0.24,2.92,0.34,0.24,12,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.29,4.03
O:HOOD230106C00007500,2023-01-03,2023-01-06,HOOD,C,7.5,417,0.21,0.15,-10.5,YES,0.18,2.09,0.12,1.49,0.22,0.12,39,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.18,2.68
O:HOOD230106C00008000,2023-01-03,2023-01-06,HOOD,C,8.0,1484,0.11,0.06,-4.53,YES,0.09,1.09,0.04,0.51,0.14,0.04,231,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,,,0.09,1.67
O:HOOD230106C00008500,2023-01-03,2023-01-06,HOOD,C,8.5,6307,0.03,0.02,1.43,NO,0.03,0.36,0.01,0.12,0.05,0.01,302,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,0.25,0.26,0.03,0.6
O:HOOD230106C00009000,2023-01-03,2023-01-06,HOOD,C,9.0,527,0.01,0.0,7.4,NO,0.01,0.13,0.0,0.03,0.02,0.0,140,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,0.52,0.06,0.01,0.24
O:HOOD230106C00009500,2023-01-03,2023-01-06,HOOD,C,9.5,340,0.01,0.0,13.37,NO,0.01,0.09,0.0,0.03,0.01,0.0,33,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,0.75,0.03,0.01,0.15
O:HOOD230106C00010000,2023-01-03,2023-01-06,HOOD,C,10.0,144,0.0,0.0,19.33,NO,0.0,0.04,0.0,0.03,0.0,0.0,21,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,0.89,0.01,0.0,0.06
O:HOOD230106C00011000,2023-01-03,2023-01-06,HOOD,C,11.0,5,0.0,0.0,31.26,NO,0.0,0.06,0.0,0.06,0.0,0.0,2,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,1.34,0.01,0.0,0.06
O:HOOD230106C00012000,2023-01-03,2023-01-06,HOOD,C,12.0,7,0.0,0.0,43.2,NO,0.0,0.03,0.0,0.03,0.0,0.0,2,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,1.56,0.0,0.0,0.03
O:HOOD230106C00014000,2023-01-03,2023-01-06,HOOD,C,14.0,1,0.0,0.0,67.06,NO,0.0,0.03,0.0,0.03,0.0,0.0,1,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,2.13,0.0,0.0,0.03
O:HOOD230106C00014500,2023-01-03,2023-01-06,HOOD,C,14.5,1,0.0,0.0,73.03,NO,0.0,0.03,0.0,0.03,0.0,0.0,1,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,2.25,0.0,0.0,0.03
O:HOOD230106C00015000,2023-01-03,2023-01-06,HOOD,C,15.0,1,0.0,0.0,79.0,NO,0.0,0.03,0.0,0.03,0.0,0.0,1,1672722000000000000,3,Weekly,8.26,8.08,8.38,7.92,8.38,8.25,8.32,8.32,0.02,2.37,0.0,0.0,0.03
O:HOOD230113C00003000,2023-01-09,2023-01-13,HOOD,C,3.0,4,1.29,1.38,-65.48,YES,1.33,15.32,1.29,14.82,1.38,1.29,2,1673240400000000000,4,Weekly,8.44,8.55,8.69,8.39,8.69,9.32,9.44,9.44,0.02,,,1.33,15.82
