ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD210813C00025000,2021-08-09,2021-08-13,HOOD,C,25.0,11.0,33.34,32.1,-58.31,YES,32.72,54.57,32.1,53.54,33.34,32.1,9.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,4.45,0.94,32.72,55.6
O:HOOD210813C00035000,2021-08-09,2021-08-13,HOOD,C,35.0,2.0,23.4,22.2,-41.63,YES,22.8,38.03,22.2,37.02,23.4,22.2,2.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,3.0,0.92,22.8,39.03
O:HOOD210813C00040000,2021-08-09,2021-08-13,HOOD,C,40.0,15.0,17.19,16.5,-33.29,YES,16.95,28.27,16.5,27.52,17.4,16.5,11.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,,,16.95,29.02
O:HOOD210813C00041000,2021-08-09,2021-08-13,HOOD,C,41.0,6.0,16.6,16.3,-31.62,YES,16.45,27.43,16.3,27.18,16.6,16.3,2.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.3,0.89,16.45,27.69
O:HOOD210813C00042000,2021-08-09,2021-08-13,HOOD,C,42.0,24.0,16.0,15.3,-29.95,YES,15.35,25.6,14.7,24.52,16.0,14.7,14.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.17,0.89,15.35,26.68
O:HOOD210813C00043000,2021-08-09,2021-08-13,HOOD,C,43.0,9.0,15.4,13.4,-28.29,YES,14.4,24.02,13.4,22.35,15.4,13.4,7.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,,,14.4,25.68
O:HOOD210813C00044000,2021-08-09,2021-08-13,HOOD,C,44.0,8.0,14.6,13.2,-26.62,YES,13.7,22.85,12.8,21.35,14.6,12.8,8.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.79,0.9,13.7,24.35
O:HOOD210813C00045000,2021-08-09,2021-08-13,HOOD,C,45.0,82.0,12.96,11.8,-24.95,YES,12.46,20.78,11.42,19.05,13.5,11.42,18.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,0.0,1.0,12.46,22.52
O:HOOD210813C00046000,2021-08-09,2021-08-13,HOOD,C,46.0,67.0,11.9,10.4,-23.28,YES,11.75,19.6,10.4,17.34,13.1,10.4,26.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,,,11.75,21.85
O:HOOD210813C00047000,2021-08-09,2021-08-13,HOOD,C,47.0,43.0,11.8,9.5,-21.61,YES,10.6,17.68,9.4,15.68,11.8,9.4,12.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,,,10.6,19.68
O:HOOD210813C00048000,2021-08-09,2021-08-13,HOOD,C,48.0,23.0,9.9,8.9,-19.95,YES,10.0,16.68,8.6,14.34,11.4,8.6,11.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,0.9,0.96,10.0,19.01
O:HOOD210813C00049000,2021-08-09,2021-08-13,HOOD,C,49.0,57.0,9.8,7.5,-18.28,YES,9.2,15.34,7.5,12.51,10.9,7.5,20.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,,,9.2,18.18
O:HOOD210813C00050000,2021-08-09,2021-08-13,HOOD,C,50.0,571.0,10.2,7.46,-16.61,YES,8.65,14.43,6.8,11.34,10.5,6.8,163.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.27,0.82,8.65,17.51
O:HOOD210813C00051000,2021-08-09,2021-08-13,HOOD,C,51.0,105.0,8.3,6.7,-14.94,NO,7.55,12.59,6.2,10.34,8.9,6.2,28.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.29,0.77,7.55,14.84
O:HOOD210813C00052000,2021-08-09,2021-08-13,HOOD,C,52.0,711.0,8.67,5.6,-13.28,NO,7.08,11.82,5.47,9.12,8.7,5.47,100.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.09,0.77,7.08,14.51
O:HOOD210813C00053000,2021-08-09,2021-08-13,HOOD,C,53.0,398.0,7.5,5.2,-11.61,NO,6.42,10.72,4.65,7.76,8.2,4.65,127.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.26,0.68,6.42,13.68
O:HOOD210813C00054000,2021-08-09,2021-08-13,HOOD,C,54.0,184.0,6.9,4.7,-9.94,NO,5.88,9.8,4.1,6.84,7.65,4.1,89.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.33,0.62,5.88,12.76
O:HOOD210813C00055000,2021-08-09,2021-08-13,HOOD,C,55.0,2381.0,7.0,4.21,-8.27,NO,5.44,9.07,3.68,6.14,7.2,3.68,527.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,1.38,0.56,5.44,12.01
