ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:INTC220107C00044000,2022-01-03,2022-01-07,INTC,C,44.0,1,1.97,1.97,-17.34,YES,1.97,3.7,1.97,3.7,1.97,1.97,1,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.97,3.7,,
O:INTC220107C00045000,2022-01-03,2022-01-07,INTC,C,45.0,1,1.72,1.72,-15.46,YES,1.72,3.23,1.72,3.23,1.72,1.72,1,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.72,3.23,,
O:INTC220107C00046000,2022-01-03,2022-01-07,INTC,C,46.0,1,1.78,1.78,-13.58,YES,1.78,3.34,1.78,3.34,1.78,1.78,1,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.78,3.34,,
O:INTC220107C00047000,2022-01-03,2022-01-07,INTC,C,47.0,2,1.36,1.4,-11.7,YES,1.38,2.59,1.36,2.55,1.4,1.36,2,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.38,2.63,,
O:INTC220107C00048000,2022-01-03,2022-01-07,INTC,C,48.0,34,1.06,1.24,-9.83,YES,1.15,2.16,1.06,1.99,1.24,1.06,5,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.15,2.33,,
O:INTC220107C00049000,2022-01-03,2022-01-07,INTC,C,49.0,215,0.85,1.04,-7.95,YES,0.92,1.73,0.8,1.5,1.04,0.8,30,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.92,1.95,,
O:INTC220107C00049500,2022-01-03,2022-01-07,INTC,C,49.5,33,0.72,0.9,-7.01,YES,0.81,1.52,0.72,1.35,0.9,0.72,5,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.81,1.69,,
O:INTC220107C00050000,2022-01-03,2022-01-07,INTC,C,50.0,1262,0.5,0.8,-6.07,YES,0.65,1.22,0.5,0.94,0.8,0.5,68,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.65,1.5,,
O:INTC220107C00050500,2022-01-03,2022-01-07,INTC,C,50.5,72,0.34,0.68,-5.13,YES,0.51,0.96,0.34,0.64,0.68,0.34,22,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.51,1.28,,
O:INTC220107C00051000,2022-01-03,2022-01-07,INTC,C,51.0,218,0.24,0.55,-4.19,YES,0.4,0.75,0.24,0.45,0.56,0.24,66,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.4,1.05,,
O:INTC220107C00051500,2022-01-03,2022-01-07,INTC,C,51.5,624,0.15,0.42,-3.25,YES,0.3,0.55,0.15,0.28,0.44,0.15,128,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.3,0.83,,
O:INTC220107C00052000,2022-01-03,2022-01-07,INTC,C,52.0,2648,0.09,0.34,-2.31,YES,0.22,0.4,0.09,0.17,0.34,0.09,529,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.22,0.64,,
O:INTC220107C00052500,2022-01-03,2022-01-07,INTC,C,52.5,6204,0.05,0.24,-1.37,YES,0.15,0.28,0.05,0.09,0.25,0.05,784,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.15,0.47,,
O:INTC220107C00053000,2022-01-03,2022-01-07,INTC,C,53.0,7815,0.03,0.16,-0.43,YES,0.1,0.18,0.02,0.04,0.17,0.02,1164,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.1,0.32,,
O:INTC220107C00053500,2022-01-03,2022-01-07,INTC,C,53.5,8143,0.02,0.1,0.51,YES,0.06,0.12,0.02,0.04,0.11,0.02,781,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.06,0.21,0.0931,0.3005
O:INTC220107C00054000,2022-01-03,2022-01-07,INTC,C,54.0,5190,0.01,0.06,1.45,YES,0.03,0.07,0.01,0.02,0.06,0.01,500,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.03,0.11,0.134,0.1515
O:INTC220107C00054500,2022-01-03,2022-01-07,INTC,C,54.5,2824,0.01,0.03,2.39,NO,0.02,0.05,0.01,0.02,0.04,0.01,240,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.02,0.08,0.1569,0.0745
O:INTC220107C00055000,2022-01-03,2022-01-07,INTC,C,55.0,4054,0.0,0.02,3.33,NO,0.01,0.02,0.0,0.0,0.02,0.0,367,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.01,0.04,0.1855,0.0452
O:INTC220107C00056000,2022-01-03,2022-01-07,INTC,C,56.0,3018,0.0,0.01,5.2,NO,0.0,0.01,0.0,0.0,0.01,0.0,272,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.02,0.2363,0.0196
O:INTC220107C00056500,2022-01-03,2022-01-07,INTC,C,56.5,1800,0.0,0.0,6.14,NO,0.0,0.0,0.0,0.0,0.0,0.0,121,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.0,,
O:INTC220107C00057000,2022-01-03,2022-01-07,INTC,C,57.0,1162,0.0,0.0,7.08,NO,0.0,0.0,0.0,0.0,0.0,0.0,73,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.0,,
O:INTC220107C00058000,2022-01-03,2022-01-07,INTC,C,58.0,941,0.0,0.0,8.96,NO,0.0,0.0,0.0,0.0,0.0,0.0,88,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.0,,
O:INTC220107C00059000,2022-01-03,2022-01-07,INTC,C,59.0,341,0.0,0.0,10.84,NO,0.0,0.0,0.0,0.0,0.0,0.0,18,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.0,,
O:INTC220107C00060000,2022-01-03,2022-01-07,INTC,C,60.0,4,0.0,0.0,12.72,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.0,,
O:INTC220107C00070000,2022-01-03,2022-01-07,INTC,C,70.0,1,0.0,0.0,31.5,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1641186000000000000,4,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.0,0.0,,
O:INTC220114C00030000,2022-01-10,2022-01-14,INTC,C,30.0,51,5.91,5.98,-45.76,YES,5.91,10.69,5.84,10.56,5.98,5.84,6,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,5.91,10.81,,
O:INTC220114C00035000,2022-01-10,2022-01-14,INTC,C,35.0,12,4.59,4.59,-36.72,YES,4.59,8.3,4.59,8.3,4.59,4.59,1,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,4.59,8.3,,
O:INTC220114C00040000,2022-01-10,2022-01-14,INTC,C,40.0,2,3.54,3.54,-27.68,YES,3.54,6.4,3.54,6.4,3.54,3.54,1,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,3.54,6.4,,
O:INTC220114C00043000,2022-01-10,2022-01-14,INTC,C,43.0,41,2.64,2.75,-22.26,YES,2.72,4.92,2.62,4.74,2.82,2.62,6,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,2.72,5.1,,
O:INTC220114C00044000,2022-01-10,2022-01-14,INTC,C,44.0,62,2.38,2.59,-20.45,YES,2.46,4.46,2.34,4.23,2.59,2.34,4,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,2.46,4.68,,
O:INTC220114C00045000,2022-01-10,2022-01-14,INTC,C,45.0,5,2.26,2.41,-18.64,YES,2.34,4.22,2.26,4.09,2.41,2.26,2,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,2.34,4.36,,
O:INTC220114C00046000,2022-01-10,2022-01-14,INTC,C,46.0,29,1.98,2.02,-16.83,YES,2.01,3.64,1.98,3.58,2.05,1.98,3,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,2.01,3.71,,
O:INTC220114C00047000,2022-01-10,2022-01-14,INTC,C,47.0,8,1.82,1.82,-15.02,YES,1.82,3.29,1.82,3.29,1.82,1.82,1,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,1.82,3.29,,
O:INTC220114C00047500,2022-01-10,2022-01-14,INTC,C,47.5,36,1.7,1.68,-14.12,YES,1.69,3.06,1.68,3.04,1.7,1.68,2,1641790800000000000,4,53.97,55.21,55.31,53.31,55.31,55.7,55.77,55.77,0.0008,1.69,3.07,,
