ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:INTC170217C00032000,2017-01-17,2017-02-17,INTC,C,32.0,3,4.77,4.77,-13.11,YES,4.77,12.95,4.77,12.95,4.77,4.77,1,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,4.77,12.95,,
O:INTC170217C00033000,2017-01-17,2017-02-17,INTC,C,33.0,5,3.78,3.78,-10.4,YES,3.78,10.26,3.78,10.26,3.78,3.78,1,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,3.78,10.26,,
O:INTC170217C00034000,2017-01-17,2017-02-17,INTC,C,34.0,158,2.82,2.89,-7.68,YES,2.88,7.82,2.8,7.6,2.96,2.8,41,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,2.88,8.04,0.1725,0.9425
O:INTC170217C00035000,2017-01-17,2017-02-17,INTC,C,35.0,402,1.95,2.0,-4.97,YES,2.01,5.46,1.95,5.29,2.07,1.95,73,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,2.01,5.62,0.1754,0.8369
O:INTC170217C00036000,2017-01-17,2017-02-17,INTC,C,36.0,654,1.34,1.33,-2.25,YES,1.28,3.49,1.22,3.31,1.35,1.22,113,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,1.28,3.67,0.1979,0.6465
O:INTC170217C00037000,2017-01-17,2017-02-17,INTC,C,37.0,1915,0.78,0.74,0.46,NO,0.74,2.01,0.7,1.9,0.78,0.7,105,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,0.74,2.12,0.1894,0.4598
O:INTC170217C00038000,2017-01-17,2017-02-17,INTC,C,38.0,656,0.38,0.38,3.18,NO,0.36,0.99,0.33,0.9,0.4,0.33,59,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,0.36,1.09,0.1912,0.2812
O:INTC170217C00039000,2017-01-17,2017-02-17,INTC,C,39.0,47,0.17,0.15,5.89,NO,0.16,0.45,0.15,0.41,0.18,0.15,5,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,0.16,0.49,0.1834,0.1384
O:INTC170217C00040000,2017-01-17,2017-02-17,INTC,C,40.0,159,0.07,0.08,8.61,NO,0.08,0.2,0.07,0.19,0.08,0.07,5,1484629200000000000,31,Monthly,36.67,36.8,36.83,36.59,36.83,36.48,36.48,36.48,0.0065,0.08,0.22,0.1996,0.075
O:INTC170217C00025000,2017-01-18,2017-02-17,INTC,C,25.0,10,11.87,11.87,-32.45,YES,11.87,32.07,11.87,32.07,11.87,11.87,1,1484715600000000000,30,Monthly,36.89,36.76,37.01,36.61,37.01,36.48,36.48,36.48,0.0065,11.87,32.07,,
