ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:INTC200221C00040000,2020-01-21,2020-02-21,INTC,C,400.0,13,20.81,20.69,20.81,20.69,2,1579582800000000000,31,Monthly
O:INTC200221C00050000,2020-01-21,2020-02-21,INTC,C,500.0,14,10.55,10.84,11.3,10.55,10,1579582800000000000,31,Monthly
O:INTC200221C00052500,2020-01-21,2020-02-21,INTC,C,525.0,45,8.65,8.35,8.75,8.34,27,1579582800000000000,31,Monthly
O:INTC200221C00054500,2020-01-21,2020-02-21,INTC,C,545.0,2,6.45,6.45,6.45,6.45,2,1579582800000000000,31,Monthly
O:INTC200221C00055000,2020-01-21,2020-02-21,INTC,C,550.0,230,5.7,6.14,6.31,5.7,30,1579582800000000000,31,Monthly
O:INTC200221C00055500,2020-01-21,2020-02-21,INTC,C,555.0,9,5.8,5.6,5.8,5.6,8,1579582800000000000,31,Monthly
O:INTC200221C00056000,2020-01-21,2020-02-21,INTC,C,560.0,63,5.45,5.1,5.45,5.1,15,1579582800000000000,31,Monthly
O:INTC200221C00056500,2020-01-21,2020-02-21,INTC,C,565.0,17,5.05,4.65,5.05,4.65,6,1579582800000000000,31,Monthly
O:INTC200221C00057000,2020-01-21,2020-02-21,INTC,C,570.0,156,4.4,4.6,4.7,4.4,12,1579582800000000000,31,Monthly
O:INTC200221C00057500,2020-01-21,2020-02-21,INTC,C,575.0,670,3.71,3.95,4.26,3.7,90,1579582800000000000,31,Monthly
O:INTC200221C00058000,2020-01-21,2020-02-21,INTC,C,580.0,86,3.8,3.7,3.85,3.65,10,1579582800000000000,31,Monthly
O:INTC200221C00058500,2020-01-21,2020-02-21,INTC,C,585.0,141,3.05,3.3,3.55,3.05,12,1579582800000000000,31,Monthly
O:INTC200221C00059000,2020-01-21,2020-02-21,INTC,C,590.0,162,2.94,2.98,3.2,2.94,22,1579582800000000000,31,Monthly
O:INTC200221C00059500,2020-01-21,2020-02-21,INTC,C,595.0,238,2.76,2.58,2.96,2.58,31,1579582800000000000,31,Monthly
O:INTC200221C00060000,2020-01-21,2020-02-21,INTC,C,600.0,2414,1.71,2.26,2.65,1.71,395,1579582800000000000,31,Monthly
O:INTC200221C00060500,2020-01-21,2020-02-21,INTC,C,605.0,324,1.84,1.99,2.31,1.8,73,1579582800000000000,31,Monthly
O:INTC200221C00061000,2020-01-21,2020-02-21,INTC,C,610.0,1079,1.7,1.72,2.07,1.67,136,1579582800000000000,31,Monthly
O:INTC200221C00061500,2020-01-21,2020-02-21,INTC,C,615.0,253,1.44,1.48,1.8,1.44,52,1579582800000000000,31,Monthly
O:INTC200221C00062000,2020-01-21,2020-02-21,INTC,C,620.0,377,1.3,1.35,1.56,1.25,66,1579582800000000000,31,Monthly
O:INTC200221C00062500,2020-01-21,2020-02-21,INTC,C,625.0,1502,0.75,1.12,1.37,0.75,197,1579582800000000000,31,Monthly
O:INTC200221C00063000,2020-01-21,2020-02-21,INTC,C,630.0,1297,0.91,0.95,1.16,0.89,208,1579582800000000000,31,Monthly
O:INTC200221C00063500,2020-01-21,2020-02-21,INTC,C,635.0,231,0.77,0.86,0.97,0.75,32,1579582800000000000,31,Monthly
O:INTC200221C00064000,2020-01-21,2020-02-21,INTC,C,640.0,2815,0.65,0.7,0.8,0.65,79,1579582800000000000,31,Monthly
O:INTC200221C00064500,2020-01-21,2020-02-21,INTC,C,645.0,16,0.52,0.55,0.64,0.52,7,1579582800000000000,31,Monthly
O:INTC200221C00065000,2020-01-21,2020-02-21,INTC,C,650.0,1650,0.3,0.45,0.58,0.3,208,1579582800000000000,31,Monthly
O:INTC200221C00065500,2020-01-21,2020-02-21,INTC,C,655.0,91,0.43,0.41,0.46,0.38,20,1579582800000000000,31,Monthly
O:INTC200221C00066000,2020-01-21,2020-02-21,INTC,C,660.0,905,0.34,0.31,0.38,0.3,65,1579582800000000000,31,Monthly
O:INTC200221C00067500,2020-01-21,2020-02-21,INTC,C,675.0,469,0.14,0.19,0.22,0.14,47,1579582800000000000,31,Monthly
O:INTC200221C00070000,2020-01-21,2020-02-21,INTC,C,700.0,1932,0.05,0.07,0.09,0.05,89,1579582800000000000,31,Monthly
O:INTC200221C00075000,2020-01-21,2020-02-21,INTC,C,750.0,13,0.02,0.03,0.03,0.02,9,1579582800000000000,31,Monthly
O:INTC200221P00045000,2020-01-21,2020-02-21,INTC,P,450.0,7,0.03,0.03,0.04,0.03,5,1579582800000000000,31,Monthly
O:INTC200221P00047500,2020-01-21,2020-02-21,INTC,P,475.0,112,0.12,0.07,0.12,0.06,16,1579582800000000000,31,Monthly
O:INTC200221P00050000,2020-01-21,2020-02-21,INTC,P,500.0,249,0.14,0.13,0.14,0.1,38,1579582800000000000,31,Monthly
O:INTC200221P00052000,2020-01-21,2020-02-21,INTC,P,520.0,867,0.2,0.21,0.21,0.16,25,1579582800000000000,31,Monthly
O:INTC200221P00052500,2020-01-21,2020-02-21,INTC,P,525.0,689,0.25,0.24,0.26,0.19,34,1579582800000000000,31,Monthly
O:INTC200221P00053000,2020-01-21,2020-02-21,INTC,P,530.0,1138,0.28,0.28,0.28,0.22,47,1579582800000000000,31,Monthly
O:INTC200221P00053500,2020-01-21,2020-02-21,INTC,P,535.0,8,0.3,0.3,0.3,0.24,6,1579582800000000000,31,Monthly
O:INTC200221P00054000,2020-01-21,2020-02-21,INTC,P,540.0,131,0.35,0.35,0.36,0.28,13,1579582800000000000,31,Monthly
O:INTC200221P00054500,2020-01-21,2020-02-21,INTC,P,545.0,473,0.39,0.39,0.39,0.33,26,1579582800000000000,31,Monthly
O:INTC200221P00055000,2020-01-21,2020-02-21,INTC,P,550.0,1767,0.53,0.47,0.53,0.36,121,1579582800000000000,31,Monthly
O:INTC200221P00055500,2020-01-21,2020-02-21,INTC,P,555.0,75,0.49,0.5,0.52,0.44,30,1579582800000000000,31,Monthly
O:INTC200221P00056000,2020-01-21,2020-02-21,INTC,P,560.0,251,0.64,0.64,0.66,0.5,61,1579582800000000000,31,Monthly
O:INTC200221P00056500,2020-01-21,2020-02-21,INTC,P,565.0,217,0.69,0.69,0.71,0.6,28,1579582800000000000,31,Monthly
O:INTC200221P00057000,2020-01-21,2020-02-21,INTC,P,570.0,89,0.76,0.85,0.85,0.68,23,1579582800000000000,31,Monthly
O:INTC200221P00057500,2020-01-21,2020-02-21,INTC,P,575.0,390,1.04,0.99,1.14,0.78,72,1579582800000000000,31,Monthly
O:INTC200221P00058000,2020-01-21,2020-02-21,INTC,P,580.0,213,1.02,1.13,1.13,0.9,53,1579582800000000000,31,Monthly
O:INTC200221P00058500,2020-01-21,2020-02-21,INTC,P,585.0,474,1.23,1.3,1.3,1.05,52,1579582800000000000,31,Monthly
O:INTC200221P00059000,2020-01-21,2020-02-21,INTC,P,590.0,193,1.43,1.43,1.43,1.22,53,1579582800000000000,31,Monthly
O:INTC200221P00059500,2020-01-21,2020-02-21,INTC,P,595.0,182,1.61,1.66,1.68,1.38,49,1579582800000000000,31,Monthly
O:INTC200221P00060000,2020-01-21,2020-02-21,INTC,P,600.0,893,1.99,1.9,1.99,1.56,126,1579582800000000000,31,Monthly
O:INTC200221P00060500,2020-01-21,2020-02-21,INTC,P,605.0,152,2.06,2.14,2.15,1.79,44,1579582800000000000,31,Monthly
O:INTC200221P00061000,2020-01-21,2020-02-21,INTC,P,610.0,76,2.15,2.28,2.32,2.07,23,1579582800000000000,31,Monthly
O:INTC200221P00061500,2020-01-21,2020-02-21,INTC,P,615.0,27,2.41,2.62,2.62,2.26,11,1579582800000000000,31,Monthly
O:INTC200221P00062000,2020-01-21,2020-02-21,INTC,P,620.0,2,2.74,2.74,2.74,2.74,1,1579582800000000000,31,Monthly
O:INTC200221P00062500,2020-01-21,2020-02-21,INTC,P,625.0,351,3.1,3.15,3.2,2.84,17,1579582800000000000,31,Monthly
O:INTC200221P00063000,2020-01-21,2020-02-21,INTC,P,630.0,2,3.25,3.25,3.25,3.25,1,1579582800000000000,31,Monthly
O:INTC200221P00063500,2020-01-21,2020-02-21,INTC,P,635.0,23,3.8,3.5,3.95,3.5,3,1579582800000000000,31,Monthly
O:INTC200221P00064000,2020-01-21,2020-02-21,INTC,P,640.0,16,4.2,3.85,4.2,3.85,2,1579582800000000000,31,Monthly
O:INTC200221P00064500,2020-01-21,2020-02-21,INTC,P,645.0,5,4.4,4.75,4.75,4.4,3,1579582800000000000,31,Monthly
O:INTC200221P00065000,2020-01-21,2020-02-21,INTC,P,650.0,113,5.05,5.1,5.1,4.7,16,1579582800000000000,31,Monthly
O:INTC200221P00065500,2020-01-21,2020-02-21,INTC,P,655.0,29,5.45,5.4,5.45,5.4,5,1579582800000000000,31,Monthly
O:INTC200221P00067500,2020-01-21,2020-02-21,INTC,P,675.0,6,6.95,6.95,6.95,6.95,1,1579582800000000000,31,Monthly
O:INTC200221P00070000,2020-01-21,2020-02-21,INTC,P,700.0,1,9.45,9.45,9.45,9.45,1,1579582800000000000,31,Monthly
O:INTC200221C00042500,2020-01-22,2020-02-21,INTC,C,425.0,3,19.4,19.4,19.4,19.4,1,1579669200000000000,30,Monthly
O:INTC200221C00050000,2020-01-22,2020-02-21,INTC,C,500.0,220,11.35,12.12,12.12,11.3,10,1579669200000000000,30,Monthly
O:INTC200221C00052500,2020-01-22,2020-02-21,INTC,C,525.0,65,8.88,10.3,10.3,8.88,16,1579669200000000000,30,Monthly
O:INTC200221C00053500,2020-01-22,2020-02-21,INTC,C,535.0,1,7.81,7.81,7.81,7.81,1,1579669200000000000,30,Monthly
O:INTC200221C00055000,2020-01-22,2020-02-21,INTC,C,550.0,62,6.6,8.0,8.0,6.6,18,1579669200000000000,30,Monthly
O:INTC200221C00056000,2020-01-22,2020-02-21,INTC,C,560.0,5,5.7,5.7,5.7,5.7,1,1579669200000000000,30,Monthly
O:INTC200221C00056500,2020-01-22,2020-02-21,INTC,C,565.0,2,5.3,6.05,6.05,5.3,2,1579669200000000000,30,Monthly
O:INTC200221C00057000,2020-01-22,2020-02-21,INTC,C,570.0,20,4.85,5.7,5.7,4.85,8,1579669200000000000,30,Monthly
O:INTC200221C00057500,2020-01-22,2020-02-21,INTC,C,575.0,253,4.5,5.74,5.74,4.5,52,1579669200000000000,30,Monthly
O:INTC200221C00058000,2020-01-22,2020-02-21,INTC,C,580.0,25,4.1,4.79,4.79,4.1,5,1579669200000000000,30,Monthly
O:INTC200221C00058500,2020-01-22,2020-02-21,INTC,C,585.0,43,4.2,4.51,4.51,4.2,7,1579669200000000000,30,Monthly
O:INTC200221C00059000,2020-01-22,2020-02-21,INTC,C,590.0,73,3.15,4.4,4.4,3.15,7,1579669200000000000,30,Monthly
O:INTC200221C00059500,2020-01-22,2020-02-21,INTC,C,595.0,62,3.55,3.75,3.8,3.55,13,1579669200000000000,30,Monthly
O:INTC200221C00060000,2020-01-22,2020-02-21,INTC,C,600.0,24496,2.53,3.75,3.76,2.53,293,1579669200000000000,30,Monthly
O:INTC200221C00060500,2020-01-22,2020-02-21,INTC,C,605.0,425,2.29,3.2,3.2,2.29,35,1579669200000000000,30,Monthly
O:INTC200221C00061000,2020-01-22,2020-02-21,INTC,C,610.0,660,2.0,3.07,3.07,1.97,103,1579669200000000000,30,Monthly
O:INTC200221C00061500,2020-01-22,2020-02-21,INTC,C,615.0,235,1.72,2.37,2.52,1.72,60,1579669200000000000,30,Monthly
O:INTC200221C00062000,2020-01-22,2020-02-21,INTC,C,620.0,1166,1.46,2.43,2.46,1.46,163,1579669200000000000,30,Monthly
O:INTC200221C00062500,2020-01-22,2020-02-21,INTC,C,625.0,2612,1.32,2.18,2.18,1.31,527,1579669200000000000,30,Monthly
O:INTC200221C00063000,2020-01-22,2020-02-21,INTC,C,630.0,719,1.17,1.89,1.94,1.11,180,1579669200000000000,30,Monthly
O:INTC200221C00063500,2020-01-22,2020-02-21,INTC,C,635.0,507,0.93,1.59,1.59,0.93,47,1579669200000000000,30,Monthly
O:INTC200221C00064000,2020-01-22,2020-02-21,INTC,C,640.0,2081,0.8,1.46,1.46,0.8,110,1579669200000000000,30,Monthly
O:INTC200221C00064500,2020-01-22,2020-02-21,INTC,C,645.0,113,0.7,1.04,1.06,0.7,24,1579669200000000000,30,Monthly
O:INTC200221C00065000,2020-01-22,2020-02-21,INTC,C,650.0,2591,0.52,1.1,1.1,0.52,258,1579669200000000000,30,Monthly
O:INTC200221C00065500,2020-01-22,2020-02-21,INTC,C,655.0,380,0.45,0.91,0.91,0.44,34,1579669200000000000,30,Monthly
O:INTC200221C00066000,2020-01-22,2020-02-21,INTC,C,660.0,187,0.38,0.78,0.78,0.37,50,1579669200000000000,30,Monthly
O:INTC200221C00067500,2020-01-22,2020-02-21,INTC,C,675.0,4453,0.2,0.47,0.48,0.2,215,1579669200000000000,30,Monthly
O:INTC200221C00070000,2020-01-22,2020-02-21,INTC,C,700.0,980,0.08,0.18,0.19,0.08,111,1579669200000000000,30,Monthly
O:INTC200221C00075000,2020-01-22,2020-02-21,INTC,C,750.0,494,0.03,0.03,0.04,0.02,20,1579669200000000000,30,Monthly
O:INTC200221P00040000,2020-01-22,2020-02-21,INTC,P,400.0,27,0.02,0.02,0.02,0.02,9,1579669200000000000,30,Monthly
O:INTC200221P00045000,2020-01-22,2020-02-21,INTC,P,450.0,20,0.03,0.02,0.03,0.02,5,1579669200000000000,30,Monthly
O:INTC200221P00047500,2020-01-22,2020-02-21,INTC,P,475.0,27,0.04,0.04,0.04,0.03,9,1579669200000000000,30,Monthly
O:INTC200221P00050000,2020-01-22,2020-02-21,INTC,P,500.0,291,0.09,0.07,0.1,0.06,32,1579669200000000000,30,Monthly
O:INTC200221P00052000,2020-01-22,2020-02-21,INTC,P,520.0,12,0.11,0.1,0.11,0.1,2,1579669200000000000,30,Monthly
O:INTC200221P00052500,2020-01-22,2020-02-21,INTC,P,525.0,633,0.22,0.12,0.22,0.11,84,1579669200000000000,30,Monthly
O:INTC200221P00053000,2020-01-22,2020-02-21,INTC,P,530.0,1551,0.24,0.15,0.24,0.15,38,1579669200000000000,30,Monthly
O:INTC200221P00053500,2020-01-22,2020-02-21,INTC,P,535.0,20,0.27,0.27,0.27,0.27,1,1579669200000000000,30,Monthly
O:INTC200221P00054000,2020-01-22,2020-02-21,INTC,P,540.0,819,0.28,0.19,0.28,0.19,50,1579669200000000000,30,Monthly
O:INTC200221P00054500,2020-01-22,2020-02-21,INTC,P,545.0,1218,0.28,0.23,0.28,0.22,49,1579669200000000000,30,Monthly
O:INTC200221P00055000,2020-01-22,2020-02-21,INTC,P,550.0,2023,0.4,0.24,0.4,0.23,185,1579669200000000000,30,Monthly
O:INTC200221P00055500,2020-01-22,2020-02-21,INTC,P,555.0,95,0.32,0.29,0.32,0.29,18,1579669200000000000,30,Monthly
O:INTC200221P00056000,2020-01-22,2020-02-21,INTC,P,560.0,169,0.56,0.33,0.56,0.32,25,1579669200000000000,30,Monthly
O:INTC200221P00056500,2020-01-22,2020-02-21,INTC,P,565.0,98,0.65,0.42,0.65,0.41,17,1579669200000000000,30,Monthly
O:INTC200221P00057000,2020-01-22,2020-02-21,INTC,P,570.0,5269,0.65,0.46,0.65,0.45,48,1579669200000000000,30,Monthly
O:INTC200221P00057500,2020-01-22,2020-02-21,INTC,P,575.0,705,0.87,0.5,0.87,0.5,132,1579669200000000000,30,Monthly
O:INTC200221P00058000,2020-01-22,2020-02-21,INTC,P,580.0,5266,0.96,0.59,0.96,0.59,50,1579669200000000000,30,Monthly
O:INTC200221P00058500,2020-01-22,2020-02-21,INTC,P,585.0,239,1.17,0.7,1.17,0.7,38,1579669200000000000,30,Monthly
O:INTC200221P00059000,2020-01-22,2020-02-21,INTC,P,590.0,691,1.28,0.8,1.29,0.8,105,1579669200000000000,30,Monthly
O:INTC200221P00059500,2020-01-22,2020-02-21,INTC,P,595.0,479,1.45,0.94,1.45,0.94,48,1579669200000000000,30,Monthly
O:INTC200221P00060000,2020-01-22,2020-02-21,INTC,P,600.0,1656,1.9,1.09,1.9,1.07,197,1579669200000000000,30,Monthly
O:INTC200221P00060500,2020-01-22,2020-02-21,INTC,P,605.0,2666,1.91,1.29,1.91,1.29,244,1579669200000000000,30,Monthly
O:INTC200221P00061000,2020-01-22,2020-02-21,INTC,P,610.0,306,1.99,1.43,1.99,1.43,52,1579669200000000000,30,Monthly
O:INTC200221P00061500,2020-01-22,2020-02-21,INTC,P,615.0,534,1.97,1.64,1.97,1.64,56,1579669200000000000,30,Monthly
O:INTC200221P00062000,2020-01-22,2020-02-21,INTC,P,620.0,126,2.4,1.83,2.4,1.83,29,1579669200000000000,30,Monthly
O:INTC200221P00062500,2020-01-22,2020-02-21,INTC,P,625.0,422,2.73,2.08,2.75,2.08,31,1579669200000000000,30,Monthly
O:INTC200221P00063000,2020-01-22,2020-02-21,INTC,P,630.0,139,2.78,2.36,2.78,2.33,11,1579669200000000000,30,Monthly
O:INTC200221P00063500,2020-01-22,2020-02-21,INTC,P,635.0,108,3.55,2.85,3.55,2.81,5,1579669200000000000,30,Monthly
O:INTC200221P00064000,2020-01-22,2020-02-21,INTC,P,640.0,22,2.95,2.95,2.95,2.95,3,1579669200000000000,30,Monthly
O:INTC200221P00064500,2020-01-22,2020-02-21,INTC,P,645.0,152,4.2,3.45,4.2,3.45,32,1579669200000000000,30,Monthly
O:INTC200221P00065000,2020-01-22,2020-02-21,INTC,P,650.0,294,4.45,3.78,4.5,3.7,39,1579669200000000000,30,Monthly
O:INTC200221P00065500,2020-01-22,2020-02-21,INTC,P,655.0,30,4.85,3.85,4.9,3.85,11,1579669200000000000,30,Monthly
O:INTC200221P00067500,2020-01-22,2020-02-21,INTC,P,675.0,53,5.8,5.8,5.8,5.8,2,1579669200000000000,30,Monthly
O:INTC200221P00070000,2020-01-22,2020-02-21,INTC,P,700.0,1,9.05,9.05,9.05,9.05,1,1579669200000000000,30,Monthly
O:INTC200221C00042500,2020-01-23,2020-02-21,INTC,C,425.0,6,20.8,20.8,20.8,20.8,1,1579755600000000000,29,Monthly
O:INTC200221C00045000,2020-01-23,2020-02-21,INTC,C,450.0,3,18.32,18.32,18.32,18.32,1,1579755600000000000,29,Monthly
O:INTC200221C00050000,2020-01-23,2020-02-21,INTC,C,500.0,8,13.05,13.7,13.7,13.05,4,1579755600000000000,29,Monthly
O:INTC200221C00052500,2020-01-23,2020-02-21,INTC,C,525.0,227,10.38,10.84,11.2,10.38,12,1579755600000000000,29,Monthly
O:INTC200221C00053000,2020-01-23,2020-02-21,INTC,C,530.0,2,10.47,10.47,10.47,10.47,1,1579755600000000000,29,Monthly
O:INTC200221C00054500,2020-01-23,2020-02-21,INTC,C,545.0,1,9.15,9.15,9.15,9.15,1,1579755600000000000,29,Monthly
O:INTC200221C00055000,2020-01-23,2020-02-21,INTC,C,550.0,68,8.22,8.5,8.82,8.22,28,1579755600000000000,29,Monthly
O:INTC200221C00055500,2020-01-23,2020-02-21,INTC,C,555.0,1,7.92,7.92,7.92,7.92,1,1579755600000000000,29,Monthly
O:INTC200221C00056000,2020-01-23,2020-02-21,INTC,C,560.0,8,7.58,7.45,7.58,7.45,2,1579755600000000000,29,Monthly
O:INTC200221C00056500,2020-01-23,2020-02-21,INTC,C,565.0,15,6.85,7.0,7.0,6.85,9,1579755600000000000,29,Monthly
O:INTC200221C00057000,2020-01-23,2020-02-21,INTC,C,570.0,182,6.23,6.75,6.75,6.23,13,1579755600000000000,29,Monthly
O:INTC200221C00057500,2020-01-23,2020-02-21,INTC,C,575.0,591,5.75,6.2,6.5,5.7,100,1579755600000000000,29,Monthly
O:INTC200221C00058000,2020-01-23,2020-02-21,INTC,C,580.0,42,5.57,5.9,6.1,5.45,12,1579755600000000000,29,Monthly
O:INTC200221C00058500,2020-01-23,2020-02-21,INTC,C,585.0,81,5.35,5.53,5.6,5.05,17,1579755600000000000,29,Monthly
O:INTC200221C00059000,2020-01-23,2020-02-21,INTC,C,590.0,6,4.76,5.15,5.15,4.75,4,1579755600000000000,29,Monthly
