ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:INTC220107C00044000,2022-01-03,2022-01-07,INTC,C,44.0,1,7.88,7.88,-17.34,NO,7.88,14.8,7.88,14.8,7.88,7.88,1,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,7.88,14.8
O:INTC220107C00045000,2022-01-03,2022-01-07,INTC,C,45.0,1,6.9,6.9,-15.46,NO,6.9,12.96,6.9,12.96,6.9,6.9,1,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,6.9,12.96
O:INTC220107C00046000,2022-01-03,2022-01-07,INTC,C,46.0,1,7.13,7.13,-13.58,NO,7.13,13.39,7.13,13.39,7.13,7.13,1,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,7.13,13.39
O:INTC220107C00047000,2022-01-03,2022-01-07,INTC,C,47.0,2,5.45,5.6,-11.7,NO,5.52,10.38,5.45,10.24,5.6,5.45,2,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,5.52,10.52
O:INTC220107C00048000,2022-01-03,2022-01-07,INTC,C,48.0,34,4.25,4.97,-9.83,NO,4.61,8.66,4.25,7.98,4.97,4.25,5,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,4.61,9.34
O:INTC220107C00049000,2022-01-03,2022-01-07,INTC,C,49.0,215,3.39,4.16,-7.95,NO,3.68,6.91,3.2,6.01,4.16,3.2,30,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,3.68,7.82
O:INTC220107C00049500,2022-01-03,2022-01-07,INTC,C,49.5,33,2.89,3.6,-7.01,NO,3.24,6.1,2.89,5.43,3.6,2.89,5,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,3.24,6.76
O:INTC220107C00050000,2022-01-03,2022-01-07,INTC,C,50.0,1262,2.0,3.18,-6.07,NO,2.6,4.89,2.0,3.76,3.21,2.0,68,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,2.6,6.03
O:INTC220107C00050500,2022-01-03,2022-01-07,INTC,C,50.5,72,1.35,2.71,-5.13,NO,2.03,3.81,1.35,2.54,2.71,1.35,22,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,2.03,5.09
O:INTC220107C00051000,2022-01-03,2022-01-07,INTC,C,51.0,218,0.95,2.18,-4.19,NO,1.6,3.02,0.95,1.78,2.26,0.95,66,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.6,4.25
O:INTC220107C00051500,2022-01-03,2022-01-07,INTC,C,51.5,624,0.61,1.67,-3.25,NO,1.18,2.23,0.61,1.15,1.76,0.61,128,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,1.18,3.31
O:INTC220107C00052000,2022-01-03,2022-01-07,INTC,C,52.0,2648,0.37,1.34,-2.31,NO,0.87,1.63,0.36,0.68,1.38,0.36,529,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.87,2.59
O:INTC220107C00052500,2022-01-03,2022-01-07,INTC,C,52.5,6204,0.21,0.95,-1.37,NO,0.61,1.15,0.21,0.39,1.01,0.21,784,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.61,1.9
O:INTC220107C00053000,2022-01-03,2022-01-07,INTC,C,53.0,7815,0.11,0.62,-0.43,NO,0.38,0.72,0.1,0.19,0.67,0.1,1164,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.38,1.26
O:INTC220107C00053500,2022-01-03,2022-01-07,INTC,C,53.5,8143,0.07,0.39,0.51,NO,0.25,0.47,0.07,0.13,0.43,0.07,781,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.25,0.81
O:INTC220107C00054000,2022-01-03,2022-01-07,INTC,C,54.0,5190,0.04,0.24,1.45,NO,0.14,0.27,0.04,0.08,0.25,0.04,500,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.14,0.47
O:INTC220107C00054500,2022-01-03,2022-01-07,INTC,C,54.5,2824,0.04,0.13,2.39,NO,0.09,0.17,0.04,0.08,0.14,0.04,240,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.09,0.26
O:INTC220107C00055000,2022-01-03,2022-01-07,INTC,C,55.0,4054,0.02,0.07,3.33,NO,0.05,0.09,0.02,0.04,0.08,0.02,367,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.05,0.15
O:INTC220107C00056000,2022-01-03,2022-01-07,INTC,C,56.0,3018,0.01,0.03,5.2,NO,0.02,0.04,0.01,0.02,0.03,0.01,272,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.02,0.06
O:INTC220107C00056500,2022-01-03,2022-01-07,INTC,C,56.5,1800,0.01,0.02,6.14,NO,0.02,0.03,0.01,0.02,0.02,0.01,121,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.02,0.04
O:INTC220107C00057000,2022-01-03,2022-01-07,INTC,C,57.0,1162,0.01,0.02,7.08,NO,0.02,0.03,0.01,0.02,0.02,0.01,73,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.02,0.04
O:INTC220107C00058000,2022-01-03,2022-01-07,INTC,C,58.0,941,0.01,0.01,8.96,NO,0.02,0.03,0.01,0.02,0.02,0.01,88,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.02,0.04
O:INTC220107C00059000,2022-01-03,2022-01-07,INTC,C,59.0,341,0.01,0.01,10.84,NO,0.01,0.02,0.01,0.02,0.01,0.01,18,1641186000000000000,4,Weekly,51.65,53.21,53.23,51.6,53.23,53.44,54.39,54.39,0.0008,0.01,0.02
