ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:IWM180105C00143500,2018-01-02,2018-01-05,IWM,C,143.5,1,2.57,2.57,-6.8,YES,2.57,1.67,2.57,1.67,2.57,2.57,1,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,2.57,1.67,,
O:IWM180105C00148000,2018-01-02,2018-01-05,IWM,C,148.0,10,1.44,1.45,-3.88,YES,1.44,0.94,1.44,0.94,1.45,1.44,2,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,1.44,0.94,,
O:IWM180105C00149000,2018-01-02,2018-01-05,IWM,C,149.0,7,1.1,1.1,-3.23,YES,1.1,0.72,1.1,0.72,1.1,1.1,1,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,1.1,0.72,,
O:IWM180105C00150000,2018-01-02,2018-01-05,IWM,C,150.0,19,0.95,0.98,-2.58,YES,0.93,0.61,0.87,0.57,1.0,0.87,8,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.93,0.65,,
O:IWM180105C00150500,2018-01-02,2018-01-05,IWM,C,150.5,80,0.71,0.78,-2.25,YES,0.8,0.52,0.71,0.46,0.88,0.71,14,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.8,0.57,,
O:IWM180105C00151000,2018-01-02,2018-01-05,IWM,C,151.0,83,0.66,0.64,-1.93,YES,0.64,0.41,0.51,0.33,0.76,0.51,16,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.64,0.49,,
O:IWM180105C00151500,2018-01-02,2018-01-05,IWM,C,151.5,125,0.57,0.52,-1.6,YES,0.59,0.38,0.52,0.34,0.66,0.52,25,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.59,0.43,,
O:IWM180105C00152000,2018-01-02,2018-01-05,IWM,C,152.0,726,0.43,0.5,-1.28,YES,0.48,0.31,0.4,0.26,0.55,0.4,47,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.48,0.35,,
O:IWM180105C00152500,2018-01-02,2018-01-05,IWM,C,152.5,198,0.28,0.32,-0.95,YES,0.34,0.22,0.26,0.17,0.43,0.26,24,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.34,0.28,,
O:IWM180105C00153000,2018-01-02,2018-01-05,IWM,C,153.0,1280,0.25,0.3,-0.63,YES,0.25,0.16,0.16,0.1,0.35,0.16,128,1514869200000000000,3,Weekly,153.2,153.9,153.97,152.46,153.97,154.79,154.98,154.98,0.02,0.25,0.23,,
