ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:IWM180216C00136000,2018-01-16,2018-02-16,IWM,C,136.0,2.0,23.22,22.2,-12.9,YES,22.2,16.32,23.22,17.07,23.22,22.2,2.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00137000,2018-01-16,2018-02-16,IWM,C,137.0,1.0,22.31,22.31,-12.26,YES,22.31,16.28,22.31,16.28,22.31,22.31,1.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00138000,2018-01-16,2018-02-16,IWM,C,138.0,5.0,21.37,21.0,-11.62,YES,21.0,15.22,21.37,15.49,21.37,21.0,2.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00139000,2018-01-16,2018-02-16,IWM,C,139.0,2.0,20.23,20.42,-10.98,YES,20.42,14.69,20.23,14.55,20.42,20.23,2.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00140000,2018-01-16,2018-02-16,IWM,C,140.0,6.0,19.18,16.8,-10.34,YES,16.8,12.0,19.18,13.7,19.18,16.8,2.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00141000,2018-01-16,2018-02-16,IWM,C,141.0,9.0,18.2,18.02,-9.7,YES,18.02,12.78,18.2,12.91,18.2,17.81,8.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00142000,2018-01-16,2018-02-16,IWM,C,142.0,4.0,17.33,16.6,-9.06,YES,16.6,11.69,17.33,12.2,17.33,16.6,4.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00143000,2018-01-16,2018-02-16,IWM,C,143.0,2.0,15.66,15.13,-8.42,YES,15.13,10.58,15.66,10.95,15.66,15.13,2.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00144000,2018-01-16,2018-02-16,IWM,C,144.0,4.0,14.46,13.0,-7.78,YES,13.0,9.03,14.46,10.04,14.46,13.0,2.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00145000,2018-01-16,2018-02-16,IWM,C,145.0,188.0,14.27,12.2,-7.13,YES,12.2,8.41,14.27,9.84,14.79,12.2,10.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00146000,2018-01-16,2018-02-16,IWM,C,146.0,18.0,13.37,10.75,-6.49,YES,10.75,7.36,13.37,9.16,13.37,10.75,5.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00147000,2018-01-16,2018-02-16,IWM,C,147.0,66.0,12.75,10.3,-5.85,YES,10.3,7.01,12.75,8.67,12.75,9.65,7.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00148000,2018-01-16,2018-02-16,IWM,C,148.0,29.0,11.53,9.12,-5.21,YES,9.12,6.16,11.53,7.79,11.9,9.12,15.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00149000,2018-01-16,2018-02-16,IWM,C,149.0,30.0,10.47,8.15,-4.57,YES,8.15,5.47,10.47,7.03,10.89,7.96,9.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00150000,2018-01-16,2018-02-16,IWM,C,150.0,448.0,9.46,7.43,-3.93,YES,7.43,4.95,9.46,6.31,10.01,7.3,40.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00151000,2018-01-16,2018-02-16,IWM,C,151.0,79.0,8.78,6.61,-3.29,YES,6.61,4.38,8.78,5.81,8.78,6.44,18.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00152000,2018-01-16,2018-02-16,IWM,C,152.0,264.0,7.51,5.39,-2.65,YES,5.39,3.55,7.51,4.94,8.0,5.26,71.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00153000,2018-01-16,2018-02-16,IWM,C,153.0,287.0,6.76,4.77,-2.01,YES,4.77,3.12,6.76,4.42,7.18,4.62,26.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00154000,2018-01-16,2018-02-16,IWM,C,154.0,4173.0,5.88,3.85,-1.37,YES,3.85,2.5,5.88,3.82,6.39,3.77,92.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00155000,2018-01-16,2018-02-16,IWM,C,155.0,1137.0,5.05,3.45,-0.73,YES,3.45,2.23,5.05,3.26,5.52,3.05,138.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00156000,2018-01-16,2018-02-16,IWM,C,156.0,1445.0,4.48,2.63,-0.09,YES,2.63,1.69,4.48,2.87,4.8,2.48,141.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00157000,2018-01-16,2018-02-16,IWM,C,157.0,3090.0,3.59,2.23,0.55,NO,2.23,1.42,3.59,2.29,4.02,1.99,259.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00158000,2018-01-16,2018-02-16,IWM,C,158.0,2541.0,2.95,1.74,1.19,NO,1.74,1.1,2.95,1.87,3.38,1.54,296.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00159000,2018-01-16,2018-02-16,IWM,C,159.0,5735.0,2.36,1.25,1.83,NO,1.25,0.79,2.36,1.48,2.78,1.21,403.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00160000,2018-01-16,2018-02-16,IWM,C,160.0,2988.0,1.87,1.0,2.47,NO,1.0,0.62,1.87,1.17,2.23,0.91,282.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00161000,2018-01-16,2018-02-16,IWM,C,161.0,1953.0,1.47,0.75,3.11,NO,0.75,0.47,1.47,0.91,1.77,0.71,183.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00162000,2018-01-16,2018-02-16,IWM,C,162.0,1395.0,1.1,0.55,3.75,NO,0.55,0.34,1.1,0.68,1.34,0.53,189.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
O:IWM180216C00163000,2018-01-16,2018-02-16,IWM,C,163.0,1754.0,0.8,0.38,4.39,NO,0.38,0.23,0.8,0.49,1.05,0.38,107.0,1516078800000000000,31.0,Monthly,158.86,156.14,159.41,155.8,156.14,156.14,159.41,156.14
