ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:IWM160108C00095000,2016-01-04,2016-01-08,IWM,C,95.0,2.0,15.1,15.2,,NO,15.2,16.0,15.1,15.89,15.2,15.1,2.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00102000,2016-01-04,2016-01-08,IWM,C,102.0,9.0,8.0,8.0,,NO,8.0,7.84,8.0,7.84,8.0,8.0,2.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00105000,2016-01-04,2016-01-08,IWM,C,105.0,10.0,4.75,5.15,,NO,5.15,4.9,4.75,4.52,5.15,4.75,2.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00106000,2016-01-04,2016-01-08,IWM,C,106.0,2.0,4.1,4.1,,NO,4.1,3.87,4.1,3.87,4.1,4.1,1.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00107000,2016-01-04,2016-01-08,IWM,C,107.0,5.0,3.11,3.11,,NO,3.11,2.91,3.11,2.91,3.11,3.11,1.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00107500,2016-01-04,2016-01-08,IWM,C,107.5,1.0,2.9,2.9,,NO,2.9,2.7,2.9,2.7,2.9,2.9,1.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00108000,2016-01-04,2016-01-08,IWM,C,108.0,95.0,2.37,2.55,,NO,2.55,2.36,2.37,2.19,2.55,2.11,7.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00108500,2016-01-04,2016-01-08,IWM,C,108.5,69.0,2.33,2.15,,NO,2.15,1.98,2.33,2.15,2.33,1.98,16.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00109000,2016-01-04,2016-01-08,IWM,C,109.0,702.0,2.33,2.0,,NO,2.0,1.83,2.33,2.14,2.36,1.48,72.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
O:IWM160108C00109500,2016-01-04,2016-01-08,IWM,C,109.5,905.0,2.1,1.51,,NO,1.51,1.38,2.1,1.92,2.1,1.21,62.0,1451883600000000000,4.0,Weekly,,,,,,,,,0.0034,,
