ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:IWM180112C00135000,2018-01-08,2018-01-12,IWM,C,135.0,6.0,19.18,20.18,-12.92,YES,20.18,14.95,19.18,14.21,20.18,19.18,3.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.7086
O:IWM180112C00146000,2018-01-08,2018-01-12,IWM,C,146.0,50.0,7.73,8.34,-5.82,YES,8.34,5.71,7.73,5.29,8.34,7.73,7.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,
O:IWM180112C00149000,2018-01-08,2018-01-12,IWM,C,149.0,6.0,4.93,6.11,-3.89,YES,6.11,4.1,4.93,3.31,6.11,4.93,2.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.2182
O:IWM180112C00150000,2018-01-08,2018-01-12,IWM,C,150.0,97.0,4.0,5.15,-3.24,YES,5.15,3.43,4.0,2.67,5.15,3.98,7.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.2101
O:IWM180112C00150500,2018-01-08,2018-01-12,IWM,C,150.5,51.0,3.34,4.03,-2.92,YES,4.03,2.68,3.34,2.22,4.03,3.34,8.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,
O:IWM180112C00151000,2018-01-08,2018-01-12,IWM,C,151.0,176.0,3.88,4.23,-2.6,YES,4.23,2.8,3.88,2.57,4.23,3.2,5.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.2067
O:IWM180112C00151500,2018-01-08,2018-01-12,IWM,C,151.5,1.0,3.18,3.18,-2.28,YES,3.18,2.1,3.18,2.1,3.18,3.18,1.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,
O:IWM180112C00152000,2018-01-08,2018-01-12,IWM,C,152.0,308.0,2.22,3.23,-1.95,YES,3.23,2.12,2.22,1.46,3.31,1.98,14.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.1687
O:IWM180112C00152500,2018-01-08,2018-01-12,IWM,C,152.5,21.0,1.77,2.79,-1.63,YES,2.79,1.83,1.77,1.16,2.79,1.77,6.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.1646
O:IWM180112C00153000,2018-01-08,2018-01-12,IWM,C,153.0,567.0,1.32,2.32,-1.31,YES,2.32,1.52,1.32,0.86,2.39,1.22,48.0,1515387600000000000,4.0,Weekly,154.73,155.03,155.27,153.5,155.03,155.03,155.27,155.03,0.0141,0.15
