ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:IWM210108C00170000,2021-01-04,2021-01-08,IWM,C,170.0,6,26.81,24.08,-12.14,NO,24.08,14.16,26.81,15.77,26.81,22.68,4,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00175000,2021-01-04,2021-01-08,IWM,C,175.0,102,17.9,18.86,-9.56,NO,18.86,10.78,17.9,10.23,18.86,16.38,6,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00176000,2021-01-04,2021-01-08,IWM,C,176.0,1,20.83,20.83,-9.04,NO,20.83,11.84,20.83,11.84,20.83,20.83,1,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00179000,2021-01-04,2021-01-08,IWM,C,179.0,190,14.45,14.69,-7.49,NO,14.69,8.21,14.45,8.07,14.69,14.4,8,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00179500,2021-01-04,2021-01-08,IWM,C,179.5,9,12.67,13.22,-7.24,NO,13.22,7.36,12.67,7.06,13.22,12.67,3,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00180000,2021-01-04,2021-01-08,IWM,C,180.0,8,15.15,13.64,-6.98,NO,13.64,7.58,15.15,8.42,15.15,13.06,6,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00180500,2021-01-04,2021-01-08,IWM,C,180.5,9,11.76,12.29,-6.72,NO,12.29,6.81,11.76,6.52,12.29,11.76,3,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00181000,2021-01-04,2021-01-08,IWM,C,181.0,12,11.65,12.48,-6.46,NO,12.48,6.9,11.65,6.44,12.48,11.65,4,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00182000,2021-01-04,2021-01-08,IWM,C,182.0,3,11.84,11.84,-5.94,NO,11.84,6.51,11.84,6.51,11.84,11.84,2,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
O:IWM210108C00182500,2021-01-04,2021-01-08,IWM,C,182.5,20,10.65,10.9,-5.68,NO,10.9,5.97,10.65,5.84,10.9,10.65,6,1609736400000000000,4,Weekly,197.54,193.5,197.89,190.94,193.5,193.5,197.89,193.5
