ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:JPM190111C00090000,2019-01-07,2019-01-11,JPM,C,6.0,6,2.59,2.8,-11.3,YES,2.65,2.61,2.5,2.46,2.8,2.5,5,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,2.65,2.76
O:JPM190111C00091000,2019-01-07,2019-01-11,JPM,C,6.07,9,2.41,2.41,-10.32,YES,2.41,2.38,2.41,2.38,2.41,2.41,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,2.41,2.38
O:JPM190111C00093000,2019-01-07,2019-01-11,JPM,C,6.2,7,1.8,2.02,-8.35,YES,1.91,1.88,1.8,1.77,2.02,1.8,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,1.91,2.0
O:JPM190111C00094000,2019-01-07,2019-01-11,JPM,C,6.27,49,1.52,1.52,-7.36,YES,1.52,1.5,1.52,1.5,1.52,1.52,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,1.52,1.5
O:JPM190111C00095000,2019-01-07,2019-01-11,JPM,C,6.33,48,1.61,1.52,-6.38,YES,1.56,1.54,1.52,1.49,1.61,1.52,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,1.56,1.59
O:JPM190111C00096500,2019-01-07,2019-01-11,JPM,C,6.43,7,1.06,1.16,-4.9,YES,1.09,1.07,1.01,1.0,1.16,1.01,7,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,1.09,1.15
O:JPM190111C00097000,2019-01-07,2019-01-11,JPM,C,6.47,29,0.87,1.05,-4.41,YES,0.99,0.98,0.87,0.86,1.11,0.87,4,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.99,1.1
O:JPM190111C00097500,2019-01-07,2019-01-11,JPM,C,6.5,5,0.85,0.81,-3.91,YES,0.87,0.86,0.81,0.8,0.92,0.81,5,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.87,0.91
O:JPM190111C00098000,2019-01-07,2019-01-11,JPM,C,6.53,11,0.8,0.85,-3.42,YES,0.82,0.81,0.8,0.79,0.85,0.8,5,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.82,0.84
O:JPM190111C00098500,2019-01-07,2019-01-11,JPM,C,6.57,42,0.72,0.73,-2.93,YES,0.71,0.7,0.62,0.62,0.8,0.62,14,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.71,0.78
O:JPM190111C00099000,2019-01-07,2019-01-11,JPM,C,6.6,76,0.57,0.62,-2.43,YES,0.62,0.61,0.52,0.51,0.72,0.52,10,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.62,0.71
O:JPM190111C00099500,2019-01-07,2019-01-11,JPM,C,6.63,95,0.52,0.52,-1.94,YES,0.54,0.53,0.46,0.45,0.62,0.46,17,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.54,0.62
O:JPM190111C00100000,2019-01-07,2019-01-11,JPM,C,6.67,622,0.35,0.44,-1.45,YES,0.44,0.43,0.34,0.34,0.54,0.34,114,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.44,0.53
O:JPM190111C00101000,2019-01-07,2019-01-11,JPM,C,6.73,1288,0.34,0.28,-0.46,YES,0.3,0.3,0.24,0.23,0.37,0.24,143,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.3,0.37
O:JPM190111C00102000,2019-01-07,2019-01-11,JPM,C,6.8,583,0.22,0.17,0.52,YES,0.19,0.19,0.14,0.14,0.24,0.14,114,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.19,0.23
O:JPM190111C00103000,2019-01-07,2019-01-11,JPM,C,6.87,1225,0.1,0.09,1.51,YES,0.11,0.11,0.08,0.08,0.14,0.08,110,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.11,0.14
O:JPM190111C00104000,2019-01-07,2019-01-11,JPM,C,6.93,1080,0.05,0.05,2.49,YES,0.06,0.06,0.04,0.04,0.07,0.04,72,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.06,0.07
O:JPM190111C00105000,2019-01-07,2019-01-11,JPM,C,7.0,300,0.02,0.02,3.48,YES,0.03,0.03,0.02,0.02,0.04,0.02,28,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.03,0.03
O:JPM190111C00106000,2019-01-07,2019-01-11,JPM,C,7.07,421,0.01,0.01,4.46,YES,0.01,0.01,0.01,0.01,0.02,0.01,90,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.01,0.02
O:JPM190111C00107000,2019-01-07,2019-01-11,JPM,C,7.13,317,0.0,0.0,5.45,YES,0.0,0.0,0.0,0.0,0.0,0.0,10,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.0,0.0
O:JPM190111C00108000,2019-01-07,2019-01-11,JPM,C,7.2,98,0.0,0.0,6.44,YES,0.0,0.0,0.0,0.0,0.0,0.0,7,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.0,0.0
O:JPM190111C00112000,2019-01-07,2019-01-11,JPM,C,7.47,1,0.0,0.0,10.38,YES,0.0,0.0,0.0,0.0,0.0,0.0,1,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.71,101.47,99.91,100.17,100.17,0.02,,,0.0,0.0
O:JPM190118C00055000,2019-01-14,2019-01-18,JPM,C,3.67,1,11.5,11.5,-45.74,YES,11.5,11.35,11.5,11.35,11.5,11.5,1,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,11.5,11.35
O:JPM190118C00060000,2019-01-14,2019-01-18,JPM,C,4.0,52,10.2,10.28,-40.81,YES,10.24,10.1,10.2,10.06,10.28,10.2,7,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,10.24,10.14
O:JPM190118C00065000,2019-01-14,2019-01-18,JPM,C,4.33,194,9.02,9.05,-35.87,YES,9.04,8.92,9.02,8.9,9.05,9.02,11,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,9.04,8.93
O:JPM190118C00070000,2019-01-14,2019-01-18,JPM,C,4.67,6,7.78,7.84,-30.94,YES,7.81,7.7,7.78,7.67,7.84,7.78,2,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,7.81,7.74
O:JPM190118C00075000,2019-01-14,2019-01-18,JPM,C,5.0,1058,6.18,6.46,-26.01,YES,6.32,6.23,6.18,6.09,6.46,6.18,31,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,6.32,6.38
O:JPM190118C00080000,2019-01-14,2019-01-18,JPM,C,5.33,107,5.03,5.28,-21.07,YES,5.16,5.09,5.03,4.96,5.29,5.03,21,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,5.16,5.22
O:JPM190118C00085000,2019-01-14,2019-01-18,JPM,C,5.67,12,3.92,4.05,-16.14,YES,3.99,3.94,3.92,3.86,4.06,3.92,4,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,3.99,4.01
O:JPM190118C00087000,2019-01-14,2019-01-18,JPM,C,5.8,1,3.59,3.59,-14.17,YES,3.59,3.54,3.59,3.54,3.59,3.59,1,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,3.59,3.54
O:JPM190118C00087500,2019-01-14,2019-01-18,JPM,C,5.83,10,3.4,3.4,-13.67,YES,3.4,3.36,3.4,3.36,3.4,3.4,1,1547442000000000000,4,Weekly,98.87,100.94,101.36,98.66,101.36,104.59,104.9,104.9,0.02,,,3.4,3.36
