ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:JPM210108C00060000,2021-01-04,2021-01-08,JPM,C,60.0,50,16.6,16.47,-53.07,YES,16.51,12.91,16.41,12.84,16.6,16.41,16,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,16.51,12.98,,
O:JPM210108C00100000,2021-01-04,2021-01-08,JPM,C,100.0,220,6.49,6.55,-21.79,YES,6.52,5.1,6.49,5.07,6.55,6.49,4,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,6.52,5.12,,
O:JPM210108C00102000,2021-01-04,2021-01-08,JPM,C,102.0,4,5.92,5.92,-20.22,YES,5.92,4.63,5.92,4.63,5.92,5.92,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,5.92,4.63,,
O:JPM210108C00105000,2021-01-04,2021-01-08,JPM,C,105.0,25,5.18,5.18,-17.88,YES,5.18,4.05,5.18,4.05,5.18,5.18,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,5.18,4.05,,
O:JPM210108C00106000,2021-01-04,2021-01-08,JPM,C,106.0,5,4.9,4.9,-17.1,YES,4.9,3.84,4.9,3.84,4.9,4.9,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,4.9,3.84,,
O:JPM210108C00107000,2021-01-04,2021-01-08,JPM,C,107.0,62,4.79,4.72,-16.31,YES,4.78,3.74,4.72,3.7,4.84,4.72,5,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,4.78,3.78,,
O:JPM210108C00108000,2021-01-04,2021-01-08,JPM,C,108.0,4,4.41,4.41,-15.53,YES,4.41,3.45,4.41,3.45,4.41,4.41,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,4.41,3.45,,
O:JPM210108C00109000,2021-01-04,2021-01-08,JPM,C,109.0,25,4.49,4.49,-14.75,YES,4.49,3.51,4.49,3.51,4.49,4.49,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,4.49,3.51,,
O:JPM210108C00110000,2021-01-04,2021-01-08,JPM,C,110.0,134,3.96,3.98,-13.97,YES,3.92,3.07,3.86,3.02,3.99,3.86,5,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,3.92,3.12,,
O:JPM210108C00111000,2021-01-04,2021-01-08,JPM,C,111.0,4,3.64,3.64,-13.18,YES,3.64,2.84,3.64,2.84,3.64,3.64,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,3.64,2.84,,
O:JPM210108C00112000,2021-01-04,2021-01-08,JPM,C,112.0,25,3.01,3.01,-12.4,YES,3.01,2.36,3.01,2.36,3.01,3.01,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,3.01,2.36,,
O:JPM210108C00113000,2021-01-04,2021-01-08,JPM,C,113.0,125,3.39,3.31,-11.62,YES,3.24,2.53,3.09,2.41,3.39,3.09,18,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,3.24,2.65,,
O:JPM210108C00114000,2021-01-04,2021-01-08,JPM,C,114.0,280,2.99,3.08,-10.84,YES,3.03,2.37,2.99,2.34,3.08,2.99,4,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,3.03,2.41,,
O:JPM210108C00115000,2021-01-04,2021-01-08,JPM,C,115.0,224,2.84,2.8,-10.06,YES,2.69,2.11,2.55,2.0,2.84,2.55,7,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,2.69,2.22,,
O:JPM210108C00116000,2021-01-04,2021-01-08,JPM,C,116.0,26,2.36,2.55,-9.27,YES,2.46,1.92,2.36,1.85,2.55,2.36,2,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,2.46,1.99,,
O:JPM210108C00117000,2021-01-04,2021-01-08,JPM,C,117.0,60,2.24,2.22,-8.49,YES,2.23,1.75,2.22,1.74,2.24,2.22,3,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,2.23,1.75,,
O:JPM210108C00118000,2021-01-04,2021-01-08,JPM,C,118.0,152,2.19,2.0,-7.71,YES,2.05,1.6,1.9,1.49,2.19,1.9,10,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,2.05,1.71,,
O:JPM210108C00119000,2021-01-04,2021-01-08,JPM,C,119.0,711,1.7,1.8,-6.93,YES,1.77,1.38,1.7,1.33,1.84,1.7,23,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,1.77,1.44,,
O:JPM210108C00120000,2021-01-04,2021-01-08,JPM,C,120.0,3514,1.78,1.55,-6.15,YES,1.57,1.22,1.25,0.97,1.89,1.25,58,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,1.57,1.48,,
O:JPM210108C00121000,2021-01-04,2021-01-08,JPM,C,121.0,216,1.6,1.19,-5.36,YES,1.31,1.02,1.01,0.79,1.6,1.01,26,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,1.31,1.25,,
O:JPM210108C00122000,2021-01-04,2021-01-08,JPM,C,122.0,112,1.36,0.98,-4.58,YES,1.1,0.86,0.81,0.64,1.4,0.81,40,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,1.1,1.09,,
O:JPM210108C00123000,2021-01-04,2021-01-08,JPM,C,123.0,245,1.16,0.78,-3.8,YES,0.91,0.71,0.65,0.51,1.18,0.65,103,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.91,0.92,,
O:JPM210108C00124000,2021-01-04,2021-01-08,JPM,C,124.0,1147,0.91,0.63,-3.02,YES,0.73,0.57,0.5,0.39,0.96,0.5,205,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.73,0.75,,
O:JPM210108C00125000,2021-01-04,2021-01-08,JPM,C,125.0,2022,0.76,0.46,-2.24,YES,0.59,0.46,0.39,0.3,0.79,0.39,331,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.59,0.62,,
O:JPM210108C00126000,2021-01-04,2021-01-08,JPM,C,126.0,1666,0.56,0.35,-1.45,YES,0.44,0.34,0.29,0.22,0.59,0.29,472,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.44,0.46,,
O:JPM210108C00127000,2021-01-04,2021-01-08,JPM,C,127.0,2452,0.45,0.26,-0.67,YES,0.34,0.27,0.22,0.17,0.47,0.22,687,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.34,0.37,,
O:JPM210108C00128000,2021-01-04,2021-01-08,JPM,C,128.0,13927,0.35,0.18,0.11,YES,0.25,0.2,0.14,0.11,0.36,0.14,2438,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.25,0.28,0.0434,0.4227
O:JPM210108C00129000,2021-01-04,2021-01-08,JPM,C,129.0,1042,0.27,0.12,0.89,YES,0.18,0.14,0.1,0.08,0.27,0.1,335,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.18,0.21,0.0907,0.1798
O:JPM210108C00130000,2021-01-04,2021-01-08,JPM,C,130.0,1160,0.18,0.08,1.68,YES,0.13,0.1,0.06,0.05,0.2,0.06,363,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.13,0.15,0.1229,0.1004
O:JPM210108C00131000,2021-01-04,2021-01-08,JPM,C,131.0,404,0.13,0.05,2.46,YES,0.09,0.07,0.04,0.04,0.14,0.04,112,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.09,0.11,0.1467,0.0578
O:JPM210108C00132000,2021-01-04,2021-01-08,JPM,C,132.0,622,0.1,0.03,3.24,YES,0.06,0.05,0.03,0.02,0.1,0.03,141,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.06,0.08,0.1655,0.0332
O:JPM210108C00133000,2021-01-04,2021-01-08,JPM,C,133.0,539,0.07,0.02,4.02,YES,0.04,0.03,0.02,0.01,0.07,0.02,73,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.04,0.05,0.1848,0.0209
O:JPM210108C00134000,2021-01-04,2021-01-08,JPM,C,134.0,289,0.05,0.01,4.8,YES,0.03,0.02,0.01,0.01,0.05,0.01,47,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.03,0.04,0.1946,0.0107
O:JPM210108C00135000,2021-01-04,2021-01-08,JPM,C,135.0,330,0.04,0.01,5.59,YES,0.02,0.02,0.0,0.0,0.04,0.0,75,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.02,0.03,0.2212,0.0094
O:JPM210108C00136000,2021-01-04,2021-01-08,JPM,C,136.0,60,0.03,0.0,6.37,YES,0.02,0.01,0.0,0.0,0.03,0.0,31,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.02,0.02,0.2709554574917579,0.014541976496186
O:JPM210108C00137000,2021-01-04,2021-01-08,JPM,C,137.0,5,0.02,0.0,7.15,NO,0.02,0.01,0.0,0.0,0.02,0.0,4,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.02,0.02,0.2983733726039623,0.0132402620920528
O:JPM210108C00138000,2021-01-04,2021-01-08,JPM,C,138.0,10,0.0,0.0,7.93,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.0,0.0,,
O:JPM210108C00139000,2021-01-04,2021-01-08,JPM,C,139.0,204,0.01,0.0,8.71,NO,0.01,0.0,0.0,0.0,0.01,0.0,11,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.01,0.01,0.3226643726922175,0.0065040894532869
O:JPM210108C00140000,2021-01-04,2021-01-08,JPM,C,140.0,249,0.01,0.0,9.5,NO,0.01,0.0,0.0,0.0,0.01,0.0,37,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.01,0.01,0.3469492523925697,0.0060445927364534
O:JPM210108C00160000,2021-01-04,2021-01-08,JPM,C,160.0,31,0.0,0.0,25.14,NO,0.0,0.0,0.0,0.0,0.0,0.0,4,1609736400000000000,4,Weekly,127.5,125.87,127.86,124.78,127.86,136.02,136.35,136.35,0.02,0.0,0.0,,
O:JPM210115C00085000,2021-01-11,2021-01-15,JPM,C,85.0,40,12.8,12.8,-38.49,YES,12.8,9.26,12.8,9.26,12.8,12.8,8,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,12.8,9.26,,
O:JPM210115C00090000,2021-01-11,2021-01-15,JPM,C,90.0,12,11.09,11.55,-34.88,YES,11.32,8.19,11.09,8.02,11.55,11.09,6,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,11.32,8.36,,
O:JPM210115C00095000,2021-01-11,2021-01-15,JPM,C,95.0,6,10.32,10.32,-31.26,YES,10.32,7.47,10.32,7.47,10.32,10.32,2,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,10.32,7.47,,
O:JPM210115C00100000,2021-01-11,2021-01-15,JPM,C,100.0,47,8.4,9.48,-27.64,YES,8.96,6.49,8.4,6.08,9.52,8.4,13,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,8.96,6.89,,
O:JPM210115C00105000,2021-01-11,2021-01-15,JPM,C,105.0,63,7.14,8.25,-24.02,YES,7.69,5.57,7.14,5.16,8.25,7.14,7,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,7.69,5.97,,
O:JPM210115C00110000,2021-01-11,2021-01-15,JPM,C,110.0,52,6.25,7.0,-20.41,YES,6.63,4.8,6.25,4.52,7.02,6.25,19,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,6.63,5.08,,
O:JPM210115C00111000,2021-01-11,2021-01-15,JPM,C,111.0,6,6.66,6.66,-19.68,YES,6.66,4.82,6.66,4.82,6.66,6.66,2,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,6.66,4.82,,
O:JPM210115C00115000,2021-01-11,2021-01-15,JPM,C,115.0,11,5.16,5.75,-16.79,YES,5.46,3.95,5.16,3.74,5.75,5.16,7,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,5.46,4.16,,
O:JPM210115C00116000,2021-01-11,2021-01-15,JPM,C,116.0,10,5.44,5.44,-16.06,YES,5.44,3.94,5.44,3.94,5.44,5.44,4,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,5.44,3.94,,
O:JPM210115C00118000,2021-01-11,2021-01-15,JPM,C,118.0,40,4.93,4.95,-14.62,YES,4.94,3.58,4.93,3.57,4.95,4.93,7,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,4.94,3.58,,
O:JPM210115C00120000,2021-01-11,2021-01-15,JPM,C,120.0,1093,3.54,4.46,-13.17,YES,4.01,2.9,3.54,2.56,4.49,3.54,85,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,4.01,3.25,,
O:JPM210115C00121000,2021-01-11,2021-01-15,JPM,C,121.0,100,3.94,3.94,-12.45,YES,3.94,2.85,3.94,2.85,3.94,3.94,2,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,3.94,2.85,,
O:JPM210115C00122000,2021-01-11,2021-01-15,JPM,C,122.0,106,3.69,3.58,-11.72,YES,3.63,2.63,3.57,2.58,3.69,3.57,4,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,3.63,2.67,,
O:JPM210115C00123000,2021-01-11,2021-01-15,JPM,C,123.0,25,3.34,3.75,-11.0,YES,3.53,2.55,3.3,2.39,3.75,3.3,6,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,3.53,2.71,,
O:JPM210115C00124000,2021-01-11,2021-01-15,JPM,C,124.0,12,3.06,3.5,-10.27,YES,3.28,2.37,3.06,2.22,3.5,3.06,7,1610341200000000000,4,Weekly,134.58,138.05,138.2,134.11,138.2,138.64,141.65,141.65,0.02,3.28,2.53,,
