ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:JPM170217C00072500,2017-01-17,2017-02-17,JPM,C,72.5,4.0,12.29,12.25,-13.23,YES,12.25,16.9,12.29,16.95,12.29,12.25,2.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00075000,2017-01-17,2017-02-17,JPM,C,75.0,9.0,9.66,8.7,-10.23,YES,8.7,11.6,9.66,12.88,9.8,8.7,5.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00077500,2017-01-17,2017-02-17,JPM,C,77.5,8.0,7.06,6.45,-7.24,YES,6.45,8.32,7.06,9.11,7.06,6.45,5.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00080000,2017-01-17,2017-02-17,JPM,C,80.0,204.0,5.55,4.45,-4.25,YES,4.45,5.56,5.55,6.94,5.7,4.27,31.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00082500,2017-01-17,2017-02-17,JPM,C,82.5,683.0,3.55,2.55,-1.26,YES,2.55,3.09,3.55,4.3,3.6,2.53,84.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00085000,2017-01-17,2017-02-17,JPM,C,85.0,4012.0,1.87,1.35,1.74,NO,1.35,1.59,1.87,2.2,2.14,1.28,492.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00087500,2017-01-17,2017-02-17,JPM,C,87.5,3215.0,0.93,0.65,4.73,NO,0.65,0.74,0.93,1.06,1.88,0.57,477.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00090000,2017-01-17,2017-02-17,JPM,C,90.0,1596.0,0.32,0.23,7.72,NO,0.23,0.26,0.32,0.36,1.28,0.19,294.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00092500,2017-01-17,2017-02-17,JPM,C,92.5,409.0,0.2,0.08,10.71,NO,0.08,0.09,0.2,0.22,0.25,0.08,39.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00095000,2017-01-17,2017-02-17,JPM,C,95.0,38.0,0.12,0.05,13.7,NO,0.05,0.05,0.12,0.13,0.12,0.05,8.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
O:JPM170217C00100000,2017-01-17,2017-02-17,JPM,C,100.0,129.0,0.02,0.02,19.69,NO,0.02,0.02,0.02,0.02,0.02,0.02,1.0,1484629200000000000,31.0,Monthly,84.93,83.55,85.22,83.28,83.55,83.55,85.22,83.55
