ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:JPM160108C00061000,2016-01-04,2016-01-08,JPM,C,61.0,10.0,2.6,2.34,,NO,2.47,,2.34,,2.6,2.34,6.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,2.47,
O:JPM160108C00061500,2016-01-04,2016-01-08,JPM,C,61.5,30.0,2.28,2.26,,NO,2.135,,1.99,,2.28,1.99,7.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,2.135,
O:JPM160108C00062000,2016-01-04,2016-01-08,JPM,C,62.0,420.0,2.02,1.5,,NO,1.76,,1.5,,2.02,1.5,27.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,1.76,
O:JPM160108C00062500,2016-01-04,2016-01-08,JPM,C,62.5,152.0,1.4,1.33,,NO,1.505,,1.3,,1.71,1.3,15.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,1.505,
O:JPM160108C00063000,2016-01-04,2016-01-08,JPM,C,63.0,671.0,1.13,1.2,,NO,1.095,,0.86,,1.33,0.86,72.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,1.095,
O:JPM160108C00063500,2016-01-04,2016-01-08,JPM,C,63.5,2010.0,0.82,0.87,,NO,0.835,,0.62,,1.05,0.62,98.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.835,
O:JPM160108C00064000,2016-01-04,2016-01-08,JPM,C,64.0,3105.0,0.76,0.63,,NO,0.5700000000000001,,0.37,,0.77,0.37,158.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.5700000000000001,
O:JPM160108C00064500,2016-01-04,2016-01-08,JPM,C,64.5,1459.0,0.58,0.37,,NO,0.425,,0.27,,0.58,0.27,105.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.425,
O:JPM160108C00065000,2016-01-04,2016-01-08,JPM,C,65.0,1448.0,0.32,0.23,,NO,0.26,,0.17,,0.35,0.17,99.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.26,
O:JPM160108C00065500,2016-01-04,2016-01-08,JPM,C,65.5,189.0,0.22,0.16,,NO,0.175,,0.13,,0.22,0.13,34.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.175,
O:JPM160108C00066000,2016-01-04,2016-01-08,JPM,C,66.0,5455.0,0.15,0.09,,NO,0.1,,0.05,,0.15,0.05,47.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.1,
O:JPM160108C00066500,2016-01-04,2016-01-08,JPM,C,66.5,255.0,0.07,0.06,,NO,0.055,,0.03,,0.08,0.03,17.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.055,
O:JPM160108C00067000,2016-01-04,2016-01-08,JPM,C,67.0,111.0,0.05,0.01,,NO,0.03,,0.01,,0.05,0.01,11.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.03,
O:JPM160108C00067500,2016-01-04,2016-01-08,JPM,C,67.5,152.0,0.04,0.01,,NO,0.025,,0.01,,0.04,0.01,21.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.025,
O:JPM160108C00068000,2016-01-04,2016-01-08,JPM,C,68.0,135.0,0.01,0.01,,NO,0.02,,0.01,,0.03,0.01,12.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.02,
O:JPM160108C00068500,2016-01-04,2016-01-08,JPM,C,68.5,119.0,0.02,0.02,,NO,0.02,,0.02,,0.02,0.02,39.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.02,
O:JPM160108C00071000,2016-01-04,2016-01-08,JPM,C,71.0,2.0,0.01,0.01,,NO,0.01,,0.01,,0.01,0.01,1.0,1451883600000000000,4.0,Weekly,,,,,,58.92,61.27,61.27,0.0034,,,0.01,
O:JPM160129C00054000,2016-01-25,2016-01-29,JPM,C,54.0,56.0,2.19,2.15,-2.98,YES,2.17,3.82,2.15,3.78,2.19,2.15,3.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.4935,0.7126,2.17,3.85
O:JPM160129C00054500,2016-01-25,2016-01-29,JPM,C,54.5,110.0,2.07,2.4,-2.08,YES,2.2249999999999996,3.91,2.05,3.61,2.4,2.05,3.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.7646,0.5885,2.2249999999999996,4.22
O:JPM160129C00055000,2016-01-25,2016-01-29,JPM,C,55.0,40.0,1.65,1.6,-1.19,YES,1.625,2.86,1.6,2.81,1.65,1.6,5.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.5371,0.5733,1.625,2.9
O:JPM160129C00055500,2016-01-25,2016-01-29,JPM,C,55.5,224.0,1.27,0.96,-0.29,YES,1.275,2.24,0.95,1.67,1.6,0.95,16.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3777,0.5215,1.275,2.81
O:JPM160129C00056000,2016-01-25,2016-01-29,JPM,C,56.0,549.0,0.98,0.71,0.61,YES,0.935,1.64,0.71,1.25,1.16,0.71,47.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3725,0.4307,0.935,2.04
O:JPM160129C00056500,2016-01-25,2016-01-29,JPM,C,56.5,644.0,0.95,0.49,1.51,YES,0.705,1.24,0.46,0.81,0.95,0.46,32.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3602,0.339,0.705,1.67
O:JPM160129C00057000,2016-01-25,2016-01-29,JPM,C,57.0,802.0,0.9,0.32,2.41,YES,0.605,1.06,0.31,0.55,0.9,0.31,72.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3492,0.2521,0.605,1.58
O:JPM160129C00057500,2016-01-25,2016-01-29,JPM,C,57.5,349.0,0.43,0.2,3.31,YES,0.325,0.57,0.2,0.35,0.45,0.2,32.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3416,0.1771,0.325,0.79
O:JPM160129C00058000,2016-01-25,2016-01-29,JPM,C,58.0,902.0,0.35,0.13,4.2,YES,0.24,0.42,0.13,0.23,0.35,0.13,72.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3448,0.1234,0.24,0.62
O:JPM160129C00058500,2016-01-25,2016-01-29,JPM,C,58.5,43.0,0.13,0.15,5.1,YES,0.12,0.21,0.09,0.16,0.15,0.09,7.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.4104,0.1192,0.12,0.26
O:JPM160129C00059000,2016-01-25,2016-01-29,JPM,C,59.0,91.0,0.11,0.04,6.0,YES,0.075,0.13,0.04,0.07,0.11,0.04,13.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3343,0.0463,0.075,0.19
O:JPM160129C00059500,2016-01-25,2016-01-29,JPM,C,59.5,420.0,0.04,0.01,6.9,YES,0.025,0.04,0.01,0.02,0.04,0.01,16.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.2961,0.0151,0.025,0.07
O:JPM160129C00060000,2016-01-25,2016-01-29,JPM,C,60.0,219.0,0.1,0.01,7.8,NO,0.055,0.1,0.01,0.02,0.1,0.01,8.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.3275,0.0137,0.055,0.18
O:JPM160129C00061000,2016-01-25,2016-01-29,JPM,C,61.0,14.0,0.03,0.02,9.59,NO,0.025,0.04,0.02,0.04,0.03,0.02,2.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.429,0.0196,0.025,0.05
O:JPM160129C00067500,2016-01-25,2016-01-29,JPM,C,67.5,2.0,0.08,0.08,21.27,NO,0.08,0.14,0.08,0.14,0.08,0.08,1.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,0.9951,0.0285,0.08,0.14
O:JPM160129C00068000,2016-01-25,2016-01-29,JPM,C,68.0,9.0,1.04,0.52,22.17,NO,0.525,0.92,0.01,0.02,1.04,0.01,3.0,1453698000000000000,4.0,Weekly,56.48,55.66,56.85,55.6,56.85,59.5,59.54,59.54,0.0034,1.5491,0.0941,0.525,1.83
O:JPM160205C00054000,2016-02-01,2016-02-05,JPM,C,54.0,4.0,4.78,4.96,-8.26,YES,4.875,8.17,4.78,8.01,4.97,4.78,3.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.5527,0.928,4.875,8.33
O:JPM160205C00054500,2016-02-01,2016-02-05,JPM,C,54.5,52.0,5.0,4.36,-7.41,YES,4.68,7.85,4.36,7.31,5.0,4.36,3.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.0,,4.68,8.38
O:JPM160205C00055000,2016-02-01,2016-02-05,JPM,C,55.0,1.0,4.7,4.7,-6.56,YES,4.7,7.88,4.7,7.88,4.7,4.7,1.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.9529,0.7358,4.7,7.88
O:JPM160205C00055500,2016-02-01,2016-02-05,JPM,C,55.5,3.0,3.75,3.34,-5.71,YES,3.61,6.05,3.34,5.6,3.88,3.34,3.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.0,,3.61,6.5
O:JPM160205C00056000,2016-02-01,2016-02-05,JPM,C,56.0,17.0,2.95,2.75,-4.86,YES,2.885,4.84,2.75,4.61,3.02,2.75,5.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,,,2.885,5.06
O:JPM160205C00057000,2016-02-01,2016-02-05,JPM,C,57.0,45.0,2.58,2.5,-3.16,YES,2.54,4.26,2.5,4.19,2.58,2.5,9.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.5674,0.6955,2.54,4.33
O:JPM160205C00057500,2016-02-01,2016-02-05,JPM,C,57.5,32.0,1.52,1.44,-2.31,YES,1.495,2.51,1.44,2.41,1.55,1.44,3.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.1977,0.8689,1.495,2.6
O:JPM160205C00058000,2016-02-01,2016-02-05,JPM,C,58.0,534.0,1.74,1.32,-1.46,NO,1.495,2.51,1.09,1.83,1.9,1.09,26.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.335,0.6567,1.495,3.19
O:JPM160205C00058500,2016-02-01,2016-02-05,JPM,C,58.5,435.0,1.5,1.11,-0.61,NO,1.15,1.93,0.8,1.34,1.5,0.8,41.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.3744,0.5549,1.15,2.51
O:JPM160205C00059000,2016-02-01,2016-02-05,JPM,C,59.0,732.0,1.12,0.7,0.24,NO,0.855,1.43,0.59,0.99,1.12,0.59,53.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.3116,0.465,0.855,1.88
O:JPM160205C00059500,2016-02-01,2016-02-05,JPM,C,59.5,461.0,0.79,0.49,1.09,NO,0.595,1.0,0.4,0.67,0.79,0.4,68.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.3103,0.364,0.595,1.32
O:JPM160205C00060000,2016-02-01,2016-02-05,JPM,C,60.0,5695.0,0.52,0.28,1.94,NO,0.38,0.64,0.24,0.4,0.52,0.24,326.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.2853,0.256,0.38,0.87
O:JPM160205C00060500,2016-02-01,2016-02-05,JPM,C,60.5,65.0,0.31,0.18,2.79,NO,0.24,0.4,0.16,0.27,0.32,0.16,15.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.2896,0.1787,0.24,0.54
O:JPM160205C00061000,2016-02-01,2016-02-05,JPM,C,61.0,142.0,0.2,0.11,3.64,NO,0.15,0.25,0.1,0.17,0.2,0.1,6.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.2921,0.1186,0.15,0.34
O:JPM160205C00061500,2016-02-01,2016-02-05,JPM,C,61.5,38.0,0.12,0.1,4.49,NO,0.11,0.18,0.1,0.17,0.12,0.1,2.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.3291,0.0986,0.11,0.2
O:JPM160205C00062000,2016-02-01,2016-02-05,JPM,C,62.0,170.0,0.03,0.03,5.33,NO,0.03,0.05,0.03,0.05,0.03,0.03,1.0,1454302800000000000,4.0,Weekly,59.16,58.86,59.65,58.44,59.65,57.75,59.14,59.14,0.0038,0.2853,0.0397,0.03,0.05
