ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:JPM190111C00090000,2019-01-07,2019-01-11,JPM,C,90.0,6,10.35,11.2,-10.68,NO,11.2,12.44,10.35,11.5,11.2,10.0,5,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00091000,2019-01-07,2019-01-11,JPM,C,91.0,9,9.65,9.65,-9.69,NO,9.65,10.6,9.65,10.6,9.65,9.65,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00093000,2019-01-07,2019-01-11,JPM,C,93.0,7,7.2,8.1,-7.7,NO,8.1,8.71,7.2,7.74,8.1,7.2,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00094000,2019-01-07,2019-01-11,JPM,C,94.0,49,6.1,6.1,-6.71,NO,6.1,6.49,6.1,6.49,6.1,6.1,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00095000,2019-01-07,2019-01-11,JPM,C,95.0,48,6.45,6.06,-5.72,NO,6.06,6.38,6.45,6.79,6.45,6.06,2,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00096500,2019-01-07,2019-01-11,JPM,C,96.5,7,4.26,4.65,-4.23,NO,4.65,4.82,4.26,4.41,4.65,4.05,7,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00097000,2019-01-07,2019-01-11,JPM,C,97.0,29,3.49,4.21,-3.73,NO,4.21,4.34,3.49,3.6,4.45,3.49,4,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00097500,2019-01-07,2019-01-11,JPM,C,97.5,5,3.4,3.25,-3.24,NO,3.25,3.33,3.4,3.49,3.7,3.25,5,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00098000,2019-01-07,2019-01-11,JPM,C,98.0,11,3.2,3.4,-2.74,NO,3.4,3.47,3.2,3.27,3.4,3.2,5,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00098500,2019-01-07,2019-01-11,JPM,C,98.5,42,2.86,2.91,-2.24,NO,2.91,2.95,2.86,2.9,3.18,2.5,14,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00099000,2019-01-07,2019-01-11,JPM,C,99.0,76,2.28,2.46,-1.75,NO,2.46,2.48,2.28,2.3,2.89,2.07,10,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00099500,2019-01-07,2019-01-11,JPM,C,99.5,95,2.08,2.06,-1.25,NO,2.06,2.07,2.08,2.09,2.5,1.83,17,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00100000,2019-01-07,2019-01-11,JPM,C,100.0,622,1.4,1.76,-0.75,NO,1.76,1.76,1.4,1.4,2.16,1.37,114,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00101000,2019-01-07,2019-01-11,JPM,C,101.0,1288,1.35,1.11,0.24,NO,1.11,1.1,1.35,1.34,1.49,0.95,143,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00102000,2019-01-07,2019-01-11,JPM,C,102.0,583,0.9,0.69,1.23,NO,0.69,0.68,0.9,0.88,0.95,0.56,114,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00103000,2019-01-07,2019-01-11,JPM,C,103.0,1225,0.42,0.37,2.22,NO,0.37,0.36,0.42,0.41,0.57,0.32,110,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00104000,2019-01-07,2019-01-11,JPM,C,104.0,1080,0.19,0.19,3.22,NO,0.19,0.18,0.19,0.18,0.29,0.16,72,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00105000,2019-01-07,2019-01-11,JPM,C,105.0,300,0.1,0.08,4.21,NO,0.08,0.08,0.1,0.1,0.14,0.08,28,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00106000,2019-01-07,2019-01-11,JPM,C,106.0,421,0.04,0.04,5.2,NO,0.04,0.04,0.04,0.04,0.07,0.03,90,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00107000,2019-01-07,2019-01-11,JPM,C,107.0,317,0.01,0.01,6.19,NO,0.01,0.01,0.01,0.01,0.02,0.01,10,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00108000,2019-01-07,2019-01-11,JPM,C,108.0,98,0.01,0.01,7.19,NO,0.01,0.01,0.01,0.01,0.01,0.01,7,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190111C00112000,2019-01-07,2019-01-11,JPM,C,112.0,1,0.01,0.01,11.16,NO,0.01,0.01,0.01,0.01,0.01,0.01,1,1546837200000000000,4,Weekly,100.43,100.76,101.47,99.7103,100.76,100.76,101.47,100.76
O:JPM190201C00090000,2019-01-28,2019-02-01,JPM,C,90.0,10,14.16,14.16,-13.36,NO,14.16,15.73,14.16,15.73,14.16,14.16,1,1548651600000000000,4,Weekly,102.89,103.88,104.24,102.59,103.88,103.88,104.24,103.88
O:JPM190201C00091500,2019-01-28,2019-02-01,JPM,C,91.5,3,11.45,11.45,-11.92,NO,11.45,12.51,11.45,12.51,11.45,11.45,1,1548651600000000000,4,Weekly,102.89,103.88,104.24,102.59,103.88,103.88,104.24,103.88
O:JPM190201C00092000,2019-01-28,2019-02-01,JPM,C,92.0,12,10.95,10.95,-11.44,NO,10.95,11.9,10.95,11.9,10.95,10.95,3,1548651600000000000,4,Weekly,102.89,103.88,104.24,102.59,103.88,103.88,104.24,103.88
O:JPM190201C00093000,2019-01-28,2019-02-01,JPM,C,93.0,2,9.95,9.95,-10.47,NO,9.95,10.7,9.95,10.7,9.95,9.95,2,1548651600000000000,4,Weekly,102.89,103.88,104.24,102.59,103.88,103.88,104.24,103.88
