ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:KO190111C00044500,2019-01-07,2019-01-11,KO,C,2.97,1,0.64,0.64,0.64,0.64,1,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00045000,2019-01-07,2019-01-11,KO,C,3.0,1,0.66,0.66,0.66,0.66,1,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00046000,2019-01-07,2019-01-11,KO,C,3.07,12,0.41,0.28,0.41,0.27,9,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00046500,2019-01-07,2019-01-11,KO,C,3.1,51,0.3,0.19,0.3,0.19,7,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00047000,2019-01-07,2019-01-11,KO,C,3.13,660,0.22,0.1,0.22,0.1,22,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00047500,2019-01-07,2019-01-11,KO,C,3.17,268,0.14,0.05,0.14,0.04,47,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00048000,2019-01-07,2019-01-11,KO,C,3.2,226,0.06,0.02,0.06,0.02,55,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00048500,2019-01-07,2019-01-11,KO,C,3.23,48,0.04,0.01,0.04,0.01,20,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00049000,2019-01-07,2019-01-11,KO,C,3.27,7,0.02,0.0,0.02,0.0,2,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00050000,2019-01-07,2019-01-11,KO,C,3.33,1,0.0,0.0,0.0,0.0,1,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190111C00052000,2019-01-07,2019-01-11,KO,C,3.47,1,0.0,0.0,0.0,0.0,1,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KODK190111C00003000,2019-01-07,2019-01-11,KODK,C,0.2,2,0.01,0.02,0.02,0.01,2,1546837200000000000,4,47.57,46.95,47.75,46.9,47.75,47.34,47.36,47.36
O:KO190118C00035000,2019-01-14,2019-01-18,KO,C,2.33,3,3.09,3.09,3.09,3.09,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00040000,2019-01-14,2019-01-18,KO,C,2.67,69,1.79,1.78,1.84,1.75,17,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00043000,2019-01-14,2019-01-18,KO,C,2.87,10,1.09,1.09,1.09,1.09,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00043500,2019-01-14,2019-01-18,KO,C,2.9,1,0.96,0.96,0.96,0.96,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00044500,2019-01-14,2019-01-18,KO,C,2.97,8,0.67,0.67,0.67,0.67,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00045000,2019-01-14,2019-01-18,KO,C,3.0,121,0.6,0.56,0.6,0.52,19,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00046000,2019-01-14,2019-01-18,KO,C,3.07,115,0.36,0.3,0.36,0.28,24,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00046500,2019-01-14,2019-01-18,KO,C,3.1,70,0.23,0.2,0.23,0.2,6,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00047000,2019-01-14,2019-01-18,KO,C,3.13,2480,0.15,0.1,0.15,0.08,119,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00047500,2019-01-14,2019-01-18,KO,C,3.17,387,0.07,0.04,0.08,0.04,56,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00048000,2019-01-14,2019-01-18,KO,C,3.2,452,0.03,0.01,0.03,0.01,44,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00048500,2019-01-14,2019-01-18,KO,C,3.23,18,0.01,0.0,0.01,0.0,8,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00049000,2019-01-14,2019-01-18,KO,C,3.27,30,0.0,0.0,0.0,0.0,6,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00050000,2019-01-14,2019-01-18,KO,C,3.33,31,0.0,0.0,0.0,0.0,5,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00051000,2019-01-14,2019-01-18,KO,C,3.4,1,0.0,0.0,0.0,0.0,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190118C00052500,2019-01-14,2019-01-18,KO,C,3.5,133,0.0,0.0,0.0,0.0,2,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KODK190118C00003000,2019-01-14,2019-01-18,KODK,C,0.2,1,0.04,0.04,0.04,0.04,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KODK190118C00003500,2019-01-14,2019-01-18,KODK,C,0.23,1,0.01,0.01,0.01,0.01,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00015000,2019-01-14,2019-01-18,KOLD,C,1.0,2,0.24,0.24,0.24,0.24,2,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00016000,2019-01-14,2019-01-18,KOLD,C,1.07,4,0.18,0.18,0.18,0.18,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00017000,2019-01-14,2019-01-18,KOLD,C,1.13,208,0.22,0.09,0.22,0.06,12,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00018000,2019-01-14,2019-01-18,KOLD,C,1.2,19,0.1,0.05,0.1,0.05,4,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00019000,2019-01-14,2019-01-18,KOLD,C,1.27,1,0.05,0.05,0.05,0.05,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00021000,2019-01-14,2019-01-18,KOLD,C,1.4,2,0.02,0.02,0.02,0.02,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KOLD190118C00023000,2019-01-14,2019-01-18,KOLD,C,1.53,2,0.02,0.02,0.02,0.02,1,1547442000000000000,4,47.25,47.15,47.4,46.99,47.4,47.61,47.69,47.69
O:KO190201C00043000,2019-01-28,2019-02-01,KO,C,2.87,2,1.02,1.02,1.02,1.02,1,1548651600000000000,4,47.22,47.17,47.3,46.94,47.3,48.7,48.78,48.78
