ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:KO160219C00039000,2016-01-19,2016-02-19,KO,C,390.0,69,3.2,3.06,3.35,3.0,15,1453179600000000000,31,Monthly
O:KO160219C00040000,2016-01-19,2016-02-19,KO,C,400.0,65,2.34,2.3,2.47,2.17,26,1453179600000000000,31,Monthly
O:KO160219C00040500,2016-01-19,2016-02-19,KO,C,405.0,5,1.9,1.9,1.9,1.9,1,1453179600000000000,31,Monthly
O:KO160219C00041000,2016-01-19,2016-02-19,KO,C,410.0,15,1.5,1.6,1.6,1.5,5,1453179600000000000,31,Monthly
O:KO160219C00042000,2016-01-19,2016-02-19,KO,C,420.0,406,0.78,0.87,1.02,0.78,38,1453179600000000000,31,Monthly
O:KO160219C00042500,2016-01-19,2016-02-19,KO,C,425.0,373,0.7,0.65,0.76,0.58,21,1453179600000000000,31,Monthly
O:KO160219C00043000,2016-01-19,2016-02-19,KO,C,430.0,1785,0.41,0.47,0.55,0.4,163,1453179600000000000,31,Monthly
O:KO160219C00043500,2016-01-19,2016-02-19,KO,C,435.0,121,0.29,0.33,0.33,0.27,23,1453179600000000000,31,Monthly
O:KO160219C00044000,2016-01-19,2016-02-19,KO,C,440.0,220,0.18,0.21,0.22,0.17,42,1453179600000000000,31,Monthly
O:KO160219C00044500,2016-01-19,2016-02-19,KO,C,445.0,7,0.12,0.12,0.12,0.12,1,1453179600000000000,31,Monthly
O:KO160219C00045000,2016-01-19,2016-02-19,KO,C,450.0,110,0.11,0.07,0.11,0.07,5,1453179600000000000,31,Monthly
O:KO160219C00046000,2016-01-19,2016-02-19,KO,C,460.0,13,0.05,0.03,0.05,0.02,5,1453179600000000000,31,Monthly
O:KO160219P00031000,2016-01-19,2016-02-19,KO,P,310.0,20,0.03,0.03,0.03,0.03,2,1453179600000000000,31,Monthly
O:KO160219P00035000,2016-01-19,2016-02-19,KO,P,350.0,1,0.05,0.05,0.05,0.05,1,1453179600000000000,31,Monthly
O:KO160219P00038000,2016-01-19,2016-02-19,KO,P,380.0,4000,0.2,0.17,0.2,0.17,2,1453179600000000000,31,Monthly
O:KO160219P00039000,2016-01-19,2016-02-19,KO,P,390.0,6,0.25,0.21,0.25,0.21,5,1453179600000000000,31,Monthly
O:KO160219P00040000,2016-01-19,2016-02-19,KO,P,400.0,2509,0.35,0.42,0.42,0.35,22,1453179600000000000,31,Monthly
O:KO160219P00040500,2016-01-19,2016-02-19,KO,P,405.0,8,0.49,0.52,0.52,0.49,3,1453179600000000000,31,Monthly
O:KO160219P00041000,2016-01-19,2016-02-19,KO,P,410.0,174,0.6,0.67,0.68,0.6,23,1453179600000000000,31,Monthly
O:KO160219P00041500,2016-01-19,2016-02-19,KO,P,415.0,27,0.85,0.75,0.85,0.75,7,1453179600000000000,31,Monthly
O:KO160219P00042000,2016-01-19,2016-02-19,KO,P,420.0,24,1.12,0.99,1.12,0.98,4,1453179600000000000,31,Monthly
O:KO160219P00043000,2016-01-19,2016-02-19,KO,P,430.0,83,1.72,1.61,1.72,1.45,28,1453179600000000000,31,Monthly
O:KO160219P00044000,2016-01-19,2016-02-19,KO,P,440.0,2,2.1,2.1,2.1,2.1,1,1453179600000000000,31,Monthly
O:KO160219P00045500,2016-01-19,2016-02-19,KO,P,455.0,3,3.76,3.76,3.76,3.76,1,1453179600000000000,31,Monthly
O:KO160219C00035000,2016-01-20,2016-02-19,KO,C,350.0,10,6.35,6.35,6.35,6.35,1,1453266000000000000,30,Monthly
O:KO160219C00037000,2016-01-20,2016-02-19,KO,C,370.0,1,4.1,4.1,4.1,4.1,1,1453266000000000000,30,Monthly
O:KO160219C00039000,2016-01-20,2016-02-19,KO,C,390.0,106,2.8,2.66,2.8,2.44,33,1453266000000000000,30,Monthly
O:KO160219C00040000,2016-01-20,2016-02-19,KO,C,400.0,669,2.04,2.0,2.19,1.69,11,1453266000000000000,30,Monthly
O:KO160219C00040500,2016-01-20,2016-02-19,KO,C,405.0,140,1.3,1.66,1.66,1.3,2,1453266000000000000,30,Monthly
O:KO160219C00041000,2016-01-20,2016-02-19,KO,C,410.0,743,1.22,1.32,1.32,1.0,40,1453266000000000000,30,Monthly
O:KO160219C00041500,2016-01-20,2016-02-19,KO,C,415.0,369,0.98,1.06,1.06,0.74,48,1453266000000000000,30,Monthly
O:KO160219C00042000,2016-01-20,2016-02-19,KO,C,420.0,14026,0.79,0.76,0.79,0.55,22,1453266000000000000,30,Monthly
O:KO160219C00042500,2016-01-20,2016-02-19,KO,C,425.0,118,0.49,0.43,0.49,0.4,13,1453266000000000000,30,Monthly
O:KO160219C00043000,2016-01-20,2016-02-19,KO,C,430.0,912,0.28,0.35,0.38,0.25,39,1453266000000000000,30,Monthly
O:KO160219C00043500,2016-01-20,2016-02-19,KO,C,435.0,18,0.21,0.26,0.26,0.18,3,1453266000000000000,30,Monthly
O:KO160219C00044000,2016-01-20,2016-02-19,KO,C,440.0,4438,0.15,0.16,0.16,0.1,59,1453266000000000000,30,Monthly
O:KO160219C00045000,2016-01-20,2016-02-19,KO,C,450.0,1135,0.05,0.06,0.09,0.05,16,1453266000000000000,30,Monthly
O:KO160219P00036000,2016-01-20,2016-02-19,KO,P,360.0,10,0.15,0.15,0.15,0.15,1,1453266000000000000,30,Monthly
O:KO160219P00037000,2016-01-20,2016-02-19,KO,P,370.0,102,0.18,0.17,0.21,0.17,8,1453266000000000000,30,Monthly
O:KO160219P00038000,2016-01-20,2016-02-19,KO,P,380.0,1093,0.24,0.3,0.32,0.24,11,1453266000000000000,30,Monthly
O:KO160219P00038500,2016-01-20,2016-02-19,KO,P,385.0,883,0.33,0.32,0.33,0.32,43,1453266000000000000,30,Monthly
O:KO160219P00039000,2016-01-20,2016-02-19,KO,P,390.0,491,0.29,0.42,0.46,0.29,37,1453266000000000000,30,Monthly
O:KO160219P00039500,2016-01-20,2016-02-19,KO,P,395.0,11,0.55,0.56,0.56,0.55,2,1453266000000000000,30,Monthly
O:KO160219P00040000,2016-01-20,2016-02-19,KO,P,400.0,1204,0.6,0.53,0.7,0.48,25,1453266000000000000,30,Monthly
O:KO160219P00040500,2016-01-20,2016-02-19,KO,P,405.0,15,0.59,0.7,0.75,0.59,6,1453266000000000000,30,Monthly
O:KO160219P00041000,2016-01-20,2016-02-19,KO,P,410.0,422,0.8,0.82,1.15,0.75,44,1453266000000000000,30,Monthly
O:KO160219P00041500,2016-01-20,2016-02-19,KO,P,415.0,3,1.04,1.05,1.05,1.0,3,1453266000000000000,30,Monthly
O:KO160219P00042000,2016-01-20,2016-02-19,KO,P,420.0,130,1.2,1.48,1.76,1.19,17,1453266000000000000,30,Monthly
O:KO160219P00043000,2016-01-20,2016-02-19,KO,P,430.0,13,1.9,2.21,2.21,1.81,6,1453266000000000000,30,Monthly
O:KO160219P00044000,2016-01-20,2016-02-19,KO,P,440.0,2,2.9,2.9,2.9,2.9,1,1453266000000000000,30,Monthly
O:KO160219P00045500,2016-01-20,2016-02-19,KO,P,455.0,3,4.07,4.07,4.07,4.07,1,1453266000000000000,30,Monthly
O:KO160219C00039000,2016-01-21,2016-02-19,KO,C,390.0,10,2.77,2.77,2.77,2.77,2,1453352400000000000,29,Monthly
O:KO160219C00040000,2016-01-21,2016-02-19,KO,C,400.0,64,1.89,2.0,2.0,1.89,6,1453352400000000000,29,Monthly
O:KO160219C00041000,2016-01-21,2016-02-19,KO,C,410.0,611,1.25,1.25,1.28,1.18,8,1453352400000000000,29,Monthly
O:KO160219C00041500,2016-01-21,2016-02-19,KO,C,415.0,8,0.97,0.86,0.97,0.83,3,1453352400000000000,29,Monthly
O:KO160219C00042000,2016-01-21,2016-02-19,KO,C,420.0,139,0.74,0.72,0.74,0.62,17,1453352400000000000,29,Monthly
O:KO160219C00042500,2016-01-21,2016-02-19,KO,C,425.0,142,0.51,0.49,0.53,0.44,15,1453352400000000000,29,Monthly
O:KO160219C00043000,2016-01-21,2016-02-19,KO,C,430.0,488,0.31,0.33,0.35,0.3,27,1453352400000000000,29,Monthly
O:KO160219C00043500,2016-01-21,2016-02-19,KO,C,435.0,121,0.22,0.18,0.22,0.18,6,1453352400000000000,29,Monthly
O:KO160219C00044000,2016-01-21,2016-02-19,KO,C,440.0,28,0.13,0.12,0.15,0.09,7,1453352400000000000,29,Monthly
O:KO160219C00045000,2016-01-21,2016-02-19,KO,C,450.0,1188,0.08,0.06,0.08,0.05,26,1453352400000000000,29,Monthly
O:KO160219C00046000,2016-01-21,2016-02-19,KO,C,460.0,29,0.01,0.02,0.04,0.01,3,1453352400000000000,29,Monthly
O:KO160219P00031000,2016-01-21,2016-02-19,KO,P,310.0,150,0.03,0.03,0.03,0.03,2,1453352400000000000,29,Monthly
O:KO160219P00037000,2016-01-21,2016-02-19,KO,P,370.0,1,0.15,0.15,0.15,0.15,1,1453352400000000000,29,Monthly
O:KO160219P00038000,2016-01-21,2016-02-19,KO,P,380.0,3,0.23,0.22,0.23,0.22,3,1453352400000000000,29,Monthly
O:KO160219P00039000,2016-01-21,2016-02-19,KO,P,390.0,85,0.37,0.36,0.37,0.31,16,1453352400000000000,29,Monthly
O:KO160219P00039500,2016-01-21,2016-02-19,KO,P,395.0,2,0.45,0.45,0.45,0.45,1,1453352400000000000,29,Monthly
O:KO160219P00040000,2016-01-21,2016-02-19,KO,P,400.0,23,0.59,0.53,0.59,0.49,8,1453352400000000000,29,Monthly
O:KO160219P00040500,2016-01-21,2016-02-19,KO,P,405.0,4,0.64,0.66,0.66,0.64,2,1453352400000000000,29,Monthly
O:KO160219P00041000,2016-01-21,2016-02-19,KO,P,410.0,95,0.75,0.78,0.94,0.75,32,1453352400000000000,29,Monthly
O:KO160219P00041500,2016-01-21,2016-02-19,KO,P,415.0,13,0.99,1.04,1.04,0.99,3,1453352400000000000,29,Monthly
O:KO160219P00042000,2016-01-21,2016-02-19,KO,P,420.0,1,1.3,1.3,1.3,1.3,1,1453352400000000000,29,Monthly
O:KO160219P00043000,2016-01-21,2016-02-19,KO,P,430.0,10,1.89,1.98,1.98,1.87,5,1453352400000000000,29,Monthly
O:KO160219P00044000,2016-01-21,2016-02-19,KO,P,440.0,10,2.75,2.75,2.75,2.75,2,1453352400000000000,29,Monthly
O:KO160219C00039000,2016-01-22,2016-02-19,KO,C,390.0,19,3.0,3.4,3.4,3.0,7,1453438800000000000,28,Monthly
O:KO160219C00040000,2016-01-22,2016-02-19,KO,C,400.0,8,1.96,2.44,2.44,1.96,5,1453438800000000000,28,Monthly
O:KO160219C00041000,2016-01-22,2016-02-19,KO,C,410.0,32,1.3,1.62,1.62,1.3,9,1453438800000000000,28,Monthly
O:KO160219C00041500,2016-01-22,2016-02-19,KO,C,415.0,15,1.3,1.3,1.3,1.3,3,1453438800000000000,28,Monthly
O:KO160219C00042000,2016-01-22,2016-02-19,KO,C,420.0,624,0.72,0.99,0.99,0.72,39,1453438800000000000,28,Monthly
O:KO160219C00042500,2016-01-22,2016-02-19,KO,C,425.0,75,0.61,0.7,0.72,0.61,11,1453438800000000000,28,Monthly
O:KO160219C00043000,2016-01-22,2016-02-19,KO,C,430.0,203,0.36,0.46,0.5,0.36,32,1453438800000000000,28,Monthly
O:KO160219C00043500,2016-01-22,2016-02-19,KO,C,435.0,61,0.24,0.31,0.32,0.24,7,1453438800000000000,28,Monthly
O:KO160219C00044000,2016-01-22,2016-02-19,KO,C,440.0,1448,0.18,0.19,0.21,0.18,18,1453438800000000000,28,Monthly
O:KO160219C00045000,2016-01-22,2016-02-19,KO,C,450.0,373,0.06,0.07,0.07,0.06,9,1453438800000000000,28,Monthly
O:KO160219C00045500,2016-01-22,2016-02-19,KO,C,455.0,8,0.04,0.04,0.04,0.04,1,1453438800000000000,28,Monthly
