ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,fedfunds_rate
O:LQD170217C00118000,2017-01-17,2017-02-17,LQD,C,1180.0,4.0,1.0,0.94,1.0,0.94,3.0,1484629200000000000,31.0,Monthly,0.0065
O:LQD170217C00119000,2017-01-17,2017-02-17,LQD,C,1190.0,49.0,0.5,0.46,0.5,0.46,2.0,1484629200000000000,31.0,Monthly,0.0065
O:LQD170217P00119000,2017-01-17,2017-02-17,LQD,P,1190.0,2.0,1.31,1.31,1.31,1.31,2.0,1484629200000000000,31.0,Monthly,0.0065
O:LQD170217C00118000,2017-01-18,2017-02-17,LQD,C,1180.0,1064.0,0.75,0.71,0.75,0.7,4.0,1484715600000000000,30.0,Monthly,0.0065
O:LQD170217P00115000,2017-01-18,2017-02-17,LQD,P,1150.0,1.0,0.25,0.25,0.25,0.25,1.0,1484715600000000000,30.0,Monthly,0.0065
O:LQD170217P00116000,2017-01-18,2017-02-17,LQD,P,1160.0,1.0,0.4,0.4,0.4,0.4,1.0,1484715600000000000,30.0,Monthly,0.0065
O:LQD170217P00117000,2017-01-18,2017-02-17,LQD,P,1170.0,6.0,0.65,0.65,0.65,0.65,2.0,1484715600000000000,30.0,Monthly,0.0065
O:LQD170217C00116000,2017-01-19,2017-02-17,LQD,C,1160.0,55.0,1.5,1.43,1.54,1.43,23.0,1484802000000000000,29.0,Monthly,0.0065
O:LQD170217C00117000,2017-01-19,2017-02-17,LQD,C,1170.0,1500.0,0.9,0.9,0.9,0.9,1.0,1484802000000000000,29.0,Monthly,0.0065
O:LQD170217P00114000,2017-01-19,2017-02-17,LQD,P,1140.0,1.0,0.25,0.25,0.25,0.25,1.0,1484802000000000000,29.0,Monthly,0.0065
O:LQD170217P00116000,2017-01-19,2017-02-17,LQD,P,1160.0,2.0,0.6,0.6,0.6,0.6,1.0,1484802000000000000,29.0,Monthly,0.0065
O:LQD170217P00117000,2017-01-19,2017-02-17,LQD,P,1170.0,1502.0,0.95,1.05,1.05,0.95,2.0,1484802000000000000,29.0,Monthly,0.0065
