ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:LRCX220107C00682500,2022-01-03,2022-01-07,LRCX,C,682.5,1,9.15,9.15,9.15,9.15,1,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00700000,2022-01-03,2022-01-07,LRCX,C,700.0,2,6.3,6.62,6.62,6.3,2,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00705000,2022-01-03,2022-01-07,LRCX,C,705.0,1,4.94,4.94,4.94,4.94,1,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00710000,2022-01-03,2022-01-07,LRCX,C,710.0,13,3.16,4.29,4.29,3.16,6,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00715000,2022-01-03,2022-01-07,LRCX,C,715.0,356,2.82,3.88,3.88,2.5,31,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00720000,2022-01-03,2022-01-07,LRCX,C,720.0,44,3.1,2.7,4.12,1.98,23,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00725000,2022-01-03,2022-01-07,LRCX,C,725.0,41,3.32,2.4,3.32,1.8,22,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00730000,2022-01-03,2022-01-07,LRCX,C,730.0,81,2.36,1.82,2.76,1.22,32,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00735000,2022-01-03,2022-01-07,LRCX,C,735.0,72,1.92,1.32,1.92,0.8,19,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00740000,2022-01-03,2022-01-07,LRCX,C,740.0,887,1.25,1.0,1.75,0.56,139,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00745000,2022-01-03,2022-01-07,LRCX,C,745.0,35,0.89,0.72,0.89,0.49,14,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00750000,2022-01-03,2022-01-07,LRCX,C,750.0,149,0.47,0.48,1.12,0.25,82,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00755000,2022-01-03,2022-01-07,LRCX,C,755.0,57,0.4,0.3,0.62,0.22,22,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00760000,2022-01-03,2022-01-07,LRCX,C,760.0,41,0.42,0.22,0.52,0.14,12,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00765000,2022-01-03,2022-01-07,LRCX,C,765.0,16,0.22,0.12,0.22,0.11,7,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00770000,2022-01-03,2022-01-07,LRCX,C,770.0,31,0.17,0.06,0.17,0.06,3,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00780000,2022-01-03,2022-01-07,LRCX,C,780.0,7,0.12,0.08,0.12,0.08,2,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220107C00860000,2022-01-03,2022-01-07,LRCX,C,860.0,9,0.02,0.0,0.02,0.0,9,1641186000000000000,4,72.11,72.55,73.11,71.18,73.11,66.93,70.32,70.32
O:LRCX220114C00620000,2022-01-10,2022-01-14,LRCX,C,620.0,2,8.15,11.36,11.36,8.15,2,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00630000,2022-01-10,2022-01-14,LRCX,C,630.0,1,6.74,6.74,6.74,6.74,1,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00645000,2022-01-10,2022-01-14,LRCX,C,645.0,30,6.18,3.36,6.19,3.36,14,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00650000,2022-01-10,2022-01-14,LRCX,C,650.0,18,6.0,3.5,6.0,3.36,15,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00655000,2022-01-10,2022-01-14,LRCX,C,655.0,182,3.5,3.75,3.75,2.46,29,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00660000,2022-01-10,2022-01-14,LRCX,C,660.0,176,2.63,3.02,3.02,2.4,33,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00665000,2022-01-10,2022-01-14,LRCX,C,665.0,7,3.49,1.89,3.49,1.68,6,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00670000,2022-01-10,2022-01-14,LRCX,C,670.0,30,2.48,2.1,2.62,1.25,12,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00675000,2022-01-10,2022-01-14,LRCX,C,675.0,25,1.5,1.35,1.58,1.11,11,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00677500,2022-01-10,2022-01-14,LRCX,C,677.5,43,2.17,1.5,2.23,0.88,22,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00680000,2022-01-10,2022-01-14,LRCX,C,680.0,71,1.64,1.27,1.64,0.62,21,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00682500,2022-01-10,2022-01-14,LRCX,C,682.5,2,1.1,1.1,1.1,1.1,1,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00685000,2022-01-10,2022-01-14,LRCX,C,685.0,5,1.12,0.74,1.12,0.53,4,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00687500,2022-01-10,2022-01-14,LRCX,C,687.5,3,0.71,0.71,0.71,0.71,1,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00690000,2022-01-10,2022-01-14,LRCX,C,690.0,12,1.07,0.45,1.07,0.45,11,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00692500,2022-01-10,2022-01-14,LRCX,C,692.5,1,0.5,0.5,0.5,0.5,1,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00695000,2022-01-10,2022-01-14,LRCX,C,695.0,6,0.46,0.61,0.61,0.46,2,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00697500,2022-01-10,2022-01-14,LRCX,C,697.5,11,0.28,0.45,0.45,0.28,2,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
O:LRCX220114C00700000,2022-01-10,2022-01-14,LRCX,C,700.0,79,0.48,0.35,0.62,0.21,41,1641790800000000000,4,65.86,66.43,66.78,64.32,66.78,72.98,73.08,73.08
