ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:LRCX230106C00370000,2023-01-03,2023-01-06,LRCX,C,37.0,6,10.38,10.88,-13.97,YES,10.63,24.72,10.38,24.13,10.88,10.38,4,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,10.63,25.3,5.2332,0.5322
O:LRCX230106C00375000,2023-01-03,2023-01-06,LRCX,C,37.5,4,8.75,8.6,-12.81,YES,8.68,20.17,8.6,20.0,8.75,8.6,2,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,8.68,20.34,3.7293,0.5939
O:LRCX230106C00385000,2023-01-03,2023-01-06,LRCX,C,38.5,4,7.66,6.31,-10.49,YES,6.98,16.24,6.31,14.67,7.66,6.31,2,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,6.98,17.81,2.4541,0.6511
O:LRCX230106C00387500,2023-01-03,2023-01-06,LRCX,C,38.75,1,6.05,6.05,-9.9,YES,6.05,14.07,6.05,14.07,6.05,6.05,1,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,6.05,14.07,2.3788,0.6471
O:LRCX230106C00390000,2023-01-03,2023-01-06,LRCX,C,39.0,2,7.6,5.5,-9.32,YES,6.55,15.23,5.5,12.79,7.6,5.5,2,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,6.55,17.67,2.0811,0.6651
O:LRCX230106C00392500,2023-01-03,2023-01-06,LRCX,C,39.25,6,4.76,4.86,-8.74,YES,4.81,11.18,4.76,11.07,4.86,4.76,4,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,4.81,11.3,1.7102,0.6967
O:LRCX230106C00395000,2023-01-03,2023-01-06,LRCX,C,39.5,9,5.48,4.38,-8.16,YES,4.88,11.36,4.29,9.97,5.48,4.29,6,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,4.88,12.74,1.463,0.7184
O:LRCX230106C00397500,2023-01-03,2023-01-06,LRCX,C,39.75,3,3.84,5.06,-7.58,YES,4.45,10.35,3.84,8.93,5.06,3.84,3,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,4.45,11.76,2.1137,0.6245
O:LRCX230106C00400000,2023-01-03,2023-01-06,LRCX,C,40.0,21,3.5,4.59,-7.0,YES,4.0,9.29,3.4,7.91,4.59,3.4,11,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,4.0,10.67,1.8847,0.6336
O:LRCX230106C00402500,2023-01-03,2023-01-06,LRCX,C,40.25,39,5.29,3.92,-6.42,YES,4.14,9.64,3.0,6.98,5.29,3.0,12,1672722000000000000,3,42.97,41.43,43.01,40.73,43.01,44.53,44.73,44.73,0.0433,4.14,12.3,1.5083,0.6625
