ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:LRCX190111C00132000,2019-01-07,2019-01-11,LRCX,C,1320.0,3,9.35,9.35,9.35,9.35,2,1546837200000000000,4,Weekly
O:LRCX190111C00133000,2019-01-07,2019-01-11,LRCX,C,1330.0,1,8.45,8.45,8.45,8.45,1,1546837200000000000,4,Weekly
O:LRCX190111C00134000,2019-01-07,2019-01-11,LRCX,C,1340.0,2,6.4,7.43,7.43,6.4,2,1546837200000000000,4,Weekly
O:LRCX190111C00135000,2019-01-07,2019-01-11,LRCX,C,1350.0,3,5.58,5.58,5.58,5.58,2,1546837200000000000,4,Weekly
O:LRCX190111C00136000,2019-01-07,2019-01-11,LRCX,C,1360.0,18,4.9,5.4,5.4,4.2,6,1546837200000000000,4,Weekly
O:LRCX190111C00137000,2019-01-07,2019-01-11,LRCX,C,1370.0,2,4.25,5.0,5.0,4.25,2,1546837200000000000,4,Weekly
O:LRCX190111C00138000,2019-01-07,2019-01-11,LRCX,C,1380.0,30,3.2,3.51,4.32,2.8,9,1546837200000000000,4,Weekly
O:LRCX190111C00139000,2019-01-07,2019-01-11,LRCX,C,1390.0,19,2.75,3.58,3.58,2.64,6,1546837200000000000,4,Weekly
O:LRCX190111C00140000,2019-01-07,2019-01-11,LRCX,C,1400.0,12,1.98,3.0,3.1,1.98,7,1546837200000000000,4,Weekly
O:LRCX190111C00141000,2019-01-07,2019-01-11,LRCX,C,1410.0,54,1.5,2.0,2.55,1.5,10,1546837200000000000,4,Weekly
O:LRCX190111C00142000,2019-01-07,2019-01-11,LRCX,C,1420.0,185,1.35,1.86,2.06,1.35,22,1546837200000000000,4,Weekly
O:LRCX190111C00143000,2019-01-07,2019-01-11,LRCX,C,1430.0,17,1.07,1.5,1.5,1.07,7,1546837200000000000,4,Weekly
O:LRCX190111C00144000,2019-01-07,2019-01-11,LRCX,C,1440.0,41,0.96,0.93,1.15,0.6,21,1546837200000000000,4,Weekly
O:LRCX190111C00145000,2019-01-07,2019-01-11,LRCX,C,1450.0,35,0.45,0.98,1.0,0.45,10,1546837200000000000,4,Weekly
O:LRCX190111C00146000,2019-01-07,2019-01-11,LRCX,C,1460.0,40,0.45,0.51,0.7,0.36,12,1546837200000000000,4,Weekly
O:LRCX190111C00147000,2019-01-07,2019-01-11,LRCX,C,1470.0,10,0.4,0.47,0.5,0.4,4,1546837200000000000,4,Weekly
O:LRCX190111C00148000,2019-01-07,2019-01-11,LRCX,C,1480.0,22,0.28,0.35,0.35,0.28,4,1546837200000000000,4,Weekly
O:LRCX190111C00149000,2019-01-07,2019-01-11,LRCX,C,1490.0,1,0.2,0.2,0.2,0.2,1,1546837200000000000,4,Weekly
O:LRCX190111C00150000,2019-01-07,2019-01-11,LRCX,C,1500.0,54,0.1,0.17,0.22,0.1,14,1546837200000000000,4,Weekly
O:LRCX190111P00120000,2019-01-07,2019-01-11,LRCX,P,1200.0,9,0.07,0.07,0.07,0.07,1,1546837200000000000,4,Weekly
O:LRCX190111P00123000,2019-01-07,2019-01-11,LRCX,P,1230.0,19,0.07,0.07,0.07,0.07,1,1546837200000000000,4,Weekly
O:LRCX190111P00125000,2019-01-07,2019-01-11,LRCX,P,1250.0,20,0.23,0.23,0.23,0.23,1,1546837200000000000,4,Weekly
