ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:META230217C00070000,2023-01-17,2023-02-17,META,C,700.0,4,66.05,66.55,66.65,64.95,4,1673931600000000000,31,Monthly
O:META230217C00075000,2023-01-17,2023-02-17,META,C,750.0,1,61.05,61.05,61.05,61.05,1,1673931600000000000,31,Monthly
O:META230217C00080000,2023-01-17,2023-02-17,META,C,800.0,1,56.64,56.64,56.64,56.64,1,1673931600000000000,31,Monthly
O:META230217C00090000,2023-01-17,2023-02-17,META,C,900.0,3,45.16,46.5,46.5,45.16,2,1673931600000000000,31,Monthly
O:META230217C00100000,2023-01-17,2023-02-17,META,C,1000.0,146,37.0,36.7,37.0,35.64,51,1673931600000000000,31,Monthly
O:META230217C00105000,2023-01-17,2023-02-17,META,C,1050.0,1,31.75,31.75,31.75,31.75,1,1673931600000000000,31,Monthly
O:META230217C00110000,2023-01-17,2023-02-17,META,C,1100.0,23,28.78,27.3,28.78,26.9,18,1673931600000000000,31,Monthly
O:META230217C00115000,2023-01-17,2023-02-17,META,C,1150.0,86,23.67,23.0,24.1,22.57,28,1673931600000000000,31,Monthly
O:META230217C00120000,2023-01-17,2023-02-17,META,C,1200.0,275,20.47,19.33,20.47,18.5,75,1673931600000000000,31,Monthly
O:META230217C00125000,2023-01-17,2023-02-17,META,C,1250.0,199,15.5,15.4,16.5,14.9,81,1673931600000000000,31,Monthly
O:META230217C00130000,2023-01-17,2023-02-17,META,C,1300.0,306,13.3,12.29,13.32,11.8,146,1673931600000000000,31,Monthly
O:META230217C00135000,2023-01-17,2023-02-17,META,C,1350.0,460,10.06,9.46,10.97,9.05,191,1673931600000000000,31,Monthly
O:META230217C00140000,2023-01-17,2023-02-17,META,C,1400.0,2721,7.92,7.15,8.05,6.8,714,1673931600000000000,31,Monthly
O:META230217C00145000,2023-01-17,2023-02-17,META,C,1450.0,376,5.74,5.25,5.95,5.0,109,1673931600000000000,31,Monthly
O:META230217C00150000,2023-01-17,2023-02-17,META,C,1500.0,503,4.15,3.76,4.32,3.6,139,1673931600000000000,31,Monthly
O:META230217C00155000,2023-01-17,2023-02-17,META,C,1550.0,966,3.1,2.71,3.11,2.55,177,1673931600000000000,31,Monthly
O:META230217C00160000,2023-01-17,2023-02-17,META,C,1600.0,606,2.27,1.91,2.29,1.81,128,1673931600000000000,31,Monthly
O:META230217C00165000,2023-01-17,2023-02-17,META,C,1650.0,598,1.56,1.32,1.6,1.26,94,1673931600000000000,31,Monthly
O:META230217C00170000,2023-01-17,2023-02-17,META,C,1700.0,1409,1.12,0.94,1.18,0.89,237,1673931600000000000,31,Monthly
O:META230217C00175000,2023-01-17,2023-02-17,META,C,1750.0,146,0.89,0.66,0.89,0.66,44,1673931600000000000,31,Monthly
O:META230217C00180000,2023-01-17,2023-02-17,META,C,1800.0,89,0.57,0.49,0.61,0.48,30,1673931600000000000,31,Monthly
O:META230217C00185000,2023-01-17,2023-02-17,META,C,1850.0,11,0.33,0.36,0.38,0.33,7,1673931600000000000,31,Monthly
O:META230217C00190000,2023-01-17,2023-02-17,META,C,1900.0,45,0.27,0.27,0.27,0.27,10,1673931600000000000,31,Monthly
O:META230217C00195000,2023-01-17,2023-02-17,META,C,1950.0,4,0.19,0.18,0.19,0.18,4,1673931600000000000,31,Monthly
O:META230217C00200000,2023-01-17,2023-02-17,META,C,2000.0,353,0.17,0.13,0.18,0.13,33,1673931600000000000,31,Monthly
O:META230217C00205000,2023-01-17,2023-02-17,META,C,2050.0,3,0.11,0.11,0.11,0.11,1,1673931600000000000,31,Monthly
O:META230217C00210000,2023-01-17,2023-02-17,META,C,2100.0,10,0.08,0.08,0.08,0.08,4,1673931600000000000,31,Monthly
O:META230217C00220000,2023-01-17,2023-02-17,META,C,2200.0,141,0.04,0.05,0.05,0.04,19,1673931600000000000,31,Monthly
O:META230217C00235000,2023-01-17,2023-02-17,META,C,2350.0,1,0.02,0.02,0.02,0.02,1,1673931600000000000,31,Monthly
O:META230217C00240000,2023-01-17,2023-02-17,META,C,2400.0,1,0.04,0.04,0.04,0.04,1,1673931600000000000,31,Monthly
O:META230217C00255000,2023-01-17,2023-02-17,META,C,2550.0,6,0.01,0.01,0.01,0.01,2,1673931600000000000,31,Monthly
O:META230217C00260000,2023-01-17,2023-02-17,META,C,2600.0,2,0.01,0.01,0.01,0.01,1,1673931600000000000,31,Monthly
O:META230217P00040000,2023-01-17,2023-02-17,META,P,400.0,5,0.01,0.01,0.01,0.01,1,1673931600000000000,31,Monthly
O:META230217P00045000,2023-01-17,2023-02-17,META,P,450.0,36,0.01,0.01,0.01,0.01,25,1673931600000000000,31,Monthly
O:META230217P00050000,2023-01-17,2023-02-17,META,P,500.0,5,0.03,0.03,0.03,0.03,1,1673931600000000000,31,Monthly
O:META230217P00055000,2023-01-17,2023-02-17,META,P,550.0,2,0.01,0.01,0.01,0.01,2,1673931600000000000,31,Monthly
O:META230217P00060000,2023-01-17,2023-02-17,META,P,600.0,10,0.02,0.02,0.02,0.02,5,1673931600000000000,31,Monthly
O:META230217P00065000,2023-01-17,2023-02-17,META,P,650.0,3,0.05,0.05,0.05,0.05,1,1673931600000000000,31,Monthly
O:META230217P00070000,2023-01-17,2023-02-17,META,P,700.0,155,0.05,0.05,0.06,0.05,17,1673931600000000000,31,Monthly
O:META230217P00075000,2023-01-17,2023-02-17,META,P,750.0,5,0.09,0.09,0.09,0.08,4,1673931600000000000,31,Monthly
O:META230217P00080000,2023-01-17,2023-02-17,META,P,800.0,54,0.13,0.12,0.13,0.11,22,1673931600000000000,31,Monthly
O:META230217P00085000,2023-01-17,2023-02-17,META,P,850.0,18,0.18,0.18,0.19,0.17,13,1673931600000000000,31,Monthly
O:META230217P00090000,2023-01-17,2023-02-17,META,P,900.0,147,0.29,0.27,0.3,0.26,42,1673931600000000000,31,Monthly
O:META230217P00095000,2023-01-17,2023-02-17,META,P,950.0,57,0.45,0.42,0.45,0.4,34,1673931600000000000,31,Monthly
O:META230217P00100000,2023-01-17,2023-02-17,META,P,1000.0,567,0.82,0.66,0.82,0.61,133,1673931600000000000,31,Monthly
O:META230217P00105000,2023-01-17,2023-02-17,META,P,1050.0,293,1.05,1.02,1.1,0.95,107,1673931600000000000,31,Monthly
O:META230217P00110000,2023-01-17,2023-02-17,META,P,1100.0,1813,1.5,1.52,1.66,1.44,268,1673931600000000000,31,Monthly
O:META230217P00115000,2023-01-17,2023-02-17,META,P,1150.0,1032,2.26,2.24,2.44,2.14,280,1673931600000000000,31,Monthly
O:META230217P00120000,2023-01-17,2023-02-17,META,P,1200.0,2042,3.37,3.27,3.55,3.1,318,1673931600000000000,31,Monthly
O:META230217P00125000,2023-01-17,2023-02-17,META,P,1250.0,930,4.6,4.64,5.0,4.43,234,1673931600000000000,31,Monthly
O:META230217P00130000,2023-01-17,2023-02-17,META,P,1300.0,1649,6.2,6.4,6.84,6.1,234,1673931600000000000,31,Monthly
O:META230217P00135000,2023-01-17,2023-02-17,META,P,1350.0,646,8.55,8.61,9.2,8.25,186,1673931600000000000,31,Monthly
O:META230217P00140000,2023-01-17,2023-02-17,META,P,1400.0,696,10.8,11.3,11.85,10.8,108,1673931600000000000,31,Monthly
O:META230217P00145000,2023-01-17,2023-02-17,META,P,1450.0,67,14.2,14.2,14.9,13.9,15,1673931600000000000,31,Monthly
O:META230217P00150000,2023-01-17,2023-02-17,META,P,1500.0,136,17.7,17.67,18.2,17.6,21,1673931600000000000,31,Monthly
O:META230217P00155000,2023-01-17,2023-02-17,META,P,1550.0,3,22.3,21.7,22.3,21.7,3,1673931600000000000,31,Monthly
O:META230217P00160000,2023-01-17,2023-02-17,META,P,1600.0,42,25.55,25.89,26.16,25.55,7,1673931600000000000,31,Monthly
O:META230217P00165000,2023-01-17,2023-02-17,META,P,1650.0,1,31.0,31.0,31.0,31.0,1,1673931600000000000,31,Monthly
O:META230217P00170000,2023-01-17,2023-02-17,META,P,1700.0,2,34.5,34.5,34.5,34.5,2,1673931600000000000,31,Monthly
O:META230217P00175000,2023-01-17,2023-02-17,META,P,1750.0,8,40.05,40.0,40.6,40.0,3,1673931600000000000,31,Monthly
O:META230217C00005000,2023-01-18,2023-02-17,META,C,50.0,1,127.9,127.9,127.9,127.9,1,1674018000000000000,30,Monthly
