ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:META240112C00020000,2024-01-08,2024-01-12,META,C,20.0,2,334.15,334.15,-94.42,YES,334.15,1670.75,334.15,1670.75,334.15,334.15,2,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00030000,2024-01-08,2024-01-12,META,C,30.0,11,325.05,328.55,-91.64,YES,328.55,1095.17,325.05,1083.5,328.55,325.05,6,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00040000,2024-01-08,2024-01-12,META,C,40.0,1,315.45,315.45,-88.85,NO,315.45,788.62,315.45,788.62,315.45,315.45,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00110000,2024-01-08,2024-01-12,META,C,110.0,1,247.65,247.65,-69.33,NO,247.65,225.14,247.65,225.14,247.65,247.65,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00150000,2024-01-08,2024-01-12,META,C,150.0,1,207.46,207.46,-58.18,NO,207.46,138.31,207.46,138.31,207.46,207.46,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00205000,2024-01-08,2024-01-12,META,C,205.0,1,153.95,153.95,-42.84,NO,153.95,75.1,153.95,75.1,153.95,153.95,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00210000,2024-01-08,2024-01-12,META,C,210.0,5,144.4,144.4,-41.45,NO,144.4,68.76,144.4,68.76,144.4,144.4,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00240000,2024-01-08,2024-01-12,META,C,240.0,1,116.2,116.2,-33.08,NO,116.2,48.42,116.2,48.42,116.2,116.2,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00245000,2024-01-08,2024-01-12,META,C,245.0,1,111.21,111.21,-31.69,NO,111.21,45.39,111.21,45.39,111.21,111.21,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00255000,2024-01-08,2024-01-12,META,C,255.0,1,102.71,102.71,-28.9,NO,102.71,40.28,102.71,40.28,102.71,102.71,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00280000,2024-01-08,2024-01-12,META,C,280.0,5,74.7,74.7,-21.93,NO,74.7,26.68,74.7,26.68,74.7,74.7,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00285000,2024-01-08,2024-01-12,META,C,285.0,1,74.05,74.05,-20.54,NO,74.05,25.98,74.05,25.98,74.05,74.05,1,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00290000,2024-01-08,2024-01-12,META,C,290.0,2,63.66,66.58,-19.14,NO,66.58,22.96,63.66,21.95,66.58,63.66,2,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00295000,2024-01-08,2024-01-12,META,C,295.0,2,60.05,59.57,-17.75,NO,59.57,20.19,60.05,20.36,60.05,59.57,2,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00300000,2024-01-08,2024-01-12,META,C,300.0,13,55.72,57.83,-16.36,NO,57.83,19.28,55.72,18.57,57.83,52.6,9,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00305000,2024-01-08,2024-01-12,META,C,305.0,5,50.48,49.81,-14.96,NO,49.81,16.33,50.48,16.55,50.48,49.81,3,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00310000,2024-01-08,2024-01-12,META,C,310.0,9,43.33,49.1,-13.57,NO,49.1,15.84,43.33,13.98,49.1,43.33,5,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00315000,2024-01-08,2024-01-12,META,C,315.0,88,40.3,44.07,-12.17,NO,44.07,13.99,40.3,12.79,44.07,38.1,10,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00320000,2024-01-08,2024-01-12,META,C,320.0,62,35.22,38.4,-10.78,NO,38.4,12.0,35.22,11.01,38.4,32.6,19,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00322500,2024-01-08,2024-01-12,META,C,322.5,13,30.1,36.6,-10.08,NO,36.6,11.35,30.1,9.33,36.6,30.1,3,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00325000,2024-01-08,2024-01-12,META,C,325.0,178,29.15,33.0,-9.38,NO,33.0,10.15,29.15,8.97,33.0,27.68,129,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00330000,2024-01-08,2024-01-12,META,C,330.0,156,25.95,28.42,-7.99,NO,28.42,8.61,25.95,7.86,28.88,23.75,29,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
O:META240112C00332500,2024-01-08,2024-01-12,META,C,332.5,23,22.2,24.3,-7.29,NO,24.3,7.31,22.2,6.68,24.45,22.2,4,1704690000000000000,4,Weekly,354.7,358.66,358.98,352.05,358.66,358.66,358.98,358.66
