ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:MRK210108C00065000,2021-01-04,2021-01-08,MRK,C,65.0,5,4.11,4.11,-17.95,YES,4.11,5.19,4.11,5.19,4.11,4.11,1,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,4.11,5.19
O:MRK210108C00075000,2021-01-04,2021-01-08,MRK,C,75.0,14,1.66,1.23,-5.33,YES,1.48,1.86,1.23,1.55,1.72,1.23,3,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,1.48,2.17
O:MRK210108C00075500,2021-01-04,2021-01-08,MRK,C,75.5,10,1.39,1.39,-4.7,YES,1.39,1.75,1.39,1.75,1.39,1.39,2,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,1.39,1.75
O:MRK210108C00078500,2021-01-04,2021-01-08,MRK,C,78.5,2,0.64,0.64,-0.91,YES,0.64,0.81,0.64,0.81,0.64,0.64,1,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.64,0.81
O:MRK210108C00079000,2021-01-04,2021-01-08,MRK,C,79.0,25,0.65,0.57,-0.28,YES,0.55,0.69,0.43,0.54,0.66,0.43,14,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.55,0.83
O:MRK210108C00079500,2021-01-04,2021-01-08,MRK,C,79.5,78,0.6,0.48,0.35,NO,0.48,0.61,0.36,0.45,0.6,0.36,21,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.48,0.76
O:MRK210108C00080000,2021-01-04,2021-01-08,MRK,C,80.0,64,0.43,0.39,0.98,NO,0.36,0.45,0.29,0.37,0.43,0.29,18,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.36,0.54
O:MRK210108C00080500,2021-01-04,2021-01-08,MRK,C,80.5,173,0.41,0.31,1.61,NO,0.32,0.4,0.22,0.28,0.41,0.22,32,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.32,0.52
O:MRK210108C00081000,2021-01-04,2021-01-08,MRK,C,81.0,250,0.3,0.26,2.24,NO,0.24,0.3,0.17,0.21,0.31,0.17,47,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.24,0.39
O:MRK210108C00081500,2021-01-04,2021-01-08,MRK,C,81.5,116,0.26,0.14,2.87,NO,0.2,0.25,0.13,0.16,0.26,0.13,45,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.2,0.33
O:MRK210108C00082000,2021-01-04,2021-01-08,MRK,C,82.0,471,0.24,0.15,3.51,NO,0.16,0.21,0.09,0.11,0.24,0.09,93,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.16,0.3
O:MRK210108C00082500,2021-01-04,2021-01-08,MRK,C,82.5,61,0.18,0.08,4.14,NO,0.13,0.16,0.08,0.1,0.18,0.08,26,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.13,0.23
O:MRK210108C00083000,2021-01-04,2021-01-08,MRK,C,83.0,174,0.14,0.08,4.77,NO,0.1,0.12,0.05,0.06,0.14,0.05,41,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.1,0.18
O:MRK210108C00083500,2021-01-04,2021-01-08,MRK,C,83.5,27,0.06,0.04,5.4,NO,0.06,0.07,0.04,0.05,0.07,0.04,8,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.06,0.09
O:MRK210108C00084000,2021-01-04,2021-01-08,MRK,C,84.0,65,0.07,0.03,6.03,NO,0.04,0.06,0.02,0.03,0.07,0.02,19,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.04,0.09
O:MRK210108C00084500,2021-01-04,2021-01-08,MRK,C,84.5,103,0.05,0.03,6.66,NO,0.03,0.04,0.01,0.01,0.05,0.01,10,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.03,0.06
O:MRK210108C00085000,2021-01-04,2021-01-08,MRK,C,85.0,33,0.03,0.02,7.29,NO,0.02,0.03,0.01,0.01,0.03,0.01,13,1609736400000000000,4,79.14,78.13,79.22,77.09,79.22,80.13,81.42,81.42,0.0009,0.02,0.04
