ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:MRK160219C00047500,2016-01-19,2016-02-19,MRK,C,47.5,9,4.64,4.64,-5.19,NO,4.64,9.25,4.57,9.12,4.7,4.57,7,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,4.64,9.38
O:MRK160219C00050000,2016-01-19,2016-02-19,MRK,C,50.0,17,2.39,2.39,-0.2,NO,2.39,4.77,2.39,4.77,2.39,2.39,1,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,2.39,4.77
O:MRK160219C00051000,2016-01-19,2016-02-19,MRK,C,51.0,224,1.8,1.71,1.8,NO,1.64,3.26,1.47,2.93,1.8,1.47,23,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,1.64,3.59
O:MRK160219C00051500,2016-01-19,2016-02-19,MRK,C,51.5,155,1.69,1.47,2.79,NO,1.46,2.92,1.24,2.48,1.69,1.24,26,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,1.46,3.37
O:MRK160219C00052000,2016-01-19,2016-02-19,MRK,C,52.0,103,1.45,0.96,3.79,NO,1.2,2.41,0.96,1.92,1.45,0.96,15,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,1.2,2.89
O:MRK160219C00052500,2016-01-19,2016-02-19,MRK,C,52.5,622,1.06,0.75,4.79,NO,1.0,1.99,0.75,1.5,1.24,0.75,61,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,1.0,2.48
O:MRK160219C00053000,2016-01-19,2016-02-19,MRK,C,53.0,70,1.01,0.68,5.79,NO,0.84,1.69,0.68,1.36,1.01,0.68,13,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.84,2.02
O:MRK160219C00053500,2016-01-19,2016-02-19,MRK,C,53.5,1165,0.78,0.56,6.79,NO,0.67,1.34,0.56,1.12,0.78,0.56,23,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.67,1.56
O:MRK160219C00054000,2016-01-19,2016-02-19,MRK,C,54.0,831,0.5,0.41,7.78,NO,0.46,0.91,0.35,0.7,0.56,0.35,27,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.46,1.12
O:MRK160219C00054500,2016-01-19,2016-02-19,MRK,C,54.5,10,0.44,0.44,8.78,NO,0.44,0.88,0.44,0.88,0.44,0.44,1,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.44,0.88
O:MRK160219C00055000,2016-01-19,2016-02-19,MRK,C,55.0,233,0.3,0.25,9.78,NO,0.28,0.56,0.19,0.38,0.37,0.19,48,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.28,0.74
O:MRK160219C00055500,2016-01-19,2016-02-19,MRK,C,55.5,12,0.25,0.25,10.78,NO,0.25,0.5,0.25,0.5,0.25,0.25,1,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.25,0.5
O:MRK160219C00056000,2016-01-19,2016-02-19,MRK,C,56.0,13,0.16,0.16,11.78,NO,0.16,0.32,0.16,0.32,0.16,0.16,4,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.16,0.32
O:MRK160219C00056500,2016-01-19,2016-02-19,MRK,C,56.5,6,0.1,0.1,12.77,NO,0.1,0.2,0.1,0.2,0.1,0.1,5,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.1,0.2
O:MRK160219C00057000,2016-01-19,2016-02-19,MRK,C,57.0,11,0.09,0.09,13.77,NO,0.09,0.18,0.09,0.18,0.09,0.09,1,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.09,0.18
O:MRK160219C00057500,2016-01-19,2016-02-19,MRK,C,57.5,630,0.5,0.06,14.77,NO,0.28,0.55,0.05,0.1,0.5,0.05,53,1453179600000000000,31,Monthly,49.8,49.55,50.1,49.04,50.1,48.37,48.64,48.64,0.0034,0.28,1.0
O:MRK160219C00040000,2016-01-20,2016-02-19,MRK,C,40.0,3,10.6,10.6,-18.77,NO,10.6,21.53,10.6,21.53,10.6,10.6,1,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,10.6,21.53
O:MRK160219C00048500,2016-01-20,2016-02-19,MRK,C,48.5,10,2.95,2.95,-1.5,NO,2.95,5.99,2.95,5.99,2.95,2.95,1,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,2.95,5.99
O:MRK160219C00049500,2016-01-20,2016-02-19,MRK,C,49.5,68,2.24,1.83,0.53,NO,2.0,4.06,1.67,3.39,2.33,1.67,9,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,2.0,4.73
O:MRK160219C00050000,2016-01-20,2016-02-19,MRK,C,50.0,415,1.68,2.12,1.54,NO,1.73,3.51,1.34,2.72,2.12,1.34,31,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,1.73,4.31
O:MRK160219C00050500,2016-01-20,2016-02-19,MRK,C,50.5,347,1.58,1.76,2.56,NO,1.48,3.01,1.2,2.44,1.76,1.2,24,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,1.48,3.57
O:MRK160219C00051000,2016-01-20,2016-02-19,MRK,C,51.0,537,1.29,1.47,3.57,NO,1.37,2.78,1.27,2.58,1.47,1.27,25,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,1.37,2.99
O:MRK160219C00051500,2016-01-20,2016-02-19,MRK,C,51.5,23,0.92,1.14,4.59,NO,0.97,1.97,0.8,1.62,1.14,0.8,3,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.97,2.32
O:MRK160219C00052000,2016-01-20,2016-02-19,MRK,C,52.0,8,0.76,0.9,5.61,NO,0.83,1.69,0.76,1.54,0.9,0.76,3,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.83,1.83
O:MRK160219C00052500,2016-01-20,2016-02-19,MRK,C,52.5,1217,0.68,0.7,6.62,NO,0.62,1.25,0.44,0.89,0.79,0.44,37,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.62,1.6
O:MRK160219C00053000,2016-01-20,2016-02-19,MRK,C,53.0,312,0.53,0.61,7.64,NO,0.48,0.97,0.35,0.71,0.61,0.35,15,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.48,1.24
O:MRK160219C00053500,2016-01-20,2016-02-19,MRK,C,53.5,23,0.43,0.48,8.65,NO,0.43,0.87,0.38,0.77,0.48,0.38,4,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.43,0.97
O:MRK160219C00054000,2016-01-20,2016-02-19,MRK,C,54.0,1019,0.34,0.27,9.67,NO,0.28,0.56,0.21,0.43,0.34,0.21,41,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.28,0.69
O:MRK160219C00054500,2016-01-20,2016-02-19,MRK,C,54.5,75,0.22,0.25,10.68,NO,0.24,0.48,0.22,0.45,0.25,0.22,2,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.24,0.51
O:MRK160219C00055000,2016-01-20,2016-02-19,MRK,C,55.0,233,0.17,0.18,11.7,NO,0.14,0.28,0.1,0.2,0.18,0.1,31,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.14,0.37
O:MRK160219C00057500,2016-01-20,2016-02-19,MRK,C,57.5,99,0.05,0.04,16.77,NO,0.04,0.09,0.04,0.08,0.05,0.04,13,1453266000000000000,30,Monthly,48.53,48.78,49.24,47.58,49.24,48.37,48.64,48.64,0.0034,0.04,0.1
O:MRK160219C00049000,2016-01-21,2016-02-19,MRK,C,49.0,10,2.7,2.7,-1.07,NO,2.7,5.45,2.7,5.45,2.7,2.7,1,1453352400000000000,29,Monthly,49.01,49.14,49.53,48.34,49.53,48.37,48.64,48.64,0.0034,2.7,5.45
O:MRK160219C00050000,2016-01-21,2016-02-19,MRK,C,50.0,108,1.79,2.16,0.95,NO,2.0,4.03,1.75,3.53,2.24,1.75,5,1453352400000000000,29,Monthly,49.01,49.14,49.53,48.34,49.53,48.37,48.64,48.64,0.0034,2.0,4.52
O:MRK160219C00050500,2016-01-21,2016-02-19,MRK,C,50.5,11,1.6,1.56,1.96,NO,1.58,3.19,1.56,3.15,1.6,1.56,2,1453352400000000000,29,Monthly,49.01,49.14,49.53,48.34,49.53,48.37,48.64,48.64,0.0034,1.58,3.23
O:MRK160219C00051000,2016-01-21,2016-02-19,MRK,C,51.0,16,1.26,1.51,2.97,NO,1.4,2.83,1.26,2.54,1.54,1.26,3,1453352400000000000,29,Monthly,49.01,49.14,49.53,48.34,49.53,48.37,48.64,48.64,0.0034,1.4,3.11
O:MRK160219C00051500,2016-01-21,2016-02-19,MRK,C,51.5,47,0.92,1.2,3.98,NO,1.12,2.25,0.92,1.86,1.31,0.92,9,1453352400000000000,29,Monthly,49.01,49.14,49.53,48.34,49.53,48.37,48.64,48.64,0.0034,1.12,2.64
O:MRK160219C00052000,2016-01-21,2016-02-19,MRK,C,52.0,39,0.82,0.97,4.99,NO,0.94,1.91,0.82,1.66,1.07,0.82,4,1453352400000000000,29,Monthly,49.01,49.14,49.53,48.34,49.53,48.37,48.64,48.64,0.0034,0.94,2.16
