ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:MRK200221C00070000,2020-01-21,2020-02-21,MRK,C,700.0,10,19.72,19.72,19.72,19.72,1,1579582800000000000,31,Monthly
O:MRK200221C00077500,2020-01-21,2020-02-21,MRK,C,775.0,1,12.92,12.92,12.92,12.92,1,1579582800000000000,31,Monthly
O:MRK200221C00085000,2020-01-21,2020-02-21,MRK,C,850.0,14,5.44,5.6,5.6,5.44,5,1579582800000000000,31,Monthly
O:MRK200221C00085500,2020-01-21,2020-02-21,MRK,C,855.0,1,5.4,5.4,5.4,5.4,1,1579582800000000000,31,Monthly
O:MRK200221C00086000,2020-01-21,2020-02-21,MRK,C,860.0,4,4.95,4.95,4.95,4.95,1,1579582800000000000,31,Monthly
O:MRK200221C00087500,2020-01-21,2020-02-21,MRK,C,875.0,38,4.26,3.7,4.26,3.62,13,1579582800000000000,31,Monthly
O:MRK200221C00089000,2020-01-21,2020-02-21,MRK,C,890.0,25,2.7,2.65,2.7,2.52,8,1579582800000000000,31,Monthly
O:MRK200221C00089500,2020-01-21,2020-02-21,MRK,C,895.0,31,2.38,2.31,2.38,2.24,13,1579582800000000000,31,Monthly
O:MRK200221C00090000,2020-01-21,2020-02-21,MRK,C,900.0,1832,2.52,2.04,2.52,1.86,346,1579582800000000000,31,Monthly
O:MRK200221C00090500,2020-01-21,2020-02-21,MRK,C,905.0,886,1.85,1.77,1.85,1.62,168,1579582800000000000,31,Monthly
O:MRK200221C00091000,2020-01-21,2020-02-21,MRK,C,910.0,113,1.57,1.57,1.59,1.41,16,1579582800000000000,31,Monthly
O:MRK200221C00091500,2020-01-21,2020-02-21,MRK,C,915.0,72,1.3,1.32,1.35,1.17,19,1579582800000000000,31,Monthly
O:MRK200221C00092000,2020-01-21,2020-02-21,MRK,C,920.0,38,1.17,1.08,1.17,1.06,11,1579582800000000000,31,Monthly
O:MRK200221C00092500,2020-01-21,2020-02-21,MRK,C,925.0,357,0.07,0.92,1.05,0.07,66,1579582800000000000,31,Monthly
O:MRK200221C00093000,2020-01-21,2020-02-21,MRK,C,930.0,2,0.75,0.75,0.75,0.75,1,1579582800000000000,31,Monthly
O:MRK200221C00093500,2020-01-21,2020-02-21,MRK,C,935.0,31,0.58,0.6,0.6,0.58,8,1579582800000000000,31,Monthly
O:MRK200221C00094000,2020-01-21,2020-02-21,MRK,C,940.0,1322,0.53,0.52,0.53,0.48,101,1579582800000000000,31,Monthly
O:MRK200221C00095000,2020-01-21,2020-02-21,MRK,C,950.0,157,0.38,0.3,0.38,0.28,41,1579582800000000000,31,Monthly
O:MRK200221C00096000,2020-01-21,2020-02-21,MRK,C,960.0,1,0.19,0.19,0.19,0.19,1,1579582800000000000,31,Monthly
O:MRK200221C00097500,2020-01-21,2020-02-21,MRK,C,975.0,38,0.11,0.1,0.11,0.1,6,1579582800000000000,31,Monthly
