ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:MRK160108C00051500,2016-01-04,2016-01-08,MRK,C,515.0,5,0.87,0.83,0.87,0.83,3,1451883600000000000,4,Weekly
O:MRK160108C00052000,2016-01-04,2016-01-08,MRK,C,520.0,38,0.48,0.84,0.84,0.48,11,1451883600000000000,4,Weekly
O:MRK160108C00052500,2016-01-04,2016-01-08,MRK,C,525.0,170,0.26,0.53,0.53,0.26,58,1451883600000000000,4,Weekly
O:MRK160108C00053000,2016-01-04,2016-01-08,MRK,C,530.0,494,0.13,0.25,0.33,0.13,62,1451883600000000000,4,Weekly
O:MRK160108C00053500,2016-01-04,2016-01-08,MRK,C,535.0,82,0.18,0.11,0.18,0.07,16,1451883600000000000,4,Weekly
O:MRK160108C00054000,2016-01-04,2016-01-08,MRK,C,540.0,54,0.04,0.05,0.05,0.03,5,1451883600000000000,4,Weekly
O:MRK160108C00054500,2016-01-04,2016-01-08,MRK,C,545.0,50,0.03,0.04,0.04,0.03,23,1451883600000000000,4,Weekly
O:MRK160108C00055000,2016-01-04,2016-01-08,MRK,C,550.0,15,0.01,0.01,0.01,0.01,6,1451883600000000000,4,Weekly
O:MRK160108P00045000,2016-01-04,2016-01-08,MRK,P,450.0,13,0.02,0.02,0.02,0.02,3,1451883600000000000,4,Weekly
O:MRK160108P00046000,2016-01-04,2016-01-08,MRK,P,460.0,20,0.03,0.03,0.03,0.03,1,1451883600000000000,4,Weekly
O:MRK160108P00049000,2016-01-04,2016-01-08,MRK,P,490.0,1,0.07,0.07,0.07,0.07,1,1451883600000000000,4,Weekly
O:MRK160108P00049500,2016-01-04,2016-01-08,MRK,P,495.0,1,0.11,0.11,0.11,0.11,1,1451883600000000000,4,Weekly
O:MRK160108P00050000,2016-01-04,2016-01-08,MRK,P,500.0,170,0.05,0.08,0.16,0.05,14,1451883600000000000,4,Weekly
O:MRK160108P00050500,2016-01-04,2016-01-08,MRK,P,505.0,40,0.21,0.19,0.21,0.19,5,1451883600000000000,4,Weekly
O:MRK160108P00051000,2016-01-04,2016-01-08,MRK,P,510.0,290,0.25,0.24,0.35,0.16,24,1451883600000000000,4,Weekly
O:MRK160108P00051500,2016-01-04,2016-01-08,MRK,P,515.0,9,0.47,0.45,0.47,0.43,6,1451883600000000000,4,Weekly
O:MRK160108P00052000,2016-01-04,2016-01-08,MRK,P,520.0,32,0.77,0.36,0.77,0.36,9,1451883600000000000,4,Weekly
O:MRK160108P00052500,2016-01-04,2016-01-08,MRK,P,525.0,23,1.04,0.56,1.04,0.56,7,1451883600000000000,4,Weekly
O:MRK160108P00053000,2016-01-04,2016-01-08,MRK,P,530.0,53,1.23,1.12,1.37,1.12,4,1451883600000000000,4,Weekly
O:MRK160129C00049000,2016-01-25,2016-01-29,MRK,C,490.0,5,2.43,2.48,2.48,2.43,3,1453698000000000000,4,Weekly
O:MRK160129C00050500,2016-01-25,2016-01-29,MRK,C,505.0,35,0.98,1.0,1.0,0.98,3,1453698000000000000,4,Weekly
O:MRK160129C00051000,2016-01-25,2016-01-29,MRK,C,510.0,17,0.54,0.54,0.54,0.54,2,1453698000000000000,4,Weekly
O:MRK160129C00051500,2016-01-25,2016-01-29,MRK,C,515.0,562,0.46,0.36,0.54,0.35,29,1453698000000000000,4,Weekly
O:MRK160129C00052000,2016-01-25,2016-01-29,MRK,C,520.0,638,0.26,0.19,0.31,0.19,46,1453698000000000000,4,Weekly
O:MRK160129C00052500,2016-01-25,2016-01-29,MRK,C,525.0,179,0.15,0.15,0.18,0.08,13,1453698000000000000,4,Weekly
O:MRK160129C00053000,2016-01-25,2016-01-29,MRK,C,530.0,1,0.06,0.06,0.06,0.06,1,1453698000000000000,4,Weekly
O:MRK160129C00053500,2016-01-25,2016-01-29,MRK,C,535.0,4,0.05,0.01,0.05,0.01,2,1453698000000000000,4,Weekly
O:MRK160129C00054000,2016-01-25,2016-01-29,MRK,C,540.0,2428,0.01,0.01,0.03,0.01,10,1453698000000000000,4,Weekly
O:MRK160129P00044000,2016-01-25,2016-01-29,MRK,P,440.0,35,0.02,0.02,0.02,0.02,2,1453698000000000000,4,Weekly
O:MRK160129P00046500,2016-01-25,2016-01-29,MRK,P,465.0,10,0.02,0.02,0.02,0.02,3,1453698000000000000,4,Weekly
O:MRK160129P00047500,2016-01-25,2016-01-29,MRK,P,475.0,12,0.07,0.04,0.07,0.04,7,1453698000000000000,4,Weekly
O:MRK160129P00048000,2016-01-25,2016-01-29,MRK,P,480.0,4,0.06,0.08,0.08,0.06,2,1453698000000000000,4,Weekly
O:MRK160129P00049000,2016-01-25,2016-01-29,MRK,P,490.0,11,0.15,0.13,0.16,0.13,7,1453698000000000000,4,Weekly
O:MRK160129P00049500,2016-01-25,2016-01-29,MRK,P,495.0,613,0.22,0.18,0.23,0.16,27,1453698000000000000,4,Weekly
