ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:MRK200110C00088000,2020-01-06,2020-01-10,MRK,C,88.0,5,3.25,3.5,-0.6,NO,3.38,3.81,3.25,3.67,3.5,3.25,3,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,3.38,3.95
O:MRK200110C00089500,2020-01-06,2020-01-10,MRK,C,89.5,23,2.2,2.21,1.1,NO,2.24,2.53,2.2,2.49,2.28,2.2,7,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,2.24,2.58
O:MRK200110C00090000,2020-01-06,2020-01-10,MRK,C,90.0,25,1.63,1.82,1.66,NO,1.74,1.96,1.63,1.84,1.84,1.63,11,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,1.74,2.08
O:MRK200110C00091000,2020-01-06,2020-01-10,MRK,C,91.0,249,1.0,0.9,2.79,NO,0.98,1.1,0.9,1.02,1.05,0.9,19,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.98,1.19
O:MRK200110C00091500,2020-01-06,2020-01-10,MRK,C,91.5,116,0.67,0.66,3.35,NO,0.69,0.78,0.63,0.71,0.75,0.63,19,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.69,0.85
O:MRK200110C00092000,2020-01-06,2020-01-10,MRK,C,92.0,119,0.41,0.42,3.92,NO,0.44,0.5,0.36,0.41,0.52,0.36,34,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.44,0.59
O:MRK200110C00092500,2020-01-06,2020-01-10,MRK,C,92.5,52,0.27,0.23,4.48,NO,0.26,0.29,0.23,0.26,0.29,0.23,14,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.26,0.33
O:MRK200110C00093000,2020-01-06,2020-01-10,MRK,C,93.0,26,0.14,0.13,5.05,NO,0.13,0.15,0.11,0.12,0.15,0.11,9,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.13,0.17
O:MRK200110C00094000,2020-01-06,2020-01-10,MRK,C,94.0,18,0.04,0.04,6.18,NO,0.04,0.05,0.04,0.05,0.05,0.04,6,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.04,0.06
O:MRK200110C00095000,2020-01-06,2020-01-10,MRK,C,95.0,14,0.02,0.03,7.31,NO,0.02,0.03,0.02,0.02,0.03,0.02,3,1578286800000000000,4,Weekly,88.04,88.44,88.53,87.81,88.53,86.4,86.96,86.96,0.0155,0.02,0.03
O:MRK200131C00083000,2020-01-27,2020-01-31,MRK,C,83.0,1,2.84,2.84,-0.57,NO,2.84,3.4,2.84,3.4,2.84,2.84,1,1580101200000000000,4,Weekly,82.13,83.09,83.48,81.75,83.48,82.46,83.64,83.64,0.0155,2.84,3.4
O:MRK200131C00084000,2020-01-27,2020-01-31,MRK,C,84.0,1,2.0,2.0,0.62,NO,2.0,2.4,2.0,2.4,2.0,2.0,1,1580101200000000000,4,Weekly,82.13,83.09,83.48,81.75,83.48,82.46,83.64,83.64,0.0155,2.0,2.4
O:MRK200131C00084500,2020-01-27,2020-01-31,MRK,C,84.5,1,2.04,2.04,1.22,NO,2.04,2.44,2.04,2.44,2.04,2.04,1,1580101200000000000,4,Weekly,82.13,83.09,83.48,81.75,83.48,82.46,83.64,83.64,0.0155,2.04,2.44
O:MRK200131C00085000,2020-01-27,2020-01-31,MRK,C,85.0,84,1.12,1.6,1.82,NO,1.48,1.78,1.12,1.34,1.85,1.12,20,1580101200000000000,4,Weekly,82.13,83.09,83.48,81.75,83.48,82.46,83.64,83.64,0.0155,1.48,2.22
