ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:MSFT160219C00040000,2016-01-19,2016-02-19,MSFT,C,40.0,13.0,10.5,10.5,-20.89,YES,10.5,20.32,10.5,20.32,10.5,10.5,3.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.0001,1.0,10.5,20.32
O:MSFT160219C00042000,2016-01-19,2016-02-19,MSFT,C,42.0,17.0,8.6,8.6,-16.93,YES,8.6,16.64,8.6,16.64,8.6,8.6,2.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3061,0.9792,8.6,16.64
O:MSFT160219C00042500,2016-01-19,2016-02-19,MSFT,C,42.5,10.0,8.35,8.35,-15.94,YES,8.35,16.16,8.35,16.16,8.35,8.35,1.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.4573,0.8922,8.35,16.16
O:MSFT160219C00043000,2016-01-19,2016-02-19,MSFT,C,43.0,20.0,7.85,7.45,-14.95,YES,7.65,14.8,7.45,14.42,7.85,7.45,2.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,,,7.65,15.19
O:MSFT160219C00045000,2016-01-19,2016-02-19,MSFT,C,45.0,19.0,6.2,5.7,-11.0,YES,5.95,11.51,5.7,11.03,6.2,5.7,8.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.2769,0.9203,5.95,12.0
O:MSFT160219C00046000,2016-01-19,2016-02-19,MSFT,C,46.0,36.0,5.5,5.4,-9.02,YES,5.45,10.55,5.4,10.45,5.5,5.4,4.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.4404,0.75,5.45,10.64
O:MSFT160219C00046500,2016-01-19,2016-02-19,MSFT,C,46.5,21.0,4.6,4.55,-8.03,YES,4.574999999999999,8.85,4.55,8.8,4.6,4.55,3.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3262,0.7984,4.574999999999999,8.9
O:MSFT160219C00047000,2016-01-19,2016-02-19,MSFT,C,47.0,10.0,4.27,4.29,-7.04,YES,4.279999999999999,8.28,4.27,8.26,4.29,4.27,2.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3565,0.7433,4.279999999999999,8.3
O:MSFT160219C00048000,2016-01-19,2016-02-19,MSFT,C,48.0,101.0,3.85,3.72,-5.06,YES,3.6,6.97,3.35,6.48,3.85,3.35,12.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3839,0.6595,3.6,7.45
O:MSFT160219C00048500,2016-01-19,2016-02-19,MSFT,C,48.5,172.0,3.9,3.0,-4.07,YES,3.45,6.68,3.0,5.8,3.9,3.0,10.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3082,0.6633,3.45,7.55
O:MSFT160219C00049000,2016-01-19,2016-02-19,MSFT,C,49.0,495.0,3.45,3.08,-3.09,YES,3.105,6.01,2.71,5.24,3.5,2.71,41.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3811,0.5907,3.105,6.77
O:MSFT160219C00049500,2016-01-19,2016-02-19,MSFT,C,49.5,256.0,2.99,2.59,-2.1,YES,2.705,5.23,2.42,4.68,2.99,2.42,19.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3453,0.5648,2.705,5.79
O:MSFT160219C00050000,2016-01-19,2016-02-19,MSFT,C,50.0,1374.0,2.8,2.45,-1.11,YES,2.47,4.78,2.12,4.1,2.82,2.12,94.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3681,0.5211,2.47,5.46
O:MSFT160219C00050500,2016-01-19,2016-02-19,MSFT,C,50.5,599.0,2.55,2.09,-0.12,YES,2.235,4.32,1.92,3.72,2.55,1.92,46.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3496,0.4855,2.235,4.93
O:MSFT160219C00051000,2016-01-19,2016-02-19,MSFT,C,51.0,852.0,2.24,1.95,0.87,YES,1.97,3.81,1.66,3.21,2.28,1.66,75.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3654,0.4475,1.97,4.41
O:MSFT160219C00051500,2016-01-19,2016-02-19,MSFT,C,51.5,302.0,1.98,1.67,1.86,YES,1.725,3.34,1.47,2.84,1.98,1.47,37.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3542,0.4101,1.725,3.83
O:MSFT160219C00052000,2016-01-19,2016-02-19,MSFT,C,52.0,153.0,1.73,1.41,2.85,NO,1.49,2.88,1.25,2.42,1.73,1.25,30.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.343,0.3714,1.49,3.35
O:MSFT160219C00052500,2016-01-19,2016-02-19,MSFT,C,52.5,1907.0,1.55,1.28,3.84,NO,1.3,2.52,1.05,2.03,1.55,1.05,164.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3514,0.3387,1.3,3.0
O:MSFT160219C00053000,2016-01-19,2016-02-19,MSFT,C,53.0,709.0,1.2,1.04,4.83,NO,1.055,2.04,0.91,1.76,1.2,0.91,40.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3367,0.2993,1.055,2.32
O:MSFT160219C00053500,2016-01-19,2016-02-19,MSFT,C,53.5,75.0,1.11,0.81,5.81,NO,0.96,1.86,0.81,1.57,1.11,0.81,10.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3193,0.2576,0.96,2.15
O:MSFT160219C00054000,2016-01-19,2016-02-19,MSFT,C,54.0,1911.0,0.9,0.72,6.8,NO,0.76,1.47,0.62,1.2,0.9,0.62,34.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3258,0.2304,0.76,1.74
O:MSFT160219C00054500,2016-01-19,2016-02-19,MSFT,C,54.5,17.0,0.79,0.62,7.79,NO,0.69,1.34,0.59,1.14,0.79,0.59,7.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3275,0.203,0.69,1.53
O:MSFT160219C00055000,2016-01-19,2016-02-19,MSFT,C,55.0,3590.0,0.67,0.5,8.78,NO,0.59,1.14,0.42,0.81,0.76,0.42,247.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3215,0.1731,0.59,1.47
O:MSFT160219C00055500,2016-01-19,2016-02-19,MSFT,C,55.5,154.0,0.71,0.37,9.77,NO,0.54,1.04,0.37,0.72,0.71,0.37,18.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.308,0.14,0.54,1.37
O:MSFT160219C00056000,2016-01-19,2016-02-19,MSFT,C,56.0,588.0,0.4,0.29,10.76,NO,0.355,0.69,0.28,0.54,0.43,0.28,33.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3032,0.1156,0.355,0.83
O:MSFT160219C00056500,2016-01-19,2016-02-19,MSFT,C,56.5,236.0,0.34,0.26,11.75,NO,0.295,0.57,0.24,0.46,0.35,0.24,34.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3112,0.1026,0.295,0.68
O:MSFT160219C00057000,2016-01-19,2016-02-19,MSFT,C,57.0,76.0,0.31,0.23,12.74,NO,0.255,0.49,0.2,0.39,0.31,0.2,6.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3177,0.0904,0.255,0.6
O:MSFT160219C00057500,2016-01-19,2016-02-19,MSFT,C,57.5,3137.0,0.29,0.19,13.73,NO,0.24,0.46,0.15,0.29,0.33,0.15,250.0,1453179600000000000,31.0,Monthly,51.48,50.56,51.68,50.06,51.68,51.82,52.28,52.28,0.0034,0.3183,0.0764,0.24,0.64
