ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:MSFT170113C00058000,2017-01-09,2017-01-13,MSFT,C,58.0,1,4.8,4.8,-7.41,NO,4.8,8.28,4.8,8.28,4.8,4.8,1,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00059500,2017-01-09,2017-01-13,MSFT,C,59.5,4,3.45,3.25,-5.01,NO,3.25,5.46,3.45,5.8,3.45,3.25,2,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00060000,2017-01-09,2017-01-13,MSFT,C,60.0,55,3.05,2.85,-4.21,NO,2.85,4.75,3.05,5.08,3.05,2.85,4,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00060500,2017-01-09,2017-01-13,MSFT,C,60.5,4,2.56,2.4,-3.42,NO,2.4,3.97,2.56,4.23,2.56,2.4,2,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00061000,2017-01-09,2017-01-13,MSFT,C,61.0,129,1.91,1.78,-2.62,NO,1.78,2.92,1.91,3.13,2.05,1.73,22,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00061500,2017-01-09,2017-01-13,MSFT,C,61.5,253,1.35,1.25,-1.82,NO,1.25,2.03,1.35,2.2,1.52,1.25,16,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00062000,2017-01-09,2017-01-13,MSFT,C,62.0,97,0.94,0.88,-1.02,NO,0.88,1.42,0.94,1.52,1.17,0.84,12,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00062500,2017-01-09,2017-01-13,MSFT,C,62.5,331,0.59,0.52,-0.22,NO,0.52,0.83,0.59,0.94,0.77,0.49,57,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00063000,2017-01-09,2017-01-13,MSFT,C,63.0,2240,0.32,0.24,0.57,NO,0.24,0.38,0.32,0.51,0.46,0.23,177,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00063500,2017-01-09,2017-01-13,MSFT,C,63.5,1032,0.14,0.11,1.37,NO,0.11,0.17,0.14,0.22,0.25,0.1,85,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00064000,2017-01-09,2017-01-13,MSFT,C,64.0,1002,0.07,0.05,2.17,NO,0.05,0.08,0.07,0.11,0.1,0.04,23,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00064500,2017-01-09,2017-01-13,MSFT,C,64.5,262,0.04,0.02,2.97,NO,0.02,0.03,0.04,0.06,0.05,0.02,11,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170113C00065000,2017-01-09,2017-01-13,MSFT,C,65.0,21,0.02,0.01,3.77,NO,0.01,0.02,0.02,0.03,0.02,0.01,2,1483938000000000000,4,Weekly,62.76,62.64,63.08,62.54,62.64,62.64,63.08,62.64
O:MSFT170127C00055000,2017-01-23,2017-01-27,MSFT,C,55.0,6,7.89,7.9,-12.64,NO,7.9,14.36,7.89,14.35,7.9,7.89,3,1485147600000000000,4,Weekly,62.7,62.96,63.1159,62.57,62.96,62.96,63.1159,62.96
O:MSFT170127C00057500,2017-01-23,2017-01-27,MSFT,C,57.5,4,5.6,5.6,-8.67,NO,5.6,9.74,5.6,9.74,5.6,5.6,1,1485147600000000000,4,Weekly,62.7,62.96,63.1159,62.57,62.96,62.96,63.1159,62.96
O:MSFT170127C00059000,2017-01-23,2017-01-27,MSFT,C,59.0,20,4.3,4.3,-6.29,NO,4.3,7.29,4.3,7.29,4.3,4.3,1,1485147600000000000,4,Weekly,62.7,62.96,63.1159,62.57,62.96,62.96,63.1159,62.96
O:MSFT170127C00059500,2017-01-23,2017-01-27,MSFT,C,59.5,41,3.65,3.65,-5.5,NO,3.65,6.13,3.65,6.13,3.65,3.65,2,1485147600000000000,4,Weekly,62.7,62.96,63.1159,62.57,62.96,62.96,63.1159,62.96
O:MSFT170127C00060000,2017-01-23,2017-01-27,MSFT,C,60.0,120,3.25,3.2,-4.7,NO,3.2,5.33,3.25,5.42,3.45,3.14,16,1485147600000000000,4,Weekly,62.7,62.96,63.1159,62.57,62.96,62.96,63.1159,62.96
O:MSFT170127C00060500,2017-01-23,2017-01-27,MSFT,C,60.5,296,2.9,2.96,-3.91,NO,2.96,4.89,2.9,4.79,2.96,2.76,28,1485147600000000000,4,Weekly,62.7,62.96,63.1159,62.57,62.96,62.96,63.1159,62.96
