ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:MU170106C00018000,2017-01-03,2017-01-06,MU,C,18.0,1,1.02,1.02,-20.84,YES,1.02,4.49,1.02,4.49,1.02,1.02,1,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,1.02,4.49,,
O:MU170106C00019500,2017-01-03,2017-01-06,MU,C,19.5,118,0.69,0.72,-14.25,YES,0.74,3.28,0.69,3.03,0.8,0.69,11,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.74,3.52,,
O:MU170106C00020000,2017-01-03,2017-01-06,MU,C,20.0,31,0.55,0.59,-12.05,YES,0.62,2.7,0.55,2.42,0.68,0.55,15,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.62,2.99,,
O:MU170106C00020500,2017-01-03,2017-01-06,MU,C,20.5,79,0.53,0.52,-9.85,YES,0.5,2.22,0.47,2.07,0.54,0.47,33,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.5,2.37,,
O:MU170106C00021000,2017-01-03,2017-01-06,MU,C,21.0,37,0.3,0.39,-7.65,YES,0.34,1.52,0.3,1.32,0.39,0.3,10,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.34,1.72,,
O:MU170106C00021500,2017-01-03,2017-01-06,MU,C,21.5,296,0.21,0.27,-5.45,YES,0.26,1.14,0.2,0.88,0.32,0.2,42,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.26,1.41,,
O:MU170106C00022000,2017-01-03,2017-01-06,MU,C,22.0,794,0.12,0.18,-3.25,YES,0.16,0.73,0.11,0.48,0.22,0.11,74,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.16,0.97,,
O:MU170106C00022500,2017-01-03,2017-01-06,MU,C,22.5,12893,0.06,0.1,-1.06,NO,0.1,0.42,0.06,0.26,0.13,0.06,408,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.1,0.57,,
O:MU170106C00023000,2017-01-03,2017-01-06,MU,C,23.0,4732,0.03,0.05,1.14,NO,0.06,0.24,0.03,0.13,0.08,0.03,274,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.06,0.35,0.1739,0.2341
O:MU170106C00023500,2017-01-03,2017-01-06,MU,C,23.5,848,0.02,0.02,3.34,NO,0.02,0.11,0.01,0.04,0.04,0.01,75,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.02,0.18,0.259,0.0793
O:MU170106C00024000,2017-01-03,2017-01-06,MU,C,24.0,362,0.01,0.01,5.54,NO,0.02,0.07,0.01,0.04,0.02,0.01,31,1483419600000000000,3,22.07,22.55,22.74,22.04,22.74,22.04,22.28,22.28,0.0065,0.02,0.09,0.3303,0.0348
O:MU170113C00018000,2017-01-09,2017-01-13,MU,C,18.0,5,1.05,1.05,-20.18,YES,1.05,4.66,1.05,4.66,1.05,1.05,1,1483938000000000000,4,21.94,22.34,22.55,21.94,22.55,22.18,22.31,22.31,0.0065,1.05,4.66,,
O:MU170113C00018500,2017-01-09,2017-01-13,MU,C,18.5,1,0.94,0.94,-17.96,YES,0.94,4.17,0.94,4.17,0.94,0.94,1,1483938000000000000,4,21.94,22.34,22.55,21.94,22.55,22.18,22.31,22.31,0.0065,0.94,4.17,,
O:MU170113C00019500,2017-01-09,2017-01-13,MU,C,19.5,5,0.71,0.71,-13.53,YES,0.71,3.15,0.71,3.15,0.71,0.71,1,1483938000000000000,4,21.94,22.34,22.55,21.94,22.55,22.18,22.31,22.31,0.0065,0.71,3.15,,
